SA1_7DIGITCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
1100701,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,0,0,12,5,0,7,0,3,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,9,17,3,10,3,6,7,0,62
1100702,3,3,0,0,6,0,0,0,0,14,6,0,0,0,3,0,0,0,0,10,13,0,12,3,0,6,6,0,7,42,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,0,12,35,26,16,9,15,5,8,3,11,125
1100703,0,0,3,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,4,3,12,3,6,3,3,5,0,34,0,4,0,0,4,0,0,0,0,6,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,11,35,25,18,17,8,7,7,0,124
1100704,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,8,4,4,14,4,4,0,0,3,0,38,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,36,15,14,8,3,9,3,3,118
1100705,0,0,0,0,4,0,0,0,0,6,5,0,0,0,0,0,0,0,0,3,9,0,12,9,0,0,3,7,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,26,24,19,12,12,3,6,5,3,110
1100706,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,3,0,7,3,0,0,3,7,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,11,6,10,0,5,5,3,67
1100707,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,17,0,8,4,0,0,3,6,3,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,34,28,6,3,11,3,3,7,3,103
1100708,7,8,0,3,0,0,0,0,0,20,0,0,3,0,3,0,0,0,0,11,13,3,9,0,0,0,3,0,0,37,3,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,46,44,21,9,13,4,3,4,0,151
1100709,6,5,0,0,0,0,0,0,0,17,0,3,3,0,4,0,0,0,0,19,8,0,16,4,3,3,3,6,4,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,28,30,23,14,19,6,4,5,3,132
1100710,0,6,0,0,0,0,0,0,0,9,0,0,0,0,3,3,0,4,0,9,10,5,15,5,7,3,7,6,0,66,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,30,42,28,8,18,7,8,17,0,155
