SA1_7DIGITCODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
1100701,4,3,9,3,6,8,0,0,0,3,0,3,4,6,12,6,4,10,0,0,0,0,0,0,6,4,13,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3,24,21,43,38,46,83
1100702,0,3,7,6,3,13,5,7,11,0,0,0,14,15,24,10,9,17,3,4,11,0,0,3,13,11,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,3,0,4,0,0,0,0,0,0,0,3,3,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,24,20,44,60,50,112
1100703,5,3,5,9,17,26,11,9,19,0,0,0,25,28,50,6,3,8,3,0,4,0,0,0,9,7,16,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,3,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,17,23,36,54,68,122
1100704,5,3,6,17,7,25,6,4,10,0,0,0,24,9,34,6,3,12,0,0,0,0,0,0,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,3,6,0,0,0,7,4,9,0,0,0,0,0,0,0,0,0,0,3,3,16,42,56,58,68,123
1100705,4,0,4,4,6,16,11,3,19,0,0,0,16,14,32,5,8,19,4,0,3,0,0,0,10,10,27,0,0,0,0,0,0,3,3,9,0,3,3,0,0,0,3,9,11,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,4,8,5,0,0,0,0,3,5,0,0,0,3,3,3,22,23,41,67,64,129
1100706,8,0,10,9,3,13,3,8,4,0,0,0,13,10,18,3,3,3,3,0,3,0,0,0,3,6,6,0,0,0,0,0,0,4,0,3,0,4,3,0,0,0,6,6,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,3,0,0,0,0,3,3,11,10,24,42,36,75
1100707,0,0,7,0,3,4,3,3,3,0,0,0,8,3,8,8,11,19,0,0,0,0,0,0,7,11,16,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,3,0,4,0,0,0,3,0,4,32,21,53,53,46,96
1100708,0,4,3,5,13,14,8,5,15,0,0,0,12,15,29,6,10,13,0,6,4,0,0,0,8,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,3,27,20,51,58,61,123
1100709,5,3,9,11,12,22,13,7,12,0,0,0,19,19,38,8,15,22,4,0,4,3,0,3,13,17,25,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,5,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,29,18,51,71,67,139
1100710,0,3,3,3,12,13,9,4,16,0,0,0,10,11,24,9,7,15,4,3,3,0,0,0,12,8,18,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,3,3,0,0,0,0,5,7,0,0,0,0,3,10,0,0,0,0,3,3,0,0,0,0,3,3,39,49,86,72,83,152
