SA1_7DIGITCODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1100701,0,7,0,0,3,3,3,0,0,15,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,3,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,10,8,3,0,39,8,9,15,20,40,47,54,16,0,214
1100702,0,0,0,3,6,3,5,0,0,23,0,3,0,0,3,3,0,0,0,19,0,0,3,3,3,6,0,0,0,19,0,0,0,4,4,7,0,0,0,15,0,0,0,0,3,5,0,0,0,13,0,0,0,0,3,8,0,0,0,11,10,3,4,3,7,11,12,5,0,50,30,12,25,33,61,69,60,28,5,318
1100703,0,3,8,4,7,3,3,0,0,28,0,0,3,3,0,0,3,0,0,17,0,0,5,3,0,5,0,0,0,11,0,0,3,0,0,0,0,0,0,6,0,0,5,3,5,0,0,0,0,13,0,0,0,0,0,4,0,0,0,8,0,0,3,3,3,3,10,10,0,39,12,22,46,48,57,50,53,29,7,324
1100704,0,0,3,4,5,12,6,0,4,36,0,0,3,3,0,3,0,0,0,13,0,0,0,9,4,4,0,0,0,16,0,0,0,3,3,0,0,0,0,8,0,0,0,5,0,3,0,0,0,12,0,0,0,0,0,3,0,0,0,3,6,0,6,12,4,4,4,6,11,50,17,6,38,56,44,68,54,44,28,360
1100705,0,3,5,0,3,6,5,0,0,24,0,0,5,0,0,3,0,3,0,16,0,0,0,3,0,0,0,0,0,11,0,0,0,8,10,5,0,0,0,15,0,0,3,3,3,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,0,8,3,9,5,11,3,0,49,25,16,46,41,50,61,60,27,5,331
1100706,0,0,6,0,5,7,9,0,0,19,0,0,0,8,3,7,0,0,0,8,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,3,3,0,0,19,10,8,14,31,32,46,42,16,4,203
1100707,0,0,3,0,0,5,7,0,0,20,0,0,4,0,3,3,0,0,0,14,0,0,0,0,0,10,0,0,0,11,0,0,0,4,0,0,4,0,0,9,0,0,0,0,5,4,0,0,0,11,0,0,0,0,3,3,0,0,0,6,7,0,3,4,11,13,9,0,3,42,19,11,29,30,55,87,73,18,8,324
1100708,0,3,6,11,7,3,7,0,0,30,0,0,3,3,3,5,3,3,0,19,0,0,3,3,0,0,0,0,0,13,0,0,0,3,6,0,0,0,0,4,0,0,0,5,4,3,0,0,0,23,0,0,0,0,5,3,3,3,0,13,3,3,3,12,6,9,10,8,4,49,20,10,20,64,61,82,73,33,7,391
1100709,0,0,3,4,7,7,0,0,0,25,0,0,3,4,3,3,0,0,0,18,0,0,0,9,3,0,0,0,0,18,0,0,4,4,3,0,0,0,0,10,0,0,5,0,7,4,0,0,0,24,0,0,0,3,3,3,0,0,0,16,3,0,5,6,5,8,7,5,0,43,24,9,33,53,69,65,24,15,3,302
1100710,0,0,0,5,3,11,6,0,0,26,0,0,3,5,3,3,4,0,0,24,0,0,0,8,4,3,4,0,0,23,0,0,0,0,4,0,3,0,0,13,0,0,0,6,8,6,0,0,0,15,0,0,0,0,3,3,0,0,0,3,3,0,3,7,18,16,20,3,3,82,22,8,19,58,101,114,102,15,5,454
