SA1_7DIGITCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
1100701,0,0,0,29,76,19,33,24,36,214
1100702,0,0,5,58,97,44,53,30,45,318
1100703,0,3,7,53,96,34,45,65,39,324
1100704,18,5,28,71,97,66,23,65,47,360
1100705,4,0,5,61,83,39,34,68,41,331
1100706,0,0,4,32,61,38,25,23,21,203
1100707,0,5,8,47,73,57,51,52,58,324
1100708,3,3,7,70,103,63,59,51,47,391
1100709,0,0,3,71,95,40,27,23,39,302
1100710,4,0,5,57,98,83,65,66,83,454
1100801,3,0,3,70,81,31,22,83,11,303
1100802,0,0,4,110,141,72,36,75,28,474
1100803,4,0,7,50,69,22,31,98,35,296
1100804,4,0,3,58,79,34,18,84,58,329
1100805,0,0,0,24,36,11,25,57,7,170
1100806,0,0,8,70,93,28,29,66,23,312
1100807,3,3,10,79,122,31,22,81,41,370
1100808,0,3,3,101,111,47,37,91,23,414
1100809,0,0,0,0,0,0,0,0,0,0
1100810,3,0,3,75,79,28,13,19,11,221
1100811,0,3,13,66,70,42,27,44,26,285
1100812,0,0,0,62,68,23,6,30,17,197
1100813,0,0,0,91,101,48,25,72,20,353
1100814,3,0,3,101,107,54,32,99,16,413
1100815,0,0,5,92,114,38,26,73,41,382
1100816,6,0,6,55,87,29,29,101,29,328
1100817,0,3,9,67,52,32,29,34,13,234
1100818,4,0,7,54,56,22,20,50,13,214
1100819,0,0,3,90,117,42,25,83,17,372
1100820,0,0,0,47,64,31,32,35,19,229
1100821,0,0,0,113,112,36,27,65,28,375
1100822,0,0,0,44,54,37,17,28,12,187
1100823,0,0,0,34,41,17,7,41,7,150
1100901,0,0,5,45,70,21,12,26,12,182
1100902,7,0,4,63,81,28,21,59,23,279
1100904,0,0,4,69,79,38,23,72,13,293
1100905,0,3,9,80,98,43,32,61,27,338
1100907,4,0,7,94,111,30,24,103,21,391
1100908,0,0,0,123,119,27,19,104,53,451
1100909,0,0,4,128,135,46,27,110,62,505
1100910,0,0,5,138,130,23,14,87,51,445
1100911,3,3,19,85,99,37,23,74,16,332
1100912,4,0,11,58,60,21,20,54,19,227
1100913,0,4,11,118,154,70,36,87,37,499
1100914,3,0,7,78,91,55,25,77,31,363
1100915,3,3,10,169,175,49,43,133,47,622
1100916,4,0,3,87,103,53,20,97,29,391
1100917,0,3,3,49,52,16,12,42,26,203
1100918,29,10,61,106,129,50,21,104,42,459
1100919,3,0,12,97,133,38,23,71,76,440
1100920,55,0,58,59,63,26,14,166,39,369
1100921,0,0,3,110,113,28,15,75,38,374
1100923,4,0,16,83,103,43,25,75,21,351
1100924,0,0,0,4,4,0,0,4,4,12
1100925,3,0,7,103,115,29,16,111,53,417
1100926,0,0,0,51,59,19,13,58,27,229
1100927,0,0,3,51,78,14,18,39,11,214
1100928,0,0,4,66,101,32,14,72,21,303
1100929,47,3,61,108,101,27,27,156,52,477
1101001,6,0,11,25,35,3,4,40,13,126
1101002,0,0,3,80,100,54,30,32,7,302
1101003,0,0,0,68,91,36,27,40,21,285
1101004,0,0,0,64,78,29,16,33,10,226
1101006,3,0,4,105,88,27,32,111,63,422
1101007,0,0,0,53,61,9,17,52,28,225
