SA1_7DIGITCODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1100701,0,0,0,0,0,3,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6,8,0,0,30,3,9,15,20,40,47,54,16,0,209
1100702,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,5,3,3,0,5,9,5,7,0,44,12,12,25,33,61,69,60,28,5,307
1100703,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,8,8,3,36,3,22,46,48,57,50,53,29,7,318
1100704,0,0,0,0,0,0,6,3,10,22,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,8,7,7,3,51,12,6,38,56,44,68,54,44,28,358
1100705,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,3,0,3,5,0,7,3,7,7,17,5,0,43,16,16,46,41,50,61,60,27,5,313
1100706,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,7,0,0,21,10,8,14,31,32,46,42,16,4,196
1100707,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,7,14,3,3,44,10,11,29,29,55,87,73,18,8,319
1100708,0,0,0,0,0,8,3,0,0,11,0,0,0,0,0,0,0,0,0,0,3,3,0,12,6,9,12,9,4,45,6,10,20,64,61,82,73,33,7,375
1100709,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,3,6,9,8,3,3,0,47,10,9,33,53,69,65,24,15,3,283
1100710,0,0,0,0,5,6,10,4,0,20,0,0,0,0,0,0,0,0,0,0,3,0,3,14,20,23,18,3,0,83,13,8,19,58,101,114,102,15,5,443
1100801,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,3,0,0,21,16,29,61,57,59,33,20,14,3,294
1100802,0,0,0,0,3,6,11,10,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,8,10,5,0,30,18,27,67,72,74,89,80,31,4,457
1100803,4,0,0,0,4,4,3,6,3,27,0,0,0,0,0,0,0,0,0,0,5,0,4,6,3,3,6,8,0,38,18,30,50,50,58,30,27,15,7,286
1100804,0,0,0,3,3,3,9,3,3,28,0,0,0,0,0,0,3,0,0,8,8,3,8,11,6,12,6,12,0,54,13,25,60,58,42,47,43,20,3,321
1100805,0,0,3,0,4,7,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,4,0,13,4,16,40,28,23,29,17,10,0,162
1100806,0,0,0,0,3,6,5,3,4,33,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,3,3,0,0,17,12,15,56,43,42,76,38,18,8,307
