SA1_7DIGITCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1100701,0,4,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,5,5,4,5,13,29,8,62
1100702,3,8,0,0,0,10,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,3,3,0,3,8,12,3,29,22,47,17,125
1100703,4,10,0,0,0,19,4,0,6,7,4,0,20,0,0,0,0,3,0,5,0,0,0,0,0,4,3,3,0,0,0,0,0,3,12,3,33,23,48,7,124
1100704,4,3,3,0,0,15,0,0,6,0,4,0,6,3,3,3,0,3,0,13,0,0,0,0,4,0,5,0,0,0,0,3,0,3,8,3,38,12,45,5,118
1100705,3,4,0,3,0,13,0,0,4,3,4,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,7,6,28,14,51,5,110
1100706,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,5,3,4,21,9,27,6,67
1100707,3,5,4,3,0,18,0,0,3,0,3,0,5,0,0,3,0,0,0,3,0,0,0,3,0,0,8,0,0,0,0,3,0,3,11,8,31,9,39,6,103
1100708,0,9,0,3,0,10,4,3,4,3,0,0,14,3,0,0,0,0,0,3,0,0,0,4,4,0,9,0,0,0,0,5,0,11,17,4,37,27,48,11,151
1100709,3,3,0,0,0,7,0,0,3,4,9,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,6,0,6,8,6,30,30,51,6,132
1100710,0,3,0,3,0,16,0,3,3,4,3,0,10,3,0,0,0,0,0,4,0,0,3,0,3,0,9,0,0,0,0,6,5,11,24,3,24,18,76,9,155
1100801,0,3,5,0,0,7,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,3,3,25,20,73,8,138
1100802,0,8,5,3,0,18,3,8,8,0,6,4,24,0,0,0,3,0,0,7,0,0,0,0,3,0,5,0,0,0,0,12,0,12,16,18,30,36,89,4,186
1100803,0,0,0,4,0,3,0,0,5,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,7,0,3,13,5,52,6,83
1100804,0,0,0,0,0,6,0,0,3,4,4,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,3,3,8,4,18,11,29,3,78
1100805,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,0,3,7,11,3,32
1100806,0,4,0,3,0,12,0,0,0,3,7,0,13,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,3,0,6,3,3,20,21,59,5,115
1100807,0,6,3,3,0,9,0,0,7,8,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,5,9,3,15,31,71,10,131
1100808,3,4,0,3,0,8,0,0,5,3,6,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,4,11,5,30,24,61,6,137
1100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100810,0,0,0,3,0,5,0,0,0,5,5,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,5,3,3,16,29,45,0,102
1100811,0,5,0,0,0,9,0,0,3,6,4,0,14,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,0,3,0,6,10,3,32,18,52,0,105
1100812,3,4,0,3,0,17,0,0,5,3,3,0,14,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,10,10,28,23,25,4,103
1100813,0,3,0,8,0,11,0,0,4,7,4,3,15,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,0,9,4,28,33,70,8,156
1100814,0,9,5,6,0,17,0,3,7,7,11,0,23,0,0,0,0,3,0,3,0,0,0,3,10,0,15,0,0,0,0,12,0,8,10,4,42,33,99,4,196
1100815,0,0,0,3,0,9,0,3,3,4,7,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,3,8,10,10,31,26,68,10,143
1100816,0,0,0,3,0,7,3,0,0,3,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,6,14,8,51,10,97
1100817,0,5,4,0,0,10,0,0,3,7,3,3,19,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,3,6,18,18,28,3,85
1100818,0,0,0,0,0,3,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,6,3,10,14,48,0,84
1100819,0,4,0,0,0,8,0,0,8,3,3,0,15,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,5,0,9,10,9,34,26,63,4,152
1100820,0,0,0,3,0,8,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,17,37,6,70
1100821,0,4,4,0,0,12,0,0,4,6,6,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,3,4,6,7,33,26,61,4,135
1100822,0,6,3,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,14,30,4,69
1100823,0,3,3,0,0,7,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,17,33,3,67
1100901,0,7,0,0,0,15,0,0,0,0,0,0,7,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,9,27,19,28,0,89
1100902,0,6,0,3,0,7,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,3,15,0,19,18,40,0,95
1100904,0,3,0,3,0,9,0,3,6,0,8,0,10,0,0,0,0,4,0,5,0,0,0,0,4,0,8,0,0,0,0,0,0,0,3,3,31,19,47,0,103
1100905,0,8,0,6,0,16,0,0,6,7,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,21,30,44,0,103
1100907,3,5,3,0,0,7,0,6,14,5,10,3,33,0,0,0,0,0,0,4,3,0,0,0,3,0,4,0,0,4,0,3,0,6,11,11,46,34,71,15,185
1100908,0,11,3,6,0,17,3,0,5,5,9,3,32,0,0,0,0,0,0,3,0,0,0,0,7,0,6,0,0,0,0,0,0,4,25,9,67,43,59,3,208
1100909,0,12,5,0,0,18,0,4,16,11,13,0,49,0,0,0,0,0,0,6,0,0,3,0,3,0,8,0,0,0,0,0,0,10,30,13,77,42,70,8,228
1100910,3,6,0,0,0,14,3,0,8,3,5,0,26,0,0,3,0,0,0,5,0,0,0,0,3,0,5,0,0,0,0,0,3,6,16,4,61,34,74,8,205
1100911,0,3,0,0,0,8,0,3,3,3,5,0,14,0,0,0,0,0,0,3,3,0,0,0,6,0,11,3,0,0,0,0,0,9,16,4,32,20,63,8,143
1100912,0,0,0,0,0,3,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,9,9,38,3,71
1100913,4,8,7,0,0,20,4,0,6,4,5,0,19,0,0,3,0,3,0,5,0,0,7,0,3,0,8,0,0,0,0,5,0,3,20,17,57,34,80,5,206
1100914,0,6,0,3,0,14,3,5,3,8,4,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,7,0,4,24,12,30,17,58,8,148
1100915,4,6,0,4,0,22,5,3,16,6,12,0,45,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,8,0,17,22,20,72,48,96,6,262
1100916,0,4,0,0,0,10,0,0,10,6,7,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,4,0,7,13,8,52,28,71,3,168
1100917,0,0,0,0,0,4,0,0,4,0,3,3,9,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,16,4,15,5,20,3,69
1100918,0,12,0,4,0,15,0,0,8,0,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,12,3,52,21,60,4,149
1100919,0,7,3,5,0,17,3,0,13,3,3,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,7,3,10,24,8,57,27,58,12,189
1100920,0,0,0,0,0,4,6,3,5,3,11,0,21,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,3,3,9,3,27,22,38,3,108
1100921,0,6,0,0,0,9,0,3,18,10,3,0,26,0,0,0,3,0,0,3,0,0,0,0,4,0,8,0,0,0,0,0,0,3,22,11,68,37,49,8,186
1100923,0,0,0,3,0,3,3,0,3,6,8,0,16,0,0,0,0,0,0,4,0,0,0,0,9,0,8,0,0,0,0,4,3,4,8,3,22,27,55,4,122
1100924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3
1100925,3,7,0,0,0,13,4,0,7,4,9,0,31,0,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,3,0,4,10,26,11,49,31,62,3,183
1100926,0,0,0,0,0,4,0,0,4,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,10,16,9,23,15,35,0,94
1100927,0,0,5,0,0,7,0,0,4,4,4,0,11,3,0,0,0,0,0,4,0,0,3,0,3,0,6,0,0,0,0,3,0,3,11,4,34,23,27,5,105
