SA1_7DIGITCODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
1100701,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,8,3,3,0,0,6,3,0,0,0,6,3,0,0,0,3,0,0,0,0,5,3,0,0,0,3,3,0,0,0,8,0,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,6,0,0,8,0,0,0,0,4,35,14,9,5,69
1100702,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,6,0,0,0,5,3,4,0,0,3,0,0,0,0,3,0,0,0,0,4,4,4,0,0,11,3,3,0,0,7,6,3,0,0,9,3,13,0,0,12,0,3,0,0,3,0,0,0,0,0,5,3,0,0,9,9,12,5,0,20,0,0,0,0,3,51,41,7,0,98
1100703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,4,8,3,0,0,12,3,7,0,0,9,0,3,0,0,11,5,0,3,0,14,0,0,7,0,3,4,3,0,0,8,6,6,0,0,15,0,3,0,0,4,0,0,0,0,3,0,0,0,0,3,3,3,0,0,7,3,8,0,0,11,3,0,3,0,4,48,39,28,0,112
1100704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,5,0,0,0,0,5,7,0,0,0,10,6,0,0,0,9,7,4,0,0,11,3,3,0,0,7,0,0,0,0,9,5,5,0,0,11,9,4,0,0,15,0,8,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,8,3,0,12,0,0,0,0,0,50,40,11,3,106
1100705,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,3,0,6,0,7,4,0,6,0,7,4,3,0,0,6,3,3,3,0,11,3,3,0,0,3,3,0,0,0,3,4,3,3,0,11,3,5,0,0,12,4,8,0,0,12,0,3,0,0,3,0,5,0,0,6,3,3,0,0,6,0,3,3,0,10,3,0,0,0,4,46,34,25,0,108
1100706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,5,0,7,6,4,3,0,11,3,0,0,0,8,7,4,0,0,6,3,3,0,0,3,0,0,0,0,0,0,0,0,0,5,6,5,0,0,9,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,33,22,7,0,71
1100707,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,3,3,0,0,3,7,0,0,0,10,4,0,0,0,4,4,0,3,0,7,3,0,0,0,8,4,0,0,0,4,3,3,0,0,3,9,3,0,0,7,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,3,0,0,6,3,4,3,0,15,0,0,0,0,0,61,24,12,0,98
1100708,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,5,3,3,0,0,5,8,0,0,0,8,3,5,0,0,5,9,3,0,0,12,14,0,0,0,14,0,5,0,0,9,6,7,0,0,8,5,3,5,0,9,0,5,0,0,3,0,3,0,0,5,0,0,0,0,0,13,3,0,0,12,11,10,0,0,18,0,0,0,0,0,72,48,10,0,120
1100709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,6,4,0,0,0,4,0,0,0,0,5,3,6,0,0,5,0,3,0,0,6,0,0,0,0,3,5,8,0,0,12,5,6,0,0,4,3,3,0,0,11,0,3,0,0,5,0,5,0,0,13,9,3,0,0,13,0,0,0,0,0,45,43,7,0,91
1100710,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,0,12,4,0,0,0,7,10,0,3,0,11,12,0,0,0,9,12,8,3,0,17,8,5,0,0,14,0,6,0,0,3,4,3,0,0,6,4,4,0,0,10,4,5,0,0,9,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,9,7,0,0,8,0,0,0,0,0,80,41,14,0,130
1100801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,3,0,7,3,0,0,0,4,0,3,0,0,7,0,4,0,0,4,3,3,3,0,8,10,8,0,0,13,3,11,0,0,15,0,14,0,0,17,3,7,0,0,10,4,4,0,3,10,0,0,0,0,0,0,0,0,0,0,25,55,12,3,99
1100802,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,3,0,7,3,0,4,0,3,3,3,3,0,5,9,3,0,0,11,3,0,3,0,5,11,6,3,0,17,12,8,5,0,18,6,14,3,0,25,3,7,3,0,14,3,9,0,0,11,3,13,3,0,15,7,7,0,0,12,0,0,0,0,0,70,63,29,0,161
1100803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,3,0,0,3,0,5,3,0,5,0,9,0,3,3,0,9,0,0,4,0,9,0,0,0,0,6,0,3,3,0,7,0,0,0,0,3,5,7,0,0,19,4,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,11,0,0,0,0,4,25,30,34,5,97
1100804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,6,3,0,0,10,3,3,4,0,5,7,3,0,0,8,0,3,3,0,11,0,3,3,0,12,0,0,0,0,3,5,4,3,0,12,0,3,0,0,7,3,3,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,41,33,25,0,101
1100805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,3,0,3,0,9,0,0,6,0,9,3,3,7,0,12,3,0,0,0,5,0,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,15,15,38,0,66
1100806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,7,3,6,0,15,3,0,4,0,9,0,4,0,0,9,0,3,3,0,11,8,10,0,0,21,3,3,0,0,13,4,4,0,0,10,0,0,0,0,4,3,3,0,0,7,3,5,3,0,15,0,0,0,0,0,47,48,23,0,117
1100807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,9,0,12,4,0,4,0,13,3,0,3,0,6,3,5,0,0,9,3,0,3,0,9,4,0,3,0,12,6,9,0,0,19,6,8,0,0,9,0,6,0,0,5,0,4,0,0,4,3,0,0,0,6,6,9,0,0,9,0,0,0,0,0,44,42,26,3,113
1100808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,4,6,0,0,0,12,3,3,3,0,10,9,3,7,0,13,3,12,0,0,8,3,3,3,0,12,4,4,3,0,14,8,8,3,0,26,6,7,3,0,18,0,0,0,0,0,0,7,0,0,7,0,3,0,0,6,0,7,3,0,17,0,0,0,0,0,41,70,35,0,148
1100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,3,0,0,3,3,0,0,0,8,3,5,0,0,7,4,5,0,0,14,0,10,0,0,14,0,3,0,0,3,3,11,0,0,11,3,6,0,0,7,0,0,0,0,3,25,49,7,0,84
1100811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,6,6,0,0,0,3,3,0,0,0,5,3,3,0,0,6,5,0,0,0,3,3,4,0,0,6,9,7,0,0,14,0,9,0,0,9,0,3,0,0,6,0,3,0,0,3,0,5,0,0,4,3,5,9,0,12,0,3,0,0,3,30,43,17,3,91
1100812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,0,0,13,0,7,0,0,7,0,0,0,0,8,3,6,0,0,4,9,10,0,0,17,0,3,0,0,7,0,0,0,0,0,24,32,10,0,72
1100813,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,4,0,4,6,4,0,0,11,3,11,3,0,15,3,9,0,0,15,4,10,3,0,15,4,10,0,0,11,3,21,0,0,19,0,8,0,0,13,0,0,0,0,0,37,68,16,0,121
