SA3_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
10102,23,137,315,300,71,0,0,0,848,11,70,109,110,100,0,0,0,401,15,144,262,445,483,392,175,61,1985,40,357,684,856,658,392,175,61,3230,3416,4000,3642,3608,3347,2222,968,225,21426,174,298,240,215,253,162,68,31,1445,3633,4653,4566,4679,4251,2779,1215,320,26103,21,79,140,102,18,0,0,0,361,0,23,48,33,30,0,0,0,134,9,46,86,169,152,56,14,7,544,35,154,270,307,202,56,14,7,1041,3132,4441,4147,4242,3617,2460,1222,406,23670,168,258,221,184,206,150,96,48,1336,3340,4850,4642,4736,4019,2665,1337,464,26046,47,220,450,405,89,0,0,0,1211,11,94,156,146,132,0,0,0,534,20,192,353,618,638,447,191,64,2526,79,510,960,1165,856,447,191,64,4268,6552,8435,7785,7846,6965,4679,2192,633,45098,349,558,460,399,458,314,162,82,2784,6973,9502,9210,9411,8276,5446,2548,784,52153
10103,0,0,0,6,0,0,0,0,13,3,8,3,4,3,0,0,0,19,3,25,42,75,104,129,82,40,499,8,33,47,84,113,129,82,40,527,1068,1197,964,1228,1333,1034,522,140,7488,104,196,161,137,119,93,58,20,880,1179,1423,1163,1455,1560,1252,661,203,8897,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,7,10,23,32,14,5,3,94,0,7,12,29,34,14,5,3,97,997,1158,1073,1305,1345,1014,581,233,7704,93,120,80,91,98,82,58,40,658,1092,1279,1162,1427,1474,1113,649,274,8471,0,4,0,3,3,0,0,0,14,3,3,3,6,3,0,0,0,24,6,29,47,100,138,141,88,42,590,10,37,52,107,148,141,88,42,627,2070,2353,2032,2538,2679,2048,1103,373,15196,199,316,235,227,213,173,121,57,1538,2275,2702,2325,2878,3034,2362,1311,474,17367
10104,0,0,3,3,7,0,0,0,19,0,8,6,4,16,0,0,0,35,7,75,81,187,366,813,526,264,2332,9,83,92,201,394,813,526,264,2384,3005,2699,2964,3809,5440,5833,2698,643,27083,329,252,237,342,431,458,268,144,2464,3345,3029,3284,4353,6264,7108,3490,1051,31925,0,3,0,3,4,0,0,0,10,0,4,0,0,11,0,0,0,13,3,14,28,61,90,97,32,27,352,4,20,31,61,99,97,32,27,379,2683,2936,3318,4387,6550,6457,3285,1257,30870,275,234,277,326,409,407,305,246,2482,2962,3188,3624,4776,7055,6970,3621,1535,33732,0,3,5,11,10,0,0,0,30,0,13,6,4,25,0,0,0,51,14,90,112,247,457,912,554,297,2683,15,105,123,265,494,912,554,297,2758,5687,5627,6279,8195,11985,12292,5985,1901,57953,599,484,507,674,842,872,576,392,4944,6302,6219,6911,9128,13323,14074,7112,2586,65655
10105,0,3,6,3,3,0,0,0,21,3,8,5,7,9,0,0,0,35,3,53,59,117,196,217,175,105,928,8,60,76,128,212,217,175,105,977,1948,1977,1827,2005,2348,1946,1001,257,13301,211,320,238,250,218,161,96,48,1532,2172,2352,2137,2380,2768,2321,1272,412,15814,0,0,0,0,0,0,0,0,3,0,6,3,6,0,0,0,0,12,0,5,23,21,40,26,12,5,118,0,11,23,23,37,26,12,5,140,1764,2087,2005,2257,2498,2218,1251,555,14630,130,148,154,131,152,160,105,61,1047,1891,2249,2189,2404,2689,2403,1369,623,15818,3,5,6,5,3,0,0,0,23,3,7,14,12,9,0,0,0,43,3,51,85,134,234,240,187,110,1051,9,67,97,148,249,240,187,110,1119,3709,4064,3832,4258,4843,4156,2254,818,27936,343,469,391,381,368,324,202,108,2580,4065,4603,4324,4786,5458,4723,2637,1034,31629
10106,0,9,31,27,11,0,0,0,76,3,3,17,20,21,0,0,0,67,9,48,70,162,197,265,150,91,982,7,64,116,208,228,265,150,91,1123,1900,1591,1767,2167,2262,1879,993,212,12776,133,136,123,183,190,147,120,45,1089,2046,1794,2004,2549,2680,2290,1266,351,14991,5,5,11,3,3,0,0,0,24,0,0,8,10,3,0,0,0,24,0,14,36,47,44,43,8,8,196,5,20,54,63,55,43,8,8,244,1874,1792,2152,2489,2379,2161,1150,469,14470,129,127,139,141,162,170,123,75,1054,1998,1932,2346,2693,2597,2368,1284,554,15773,6,7,38,29,15,0,0,0,100,3,11,23,31,29,0,0,0,89,9,59,109,208,241,303,153,102,1180,14,81,169,267,281,303,153,102,1373,3770,3385,3924,4654,4640,4038,2148,688,27246,261,259,259,323,354,316,248,117,2139,4045,3720,4355,5242,5281,4660,2550,902,30759
10201,18,24,16,12,8,0,0,0,76,15,32,30,16,12,0,0,0,103,23,160,197,366,493,845,835,520,3440,60,211,240,393,519,845,835,520,3622,9365,8308,9719,10463,10198,8595,5064,1273,62973,449,514,455,505,490,463,399,334,3613,9873,9042,10415,11358,11200,9902,6299,2126,70212,4,6,0,4,0,0,0,0,14,6,0,0,0,3,0,0,0,9,8,22,34,86,97,85,57,54,438,16,22,36,88,103,85,57,54,457,9019,8799,10782,11447,11942,10924,6624,2844,72382,404,443,502,452,461,558,627,743,4186,9434,9269,11318,11985,12504,11558,7307,3646,77025,19,24,17,18,13,0,0,0,94,18,30,31,16,16,0,0,0,114,37,178,229,445,591,924,891,576,3877,74,241,275,481,621,924,891,576,4081,18386,17108,20498,21909,22137,19516,11693,4115,135355,852,962,960,955,948,1022,1019,1081,7802,19307,18308,21730,23351,23708,21460,13606,5769,147240
10202,11,9,20,14,7,0,0,0,74,7,24,21,11,8,0,0,0,76,38,179,201,365,477,897,742,445,3350,57,215,239,392,495,897,742,445,3496,9433,8808,8685,9067,9135,7627,4327,1028,58112,540,559,573,572,458,463,478,325,3968,10028,9579,9501,10029,10087,8992,5550,1802,65572,3,4,8,3,0,0,0,0,12,0,9,0,8,3,0,0,0,20,13,24,38,72,85,95,38,25,387,22,36,40,83,89,95,38,25,423,8901,9629,9557,10244,10556,9595,5809,2248,66543,505,575,526,477,446,548,701,698,4472,9426,10239,10130,10803,11088,10237,6544,2972,71437,11,16,27,16,11,0,0,0,84,7,30,21,18,9,0,0,0,91,53,206,234,443,567,991,783,470,3735,76,254,283,479,581,991,783,470,3917,18332,18431,18244,19312,19694,17221,10139,3285,124660,1047,1134,1101,1049,901,1015,1172,1024,8432,19456,19816,19628,20839,21178,19226,12096,4781,137009
10301,0,0,3,0,0,0,0,0,14,8,17,8,6,6,0,0,0,51,8,38,86,131,173,270,167,103,977,19,61,95,138,186,270,167,103,1034,2940,2638,2406,2564,2651,2212,1158,277,16845,362,523,471,307,226,186,104,37,2206,3318,3219,2972,3002,3063,2661,1436,418,20084,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,10,5,13,19,19,30,30,6,10,125,5,15,18,25,32,30,6,10,133,2802,2831,2593,2915,2913,2502,1402,674,18629,178,159,157,183,152,146,116,60,1160,2987,3005,2766,3118,3100,2681,1524,742,19929,0,3,3,0,0,0,0,0,17,9,17,13,7,8,0,0,0,58,15,52,97,150,209,293,173,109,1096,24,72,119,156,219,293,173,109,1170,5738,5468,4995,5481,5565,4720,2559,951,35477,541,683,627,491,383,329,218,101,3369,6306,6227,5738,6121,6162,5343,2957,1156,40011
10302,0,0,0,0,3,0,0,0,5,0,5,4,0,3,0,0,0,15,6,33,87,95,166,328,191,145,1049,10,35,90,99,180,328,191,145,1073,2681,2529,2419,2761,3351,2958,1708,453,18853,323,262,281,288,331,271,188,80,2029,3006,2825,2788,3150,3859,3553,2083,677,21948,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,4,5,15,31,24,23,18,12,129,6,8,16,32,24,23,18,12,137,2485,2668,2626,3012,3407,3145,1999,933,20282,288,267,263,244,272,208,214,133,1878,2779,2937,2904,3291,3702,3377,2228,1076,22296,0,0,0,0,3,0,0,0,5,4,5,8,4,3,0,0,0,23,12,37,99,128,193,353,200,158,1176,17,46,104,129,206,353,200,158,1214,5164,5198,5049,5780,6760,6103,3701,1384,39131,608,522,541,531,604,473,409,219,3902,5785,5763,5694,6437,7563,6926,4311,1757,44247
10303,0,4,6,3,0,0,0,0,8,6,5,3,5,3,0,0,0,16,5,45,75,111,168,308,212,108,1024,12,50,77,114,171,308,212,108,1058,2304,2312,2258,2663,3025,2558,1393,292,16806,260,321,294,236,257,230,152,36,1778,2575,2686,2627,3015,3456,3092,1763,435,19644,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,9,9,38,40,16,15,13,144,9,10,7,38,35,16,15,13,141,2009,2474,2411,2834,3176,2732,1663,649,17948,166,179,191,210,204,200,165,82,1402,2182,2663,2613,3080,3421,2947,1842,741,19493,0,0,6,3,6,0,0,0,9,6,5,6,5,4,0,0,0,22,10,51,81,146,205,319,229,121,1164,13,60,91,152,213,319,229,121,1198,4316,4792,4668,5493,6203,5288,3052,945,34757,428,498,481,447,455,434,320,112,3179,4761,5353,5237,6090,6873,6035,3604,1178,39139
