SA3_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
11401,..,166,171,85,126,249,218,119,40,1171,..,97,257,248,525,1320,1805,1535,806,6579,129,156,122,74,109,156,154,76,39,1031,7868,4423,5024,5220,5877,7764,8079,4556,1556,50367,..,118,3014,5336,5843,8410,9931,5250,965,38867,..,1005,2715,1695,1586,1547,975,279,41,9854,..,153,728,1096,1266,700,382,315,231,4872,15842,..,..,..,..,..,..,..,..,15842,..,3338,..,..,..,..,..,..,..,3338,..,3011,1449,601,483,347,74,4,0,5965,..,427,241,102,160,350,407,269,197,2145,..,298,282,127,112,97,65,26,19,1034,..,328,459,213,268,493,450,229,69,2504,..,237,662,659,1298,2516,3154,2444,1172,12139,278,311,262,203,245,304,316,170,51,2132,16117,9219,9807,10029,11252,14770,15750,8991,2745,98688
11402,..,67,68,37,62,78,86,45,3,445,..,33,99,100,242,596,1037,886,353,3348,55,104,44,37,39,66,51,31,21,442,4116,2328,2294,2611,3348,3612,3969,2517,695,25482,..,49,1821,3200,3880,4129,4607,2867,524,21075,..,304,976,663,774,676,486,167,22,4074,..,36,153,351,595,371,176,162,110,1960,8258,..,..,..,..,..,..,..,..,8258,..,2119,..,..,..,..,..,..,..,2119,..,1648,732,275,241,147,25,0,0,3067,..,133,112,49,71,144,155,178,80,913,..,129,189,54,59,37,32,12,3,515,..,112,187,100,121,165,168,86,14,954,..,63,212,248,523,1014,1509,1224,489,5283,104,153,110,86,83,115,101,61,33,829,8355,4750,4497,5022,6338,6792,7267,4745,1271,49050
11501,..,226,204,72,61,85,69,30,13,755,..,54,221,229,288,582,1107,1228,602,4309,76,143,106,60,43,67,75,46,21,644,14261,9129,6794,11957,11073,9423,7800,4094,1336,75873,..,111,5103,18335,17165,14510,11474,5225,932,72835,..,356,1506,1130,1018,619,314,78,16,5035,..,32,189,860,1450,989,429,272,146,4366,29422,..,..,..,..,..,..,..,..,29422,..,12191,..,..,..,..,..,..,..,12191,..,5057,4675,1089,535,221,36,0,0,11616,..,444,393,173,189,504,742,531,356,3339,..,219,337,164,108,86,52,14,0,997,..,432,501,177,157,159,156,62,18,1663,..,120,477,539,617,959,1577,1574,811,6678,177,253,198,128,90,124,117,68,32,1189,29596,19215,13387,22594,21333,18165,14902,7833,2311,149335
11502,..,11,27,9,20,31,26,14,4,137,..,7,19,26,44,105,200,217,103,735,19,32,14,10,18,26,19,11,6,151,2276,1721,1017,1486,2119,1846,1509,917,302,13197,..,30,696,2041,3120,2758,2139,1220,224,12230,..,86,305,210,312,237,115,49,3,1314,..,8,42,141,253,174,74,65,42,784,4797,..,..,..,..,..,..,..,..,4797,..,2052,..,..,..,..,..,..,..,2052,..,1303,822,218,126,83,9,0,0,2556,..,61,33,32,48,80,129,124,103,607,..,54,86,25,52,48,29,21,5,320,..,23,62,30,47,65,58,20,12,319,..,18,58,81,126,240,322,314,154,1314,37,70,36,29,34,53,40,20,12,335,4839,3704,2132,2797,4121,3733,2922,1819,545,26623
11503,..,6,14,7,23,35,19,20,0,129,..,13,32,28,67,166,171,123,41,633,23,39,13,10,14,17,11,5,0,141,2200,1499,1306,1356,1864,1744,1171,556,137,11819,..,53,1115,1821,2462,2395,1659,657,114,10285,..,221,584,408,427,312,133,42,11,2140,..,13,83,139,244,147,67,54,20,767,4548,..,..,..,..,..,..,..,..,4548,..,1246,..,..,..,..,..,..,..,1246,..,1317,569,151,100,37,4,0,0,2181,..,60,39,31,47,87,106,99,55,527,..,81,71,32,40,43,25,15,0,311,..,18,31,19,52,67,57,30,3,289,..,33,80,87,199,339,309,213,64,1322,38,86,56,27,34,51,36,14,0,348,4593,3133,2633,2717,3612,3485,2395,1124,269,23964
11504,..,48,66,19,15,23,20,11,0,208,..,35,130,98,102,138,230,175,50,961,41,49,48,15,30,20,22,13,0,236,6687,3458,3672,5158,3849,2426,1617,732,176,27772,..,67,3425,8263,6063,3669,2256,846,106,24693,..,310,1142,615,505,250,88,27,0,2938,..,32,148,436,541,269,100,79,31,1627,13670,..,..,..,..,..,..,..,..,13670,..,3820,..,..,..,..,..,..,..,3820,..,2288,1267,264,142,65,9,0,0,4033,..,205,210,76,67,210,251,162,82,1255,..,126,137,53,39,30,22,7,3,407,..,86,150,56,39,47,40,22,0,446,..,64,263,217,251,266,335,229,70,1703,60,96,87,50,56,30,29,16,6,432,13726,7090,6830,10026,7693,4836,3126,1387,304,55022
11601,..,270,404,153,133,182,132,38,6,1319,..,127,345,335,467,853,1102,873,442,4546,107,136,149,74,68,81,105,54,36,816,12813,7971,10546,10502,8024,7326,5925,2831,1012,66942,..,493,8984,14748,10078,8805,7078,2874,512,53575,..,766,2412,1416,1144,771,276,78,4,6867,..,163,726,1341,1604,1194,673,426,256,6372,26244,..,..,..,..,..,..,..,..,26244,..,7561,..,..,..,..,..,..,..,7561,..,4760,4125,1360,769,358,68,3,0,11449,..,1050,1130,384,413,756,819,471,199,5233,..,666,1067,328,225,120,70,24,3,2500,..,964,1496,563,427,426,308,99,18,4306,..,262,935,965,1237,1807,1834,1276,626,8931,249,271,306,208,141,159,143,76,47,1602,26496,16955,21182,21308,16036,14405,11268,5332,1659,134643
11602,..,209,293,94,96,117,47,14,0,886,..,106,318,260,288,412,601,357,82,2417,93,98,104,57,28,53,44,27,5,514,17018,7869,10883,14192,8136,5471,3659,1395,339,68955,..,230,10420,23659,12592,7572,4635,1443,191,60744,..,812,2941,1511,1017,428,153,37,4,6913,..,86,507,1110,1322,745,300,159,65,4301,34806,..,..,..,..,..,..,..,..,34806,..,8645,..,..,..,..,..,..,..,8645,..,4461,3238,685,305,101,20,4,0,8807,..,746,861,291,238,585,739,411,172,4051,..,374,446,200,105,71,36,3,8,1242,..,469,714,227,207,227,118,29,9,1990,..,198,733,659,631,702,832,511,127,4398,194,188,209,125,73,83,74,39,9,1001,34998,16226,20083,28470,16497,10518,6907,2630,574,136902
11603,..,97,160,84,118,138,97,37,0,736,..,85,244,217,386,614,841,588,176,3145,132,120,116,60,49,62,75,24,11,652,12315,7388,7882,7655,6663,5878,4185,1896,499,54359,..,298,5403,9473,7989,7093,4572,1729,259,36822,..,744,1904,1270,1037,634,220,75,5,5893,..,339,1225,1433,1515,1112,575,360,129,6688,24773,..,..,..,..,..,..,..,..,24773,..,6724,..,..,..,..,..,..,..,6724,..,5202,4012,1114,612,250,37,5,0,11222,..,857,753,351,372,665,706,373,166,4244,..,302,405,229,155,121,60,10,3,1288,..,234,477,239,304,301,212,79,9,1856,..,197,595,667,942,1280,1359,865,244,6153,282,231,272,179,156,107,107,42,16,1392,25053,15128,15045,14950,13079,11574,7855,3547,829,107060
11701,..,599,757,133,65,65,59,17,9,1714,..,197,552,357,259,409,527,453,204,2961,46,81,95,40,33,31,29,20,14,383,4126,3603,6352,4222,3259,2506,1961,1284,417,27729,..,113,3561,4800,3714,2817,1998,1104,245,18351,..,778,3491,1308,622,302,126,44,4,6676,..,30,159,456,645,442,216,191,76,2218,8364,..,..,..,..,..,..,..,..,8364,..,2403,..,..,..,..,..,..,..,2403,..,1342,1161,393,317,138,14,0,0,3371,..,532,472,138,116,215,238,175,93,1973,..,410,783,157,90,49,25,17,0,1531,..,1295,1908,388,180,151,145,43,15,4121,..,408,1153,779,630,818,846,665,272,5572,92,157,182,93,73,69,44,29,14,751,8452,7455,12867,8507,6396,5004,3646,2281,722,55331
