SA3_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
10102,686,84,784,11529,3491,436,15452,33760,2934,52153
10103,418,53,474,2930,955,102,3987,11774,1606,17367
10104,2201,364,2586,9067,4119,489,13674,46835,5144,65655
10105,916,108,1034,5584,2192,245,8014,20927,2689,31629
10106,798,99,902,5995,2098,264,8352,20198,2203,30759
10201,4647,1096,5769,29796,7533,643,37975,100991,8279,147240
10202,3701,1053,4781,27223,7151,811,35189,92832,8987,137009
10301,1055,94,1156,7447,2844,337,10626,25889,3492,40011
10302,1542,207,1757,7631,3064,366,11061,29102,4081,44247
10303,1050,112,1178,6879,2447,309,9637,26129,3370,39139
10304,1197,192,1414,10264,3449,500,14206,30848,3146,48201
10401,1540,202,1754,6675,3011,363,10052,30649,4401,45096
10402,2221,467,2720,13596,4978,731,19308,51457,5430,76197
10501,352,89,451,2677,893,74,3650,10553,3066,17273
10502,488,133,618,2431,1049,119,3599,11133,1735,16461
10503,1472,307,1794,10899,4196,507,15596,36341,6993,58936
10601,1519,181,1710,16503,5920,673,23090,49182,5965,78236
10602,1244,196,1452,16308,5028,688,22020,43380,3023,68430
10603,1744,348,2101,10534,4316,445,15291,44821,3791,63908
10604,551,100,659,4900,1476,151,6526,15914,2037,24478
10701,1937,290,2249,13261,3988,346,17599,43733,3303,64634
10702,0,0,0,0,0,0,0,4,0,4
10703,1929,535,2471,16540,5542,578,22657,53976,4211,80850
10704,2919,563,3503,22275,5801,393,28475,78216,5539,112228
10801,1274,318,1599,3638,1593,145,5372,21128,2371,28862
10802,1375,202,1579,6031,2666,337,9032,29480,4350,42862
10803,12,0,15,72,22,0,104,247,36,379
10804,2875,513,3414,11904,4598,553,17057,51750,4112,72918
10805,1655,261,1926,6983,2893,350,10233,34225,3720,48177
10901,1427,171,1611,10443,3966,497,14906,35735,3637,54274
10902,246,42,288,1709,690,70,2476,6715,1446,10636
10903,1238,268,1514,5597,2305,278,8178,24814,3348,36343
11001,724,161,897,5177,1798,235,7208,20539,3082,30827
11002,995,174,1176,4722,1911,228,6862,21853,3408,32125
11003,381,74,457,3221,1195,155,4562,11783,3296,19647
11004,1793,338,2144,12815,4511,606,17928,43765,5759,67450
11101,3128,458,3617,21384,8502,740,30625,68404,4547,103573
11102,2230,379,2625,13576,5271,568,19417,46789,3527,69737
11103,3731,858,4635,27983,9691,913,38591,102565,8431,149592
11201,2221,362,2598,12954,4628,556,18139,49375,6068,73582
11202,1590,296,1893,9788,3918,522,14229,39881,5238,59349
11203,3200,623,3844,14186,4966,610,19763,55405,6142,81307
11301,1047,220,1286,7241,2718,286,10244,25680,3817,39743
11302,362,37,398,2059,843,86,2994,8045,1144,12182
11303,2206,341,2566,15184,5731,681,21594,51966,6173,79734
11401,3076,404,3504,14385,5971,708,21059,63140,6820,91019
11402,1429,312,1765,7924,2564,279,10762,30680,2445,43894
11501,2937,645,3603,31229,5561,303,37095,83480,3975,124552
11502,651,72,729,4681,1246,81,6005,15993,916,22921
11503,289,14,307,4456,1078,90,5622,13818,835,20268
11504,292,86,389,13392,1757,172,15325,25828,1507,42659
11601,1982,227,2220,25014,4098,321,29432,77898,7318,114649
11602,671,49,727,34774,3676,367,38804,62159,5841,106805
11603,1127,261,1395,18807,3497,381,22680,58436,7350,88464
11701,695,148,844,9333,1323,101,10752,35872,3268,49894
11702,798,155,958,8269,1037,106,9409,35437,2659,47505
11703,1661,388,2059,20082,3529,219,23826,161912,15388,201122
11801,2377,765,3169,20864,3837,237,24941,76000,6875,107824
11802,2617,726,3371,22044,3533,243,25823,79997,7751,113575
11901,3405,781,4204,30084,4529,377,34998,100715,11231,146943
11902,2559,562,3146,22571,2958,221,25754,79633,9449,114838
11903,2996,632,3652,21457,3757,230,25449,79483,5966,110895
11904,3053,727,3801,22688,3565,221,26476,88869,8318,123659
12001,1822,366,2206,15359,2465,142,17961,51348,3463,72771
12002,694,131,827,11127,1356,115,12594,31632,2167,46391
12003,3464,462,3968,23959,3529,241,27728,104117,7975,139818
12101,2357,319,2698,23683,3074,252,27004,64991,3750,95751
12102,1607,251,1864,18601,2590,194,21383,46581,2269,70237
12103,3731,394,4145,26258,4266,202,30724,66556,2869,100149
12104,1873,249,2136,15058,2865,156,18082,60019,3609,81717
12201,836,50,891,8361,1455,117,9933,24150,1366,35449
12202,1449,402,1863,11723,2924,199,14840,34684,2516,52040
12203,3947,497,4481,31202,5112,402,36722,85825,4785,127337
12301,845,143,991,15759,2769,338,18873,35184,2088,56141
12302,1516,462,1982,31826,5984,608,38413,91222,9244,138878
12303,515,189,708,8650,1973,246,10866,23002,2057,35926
12401,1555,188,1757,13455,3366,293,17115,44855,2363,64330
12402,0,0,0,0,0,0,0,8,0,8
12403,1609,397,2024,30360,5854,658,36873,81080,7134,125085
12404,706,119,829,6028,1434,163,7629,20550,2936,31115
12405,474,155,628,9485,2069,196,11753,29505,3473,44725
12501,906,178,1092,15003,2138,151,17295,61824,7915,87030
12502,1350,109,1477,14463,2024,99,16579,40145,2793,59519
12503,2234,605,2852,24801,3672,311,28780,87753,12701,129241
12504,2128,319,2452,29178,2812,234,32230,82636,8367,123226
12601,1094,113,1209,11115,1696,106,12917,29984,1488,44393
12602,3168,724,3920,26167,4082,219,30466,86651,6107,123220
12701,970,195,1179,27316,3853,400,31567,70633,6231,108424
12702,3279,741,4051,24898,4703,311,29909,119752,10946,160601
12703,1480,474,1966,23840,3293,276,27411,70991,8011,106411
12801,3406,456,3890,20817,5072,299,26179,66882,4150,97216
12802,1922,603,2542,22074,4624,275,26973,59947,3056,89982
19797,0,0,0,0,0,0,0,0,0,0
19999,33,16,49,818,332,37,1191,5556,3362,10112
