SA3_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
10102,5233,7329,1726,138,14428,2849,279,17553,328,281,199,24,830,813,49,1680,342,325,171,21,863,658,57,1572,668,608,371,47,1690,1467,104,3262,146,111,72,16,339,687,39,1067,93,67,35,8,211,306,40,554,193,118,59,17,388,508,38,934,20,7,5,0,34,40,3,77,3,4,5,0,14,10,0,30,457,312,177,39,988,1554,126,2661,6,3,3,0,10,9,0,22,3,0,0,0,8,8,0,16,0,0,0,0,0,3,0,3,11,7,4,0,25,13,0,36,25,16,9,0,46,34,0,73,5,5,5,0,16,26,0,43,6390,8269,2273,224,17164,5927,512,23599
10103,2163,1832,606,49,4644,1846,199,6688,44,22,13,0,82,112,9,205,32,21,13,0,66,71,37,174,74,47,24,0,149,189,47,385,95,40,35,0,170,212,80,463,13,3,6,0,21,25,8,54,7,0,0,0,7,5,0,8,0,0,0,0,0,0,0,0,3,5,0,0,8,8,3,22,118,48,38,0,207,250,93,551,0,0,0,0,0,18,0,16,5,0,0,0,5,3,0,5,0,0,0,0,0,3,0,9,4,7,0,0,18,11,0,26,8,7,3,0,24,29,0,60,14,10,4,0,25,28,7,59,2377,1944,686,49,5049,2337,350,7739
10104,10267,5806,2615,181,18875,6747,652,26272,351,82,131,9,574,964,28,1571,305,93,106,3,507,538,33,1078,654,169,236,16,1075,1506,64,2649,276,88,163,13,537,911,53,1500,30,5,9,0,35,55,3,94,10,0,0,0,15,24,0,38,0,0,0,0,5,0,0,5,3,10,0,3,12,26,0,43,324,100,169,13,609,1010,60,1679,48,10,17,0,71,97,8,180,89,16,12,0,121,213,8,349,0,0,0,0,0,5,0,11,14,5,7,0,23,12,3,42,158,28,31,0,224,333,22,576,40,16,7,0,63,60,3,126,11440,6124,3059,215,20841,9654,803,31301
10105,4081,3627,1461,99,9269,3386,297,12948,151,80,83,12,322,568,28,917,40,15,21,0,79,89,7,175,188,98,95,12,400,654,37,1096,29,16,26,0,74,205,5,286,4,0,3,0,9,49,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,11,10,0,19,38,23,29,0,95,264,8,367,5,0,7,0,12,16,0,24,0,0,0,0,3,17,0,21,0,0,0,0,0,0,0,4,11,5,3,6,24,22,4,47,18,9,9,6,38,52,5,91,3,5,3,0,14,24,0,38,4326,3768,1599,123,9814,4379,346,14540
10106,4114,4159,1283,115,9678,2966,239,12876,89,59,61,0,208,400,14,620,4,9,0,0,19,10,3,31,95,59,66,0,225,412,12,647,27,7,13,0,42,154,10,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,25,9,11,0,49,154,12,223,0,3,0,0,11,16,0,22,7,0,0,0,7,15,0,20,0,0,0,0,0,4,0,3,0,11,6,0,18,14,0,28,16,9,8,0,34,40,0,76,15,14,0,0,37,38,0,73,4275,4258,1368,113,10017,3605,273,13896
10201,14506,18086,6187,389,39176,10296,1290,50761,1496,433,515,53,2497,3216,158,5873,936,556,576,41,2104,1447,125,3674,2434,991,1087,95,4602,4662,279,9553,887,445,434,39,1809,2075,125,4006,257,100,108,16,478,512,66,1056,566,169,156,26,912,679,132,1729,137,53,46,7,236,191,28,450,76,42,47,0,166,92,5,267,1915,815,789,83,3607,3553,351,7509,38,6,13,0,50,106,5,160,47,25,42,0,116,220,17,350,4,0,0,0,4,0,0,3,16,10,11,0,39,37,3,78,99,34,64,0,207,357,27,587,34,20,19,0,73,100,8,179,18988,19944,8147,576,47656,18975,1956,68590
10202,14415,16629,7994,532,39573,11358,1521,52461,856,266,487,44,1656,1997,106,3757,528,342,440,23,1336,1017,87,2440,1383,601,927,67,2989,3012,193,6190,403,142,314,28,886,1500,79,2463,98,39,71,3,209,225,22,465,176,50,90,11,335,387,24,749,58,9,11,0,75,64,7,146,52,21,17,3,91,65,8,158,785,262,504,45,1592,2243,144,3982,33,10,11,0,51,117,8,184,38,0,14,0,50,71,7,134,4,0,3,0,4,0,0,9,15,14,8,0,40,22,7,68,86,19,39,4,145,219,20,390,20,19,7,0,47,48,0,99,16691,17535,9475,651,44351,16890,1887,63124
10301,4624,4703,2019,144,11487,3484,457,15434,239,125,122,20,506,765,65,1337,59,33,48,8,143,206,21,369,293,162,171,21,654,973,80,1706,107,35,43,7,189,462,34,691,0,0,0,0,0,13,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,9,0,18,120,37,43,7,207,488,38,727,4,0,0,0,9,10,0,22,3,0,0,0,5,6,0,6,0,0,0,0,0,4,0,4,4,3,0,0,14,5,0,16,15,12,0,0,25,21,0,51,12,7,7,0,24,25,0,49,5064,4920,2246,179,12400,4989,584,17974
10302,5990,4915,2245,207,13358,5448,431,19233,133,55,53,9,245,498,17,764,9,3,3,0,13,49,0,63,140,58,55,9,259,547,17,824,80,29,35,6,148,507,19,674,0,0,0,0,0,20,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,13,88,29,35,7,157,534,19,706,10,0,0,0,14,36,0,50,4,0,4,0,5,27,3,31,0,0,3,0,9,0,0,10,9,13,9,0,28,22,4,58,22,16,10,0,54,86,8,151,25,34,3,0,68,51,0,116,6263,5054,2353,223,13897,6665,474,21032
10303,5083,4531,1915,161,11695,4659,423,16776,213,77,98,8,402,694,48,1143,12,6,16,6,32,77,7,117,224,82,117,10,432,774,49,1260,18,12,13,0,37,142,3,182,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,0,0,0,4,3,0,7,19,16,16,0,51,161,3,212,7,0,0,0,7,38,5,52,13,0,3,0,17,45,0,60,0,0,0,0,0,0,0,0,20,14,6,0,41,31,6,67,35,19,6,0,60,115,4,185,15,10,6,0,31,27,0,55,5389,4651,2059,174,12268,5735,490,18485
