SA3_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
10102,312,992,3242,3469,3403,2216,486,51,0,14171,591,444,545,389,406,551,337,71,3,3337,46,39,107,113,126,134,33,7,0,613,14,36,70,71,44,33,7,4,0,289,968,1515,3972,4041,3986,2928,870,127,7,18413,24,41,95,72,81,69,17,0,0,397,79,27,31,11,14,33,22,0,0,213,97,64,130,78,95,103,43,4,0,611,1063,1580,4103,4116,4079,3030,915,135,7,19018,699,133,263,225,384,974,1705,1011,279,5670,76,83,295,225,217,249,165,67,29,1410,1837,1794,4653,4566,4679,4251,2779,1215,320,26103,140,757,2363,2319,2694,1405,198,12,0,9893,728,521,1129,1288,1045,930,299,38,3,5978,54,44,385,229,157,140,40,5,0,1051,15,27,53,52,32,26,13,0,0,215,935,1349,3924,3886,3926,2510,541,53,6,17132,22,31,59,53,46,33,3,0,0,243,66,23,52,41,41,21,18,0,0,269,92,60,108,100,87,49,22,0,0,516
10103,97,249,784,732,904,792,218,54,3,3844,189,179,274,120,186,205,163,47,6,1361,27,15,36,25,39,50,10,5,0,210,9,14,33,11,10,10,5,5,3,114,317,455,1134,889,1143,1064,397,111,14,5523,4,12,25,18,19,38,4,0,0,116,7,7,9,8,5,6,9,0,0,58,21,23,32,21,26,43,6,0,0,172,337,478,1164,908,1167,1110,409,112,14,5698,218,67,137,159,185,350,738,492,169,2530,36,45,117,96,102,98,100,60,14,675,593,591,1423,1163,1455,1560,1252,661,203,8897,58,194,450,484,630,480,91,20,0,2413,228,203,450,387,441,441,164,25,4,2332,20,15,64,29,41,41,21,3,0,233,7,6,11,14,17,5,3,9,0,76,312,417,980,905,1131,974,278,52,0,5044,0,9,12,6,9,5,0,0,0,53,21,8,10,19,15,13,0,0,0,79,18,18,23,26,20,20,3,0,0,132
10104,319,617,1664,1910,2223,1990,522,68,3,9308,568,318,511,481,754,1175,691,98,11,4605,59,36,82,94,138,232,87,16,0,748,30,24,73,73,79,66,17,10,0,378,977,995,2332,2562,3189,3460,1321,190,26,15043,37,47,92,62,94,91,16,0,0,440,52,36,47,20,31,55,25,0,0,264,94,84,135,85,119,146,44,0,0,710,1064,1076,2471,2644,3312,3604,1364,192,26,15748,734,188,319,410,697,2226,5292,3043,893,13802,154,124,242,234,347,434,451,258,137,2375,1949,1387,3029,3284,4353,6264,7108,3490,1051,31925,131,343,956,1163,1685,1303,243,21,0,5851,680,451,1092,1371,1602,2082,676,64,5,8023,70,46,198,157,173,218,84,9,0,950,35,26,53,47,56,54,27,5,3,292,909,864,2302,2730,3520,3655,1029,105,9,15123,18,21,30,27,50,34,5,0,0,193,52,30,45,30,43,79,16,4,0,300,67,53,73,60,96,111,23,4,0,491
10105,241,503,1383,1351,1344,1318,329,72,9,6534,273,194,253,208,258,365,253,66,3,1874,18,25,46,61,77,87,40,9,0,357,13,20,58,33,35,24,16,8,0,205,543,740,1735,1655,1706,1798,639,143,17,8976,30,49,63,39,56,53,4,0,0,291,37,23,21,7,20,11,6,0,0,118,62,71,78,48,72,67,11,0,0,412,603,807,1818,1698,1785,1864,654,151,19,9395,426,180,377,304,436,719,1509,1042,341,5336,88,69,160,133,158,186,164,82,52,1084,1118,1054,2352,2137,2380,2768,2321,1272,412,15814,97,360,814,866,991,705,153,18,0,4006,374,255,655,668,685,752,259,22,5,3682,41,39,152,65,72,106,41,5,0,515,15,16,29,23,25,13,12,8,0,144,525,666,1642,1628,1780,1580,462,52,9,8341,17,17,23,18,36,25,0,0,0,128,31,18,31,40,31,33,5,0,0,189,51,27,56,55,63,53,5,0,0,319
10106,237,475,1221,1410,1692,1262,401,90,12,6806,300,143,178,186,255,374,245,80,14,1778,41,18,33,57,68,68,29,8,0,326,19,11,45,34,29,23,18,6,0,188,596,641,1476,1687,2048,1728,701,188,23,9098,15,37,38,39,45,34,5,0,0,220,51,14,6,7,11,26,15,0,0,132,64,57,44,44,57,58,15,0,0,350,661,699,1525,1740,2108,1787,717,188,23,9450,458,96,131,145,269,692,1430,967,288,4485,70,59,134,128,177,193,148,108,37,1055,1199,848,1794,2004,2549,2680,2290,1266,351,14991,114,321,669,922,1201,729,184,23,9,4155,406,257,558,778,789,730,300,64,7,3884,33,39,148,102,84,81,39,7,3,527,24,16,32,25,14,24,10,12,4,156,574,630,1406,1824,2086,1559,532,99,15,8719,7,15,25,26,31,22,0,0,0,133,53,8,25,17,27,26,7,0,0,163,63,34,48,50,54,44,10,0,0,295
10201,585,1527,4795,6445,6736,4733,958,74,10,25860,1408,1258,1546,1523,1627,1768,987,212,14,10345,411,454,583,546,546,587,246,29,4,3404,41,64,168,124,122,59,25,17,3,623,2445,3305,7088,8640,9041,7141,2206,329,36,40242,96,179,283,227,276,252,21,4,0,1339,235,90,62,66,55,86,49,8,0,653,332,271,351,286,328,338,74,7,0,1992,2784,3579,7440,8922,9368,7487,2280,341,38,42227,2287,806,1076,1050,1491,3231,7161,5537,1744,24381,213,209,527,441,497,485,461,416,349,3603,5284,4589,9042,10415,11358,11200,9902,6299,2126,70212,212,1167,3289,3634,4473,2982,449,34,0,16235,1757,1527,2484,3877,3777,3486,1069,125,3,18102,590,573,1025,897,733,716,210,34,5,4775,44,55,108,108,99,70,20,11,8,528,2598,3317,6905,8509,9088,7256,1750,200,17,39637,59,100,135,115,137,105,15,6,5,670,236,92,113,150,134,154,35,3,0,914,299,189,247,260,277,256,48,5,3,1588
10202,723,1754,5048,5469,5389,3988,651,46,0,23065,1236,1132,1568,1320,1354,1455,634,99,10,8814,399,415,645,557,565,559,183,21,0,3345,46,83,183,139,129,77,22,11,4,703,2415,3385,7447,7485,7437,6084,1493,177,13,35930,168,258,351,226,250,211,33,0,0,1498,261,103,82,69,60,104,26,0,0,706,427,359,434,294,314,315,61,0,0,2203,2840,3744,7879,7776,7754,6392,1555,180,14,38130,2139,793,1141,1163,1708,3230,6954,4882,1477,23489,259,254,558,564,571,460,483,484,312,3953,5237,4791,9579,9501,10029,10087,8992,5550,1802,65572,244,1202,3069,3163,3743,2358,343,16,0,14126,1509,1359,2788,3255,3138,2839,717,60,0,15659,576,583,1159,803,722,647,190,18,3,4704,38,50,146,113,96,56,29,10,3,544,2365,3193,7156,7329,7704,5897,1278,108,11,35028,97,126,137,114,153,103,12,0,0,740,285,107,143,134,130,126,21,0,0,943,378,229,285,245,283,228,27,0,0,1685
10301,258,693,1870,1867,1916,1467,399,50,0,8516,471,359,380,257,272,367,300,77,3,2479,48,40,73,59,72,103,42,9,0,445,19,38,48,30,28,29,11,3,0,213,787,1133,2369,2205,2292,1968,752,141,11,11658,38,64,77,52,64,53,4,0,0,355,60,29,24,12,12,15,4,4,0,169,96,95,101,63,80,70,10,4,0,521,881,1229,2471,2272,2375,2037,761,145,12,12179,680,333,579,500,473,845,1728,1176,371,6688,96,102,167,193,160,179,165,116,35,1215,1654,1662,3219,2972,3002,3063,2661,1436,418,20084,138,502,1151,1137,1417,932,188,12,0,5486,602,538,892,889,871,833,317,47,5,4983,46,64,185,96,81,110,42,0,4,625,23,17,35,32,15,22,3,8,0,150,807,1117,2261,2149,2388,1890,550,67,8,11239,23,26,31,33,34,30,0,0,0,178,61,44,38,39,30,35,7,0,0,254,82,72,72,71,60,62,8,0,0,431
10302,344,751,1850,1819,1932,1850,665,130,17,9363,372,188,273,199,258,422,341,128,23,2198,28,23,54,45,65,107,57,15,0,392,30,22,54,54,45,54,27,14,3,302,769,990,2232,2121,2293,2433,1083,286,47,12263,36,67,84,88,69,70,12,0,0,432,39,30,23,23,29,36,16,0,0,194,73,100,106,109,92,111,29,0,4,632,842,1090,2337,2230,2385,2545,1107,292,49,12886,663,138,228,283,469,974,2149,1595,552,7063,133,138,260,276,292,335,292,192,80,1997,1641,1372,2825,2788,3150,3859,3553,2083,677,21948,155,481,927,1016,1276,941,255,44,5,5095,496,341,909,932,992,1044,398,64,14,5192,31,38,171,99,78,95,29,16,3,551,30,15,32,34,36,22,21,10,4,208,712,877,2032,2078,2380,2100,705,134,27,11044,25,29,54,37,43,29,7,0,0,220,46,28,55,38,36,38,10,3,0,253,73,60,111,76,79,66,13,3,3,471
10303,296,607,1628,1601,1759,1457,373,69,8,7794,281,171,245,258,291,438,266,86,4,2033,53,32,106,64,85,120,36,3,0,500,18,30,53,45,51,31,18,18,0,253,642,841,2025,1968,2181,2044,688,177,17,10580,40,43,80,81,87,68,9,0,0,406,33,15,19,14,14,39,10,4,0,150,71,56,97,94,107,110,14,4,0,558,715,894,2121,2065,2283,2150,709,178,17,11140,590,177,352,334,496,1053,2148,1421,368,6946,107,88,208,227,232,249,235,161,45,1561,1412,1164,2686,2627,3015,3456,3092,1763,435,19644,101,324,795,764,1078,778,148,25,7,4025,400,295,836,963,967,943,291,42,6,4749,55,52,210,120,103,132,32,10,0,710,18,19,38,36,34,27,14,5,3,185,573,691,1880,1878,2176,1885,485,87,12,9664,21,25,48,36,38,27,0,0,0,188,59,21,33,28,42,42,5,0,0,232,77,44,84,64,82,69,5,0,0,419
