SA3_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10102,73,144,291,246,244,182,59,13,0,1252,72,118,295,267,258,175,54,9,6,1258,1904,2862,7896,7930,7914,5430,1410,182,11,35548
10103,18,31,75,49,58,46,23,4,0,305,28,41,98,68,77,69,26,12,5,427,629,872,2110,1790,2268,2034,680,164,16,10569
10104,90,106,196,218,251,219,75,9,0,1160,88,80,192,205,218,300,115,22,8,1233,1885,1856,4636,5289,6709,7117,2340,296,31,30166
10105,37,70,153,130,141,112,32,10,0,688,49,64,153,111,121,110,47,12,3,663,1068,1407,3383,3289,3483,3375,1096,203,27,17320
10106,55,65,125,117,139,90,34,6,0,634,58,57,123,136,136,99,49,25,3,688,1175,1270,2884,3514,4133,3288,1231,283,44,17820
10201,118,269,520,654,622,528,155,18,0,2884,149,257,586,695,719,481,182,60,11,3139,5047,6621,13997,17145,18124,14403,3957,533,49,79875
10202,161,306,705,590,610,433,104,9,0,2918,155,292,635,589,597,477,136,44,13,2947,4776,6573,14601,14812,15144,11975,2773,284,18,70958
10301,60,92,208,167,163,127,29,0,0,845,61,94,148,157,178,150,55,23,3,868,1589,2250,4631,4359,4682,3864,1304,208,18,22900
10302,93,105,182,135,148,173,60,9,0,916,90,83,189,160,165,155,101,39,11,995,1481,1869,4264,4201,4673,4535,1788,423,72,23302
10303,62,91,178,127,143,132,46,9,0,786,39,62,151,122,153,131,46,34,3,743,1210,1532,3908,3845,4358,3928,1174,264,29,20246
