SA3_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
10102,98,11,29,0,142,36,5,3,0,44,21,9,30,0,59,23,5,43,0,65,100,15,77,3,193,69,27,129,7,231,348,54,106,9,523,308,67,184,15,578,359,117,197,20,698,483,199,180,28,883,333,239,200,15,785,393,314,186,21,914,885,854,333,35,2111,719,919,140,15,1791,594,1004,124,15,1729,438,833,48,10,1341,1232,3082,125,11,4442,280,561,176,12,1027,76,45,34,4,163,6789,8352,2352,228,17710
10103,39,0,3,0,48,17,6,5,0,26,11,6,5,0,25,11,0,7,4,22,51,7,40,0,96,42,8,54,6,107,263,15,54,9,337,146,36,92,9,282,183,70,63,6,321,237,106,68,0,419,110,112,46,6,270,151,111,40,3,305,320,317,69,12,713,216,247,35,3,507,174,229,23,0,431,84,142,15,0,241,193,343,21,0,560,134,175,49,0,355,49,15,8,0,75,2438,1954,699,49,5138
10104,206,24,37,3,269,123,7,20,4,154,65,9,40,0,121,72,7,89,0,166,376,29,149,3,558,283,45,260,4,599,1772,106,283,17,2175,1160,177,418,39,1794,1245,325,398,33,1997,1405,520,331,32,2280,683,430,193,13,1316,723,483,175,12,1394,1175,1083,227,22,2506,682,767,95,13,1552,439,555,38,0,1030,198,334,23,0,554,501,602,45,4,1147,474,620,266,13,1375,207,51,71,6,332,11774,6178,3151,217,21316
10105,89,11,5,3,112,44,4,11,0,57,21,11,23,0,57,15,0,38,0,59,112,18,66,0,195,82,26,128,3,240,527,57,153,8,742,329,66,196,13,602,330,120,199,15,669,451,217,186,18,867,253,242,120,3,616,296,245,94,8,636,584,587,163,11,1344,400,522,67,6,995,252,404,43,9,709,135,319,16,0,465,315,576,24,5,917,175,344,96,10,619,81,24,31,0,140,4494,3798,1647,122,10055
10106,77,11,29,0,123,36,3,9,0,51,23,9,29,0,57,12,0,30,0,49,130,18,52,4,203,76,20,123,3,218,471,56,116,4,648,307,85,173,21,576,357,132,153,7,658,420,217,114,16,770,230,223,108,8,567,244,273,68,9,593,483,564,139,6,1197,331,465,57,11,868,304,450,29,0,785,171,327,15,0,520,488,985,37,9,1519,180,425,103,7,706,108,41,38,4,189,4450,4306,1422,119,10296
10201,381,51,114,12,555,169,11,34,0,222,119,15,79,5,216,89,16,159,4,267,451,55,283,16,805,338,81,532,10,962,2187,211,688,29,3121,1567,293,847,73,2782,1752,522,961,84,3325,1980,904,875,75,3833,1061,997,620,34,2714,1210,1068,600,37,2909,2316,2761,919,67,6058,1579,2632,394,39,4644,1159,2514,250,16,3939,681,1703,93,10,2478,1933,4874,258,17,7068,641,1331,560,21,2554,276,126,98,13,514,19880,20157,8354,574,48969
10202,317,48,153,10,526,130,11,36,3,173,76,17,99,3,200,91,19,194,8,316,503,49,383,15,951,329,74,781,24,1209,2618,213,913,49,3795,1547,310,1208,83,3149,1532,588,1284,95,3501,1752,1076,1055,92,3979,1004,1123,682,52,2862,1062,1309,577,46,2994,2226,2950,884,65,6124,1306,2623,390,29,4344,897,2059,191,17,3163,470,1262,86,6,1822,876,2522,151,12,3558,625,1333,591,29,2580,296,147,171,21,637,17657,17746,9840,654,45892
10301,75,12,28,0,114,38,4,12,0,56,24,10,23,0,54,32,0,57,0,91,130,10,82,8,228,62,19,164,0,255,529,55,185,13,782,353,78,282,18,729,455,162,282,20,924,525,251,222,27,1019,304,256,167,17,740,337,308,141,13,803,706,723,243,23,1698,498,691,92,11,1299,297,581,51,6,935,195,444,15,0,653,345,858,42,3,1252,243,463,161,8,871,84,33,55,3,179,5239,4963,2302,173,12676
10302,141,29,26,3,202,77,7,6,0,94,37,9,30,3,84,26,10,71,0,102,229,22,137,8,395,133,32,213,13,393,1009,95,266,19,1390,511,133,332,39,1018,531,246,316,27,1122,642,358,200,27,1224,312,355,143,10,816,381,370,117,10,880,671,795,164,16,1650,480,626,55,3,1165,299,488,40,4,829,128,279,16,5,424,328,591,37,0,962,320,593,187,17,1121,155,52,56,8,273,6413,5094,2412,222,14142
10303,101,13,30,0,140,61,5,11,0,74,20,5,28,0,59,22,5,65,0,100,189,21,118,5,330,109,27,178,5,324,767,84,219,18,1084,436,97,295,29,854,456,159,243,28,887,522,253,186,18,988,283,249,139,10,686,304,299,92,10,708,623,724,160,18,1524,416,606,67,7,1093,287,503,54,4,852,149,308,12,7,476,429,788,47,0,1263,256,481,137,11,881,122,46,42,5,224,5559,4685,2122,173,12536
