SA3_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
10102,0,87,0,85,..,94,11,102,0,101,..,39,0,40,0,40,..,82,19,99,0,99,..,1009,106,1112,21,1135,..,7754,765,8517,78,8600,..,227,30,259,3102,3363,52829,7984,796,8774,3182,64793
10103,0,3,0,3,..,53,10,57,0,57,..,9,0,5,0,5,..,13,4,13,0,13,..,182,18,203,6,210,..,1153,132,1283,20,1304,..,39,3,45,1601,1648,17767,1193,142,1331,1627,20717
10104,0,7,0,7,..,89,20,108,0,111,..,18,0,20,0,20,..,66,16,82,0,79,..,504,49,558,11,567,..,2511,262,2779,45,2823,..,182,10,193,5283,5470,68436,2693,272,2969,5325,76736
10105,3,11,0,11,..,39,13,52,0,48,..,13,0,16,0,16,..,25,4,33,0,33,..,320,50,369,10,372,..,1833,273,2104,32,2142,..,109,16,133,2882,3014,33251,1948,287,2237,2917,38403
10106,0,10,0,10,..,24,7,30,0,30,..,9,0,9,0,9,..,29,18,47,0,47,..,215,28,243,9,253,..,1504,232,1738,24,1760,..,87,4,92,2294,2388,34006,1590,238,1829,2321,38159
10201,0,129,6,128,..,386,77,463,4,466,..,89,11,96,0,96,..,219,44,269,4,267,..,2065,229,2294,71,2362,..,13127,1678,14800,184,14989,..,560,77,634,7885,8524,154918,13689,1750,15440,8073,178427
10202,8,65,0,65,..,242,56,299,0,299,..,58,4,61,0,65,..,166,48,215,0,213,..,1628,199,1830,56,1883,..,8349,1166,9519,140,9656,..,523,41,559,8861,9424,149094,8871,1204,10076,9000,168171
10301,5,67,0,69,..,42,25,70,0,70,..,0,0,5,0,5,..,68,10,78,0,78,..,400,42,445,14,457,..,2316,279,2589,42,2631,..,91,5,100,3621,3727,42787,2409,284,2689,3665,49146
10302,0,9,0,9,..,28,7,31,0,33,..,0,0,6,0,6,..,18,11,24,0,26,..,354,43,393,9,400,..,1455,187,1641,31,1673,..,139,5,137,4528,4669,48339,1588,192,1785,4558,54684
10303,0,20,0,22,..,64,23,82,0,82,..,9,0,9,0,9,..,43,15,59,0,59,..,336,34,369,9,377,..,1570,191,1765,24,1786,..,136,10,141,3665,3805,42275,1706,201,1906,3689,47870
10304,0,68,0,68,..,53,31,86,0,86,..,21,4,26,0,26,..,48,13,60,0,63,..,525,73,598,26,623,..,3005,394,3393,55,3453,..,136,26,161,3355,3520,54301,3137,417,3555,3413,61266
10401,0,3,0,3,..,44,12,50,6,57,..,7,0,7,0,7,..,25,4,27,0,33,..,360,22,383,5,390,..,1332,130,1459,25,1480,..,117,19,138,4384,4523,47651,1448,150,1598,4413,53665
10402,0,21,0,21,..,117,22,140,0,140,..,13,0,13,0,16,..,68,20,87,3,90,..,1745,714,2457,56,2517,..,6112,1489,7602,122,7721,..,311,46,357,5430,5782,78955,6421,1537,7960,5556,92462
10501,0,0,0,0,..,16,3,16,0,16,..,3,0,3,0,3,..,11,8,19,0,19,..,189,8,200,4,204,..,759,71,834,11,841,..,59,3,56,3508,3567,17195,818,74,893,3518,21607
10502,4,7,0,7,..,6,0,6,0,6,..,0,0,0,0,0,..,13,0,13,0,13,..,135,14,150,5,153,..,562,64,626,4,634,..,58,4,62,1857,1920,17328,620,70,688,1860,19876
10503,8,80,4,88,..,50,12,58,0,62,..,0,0,0,0,0,..,55,14,66,0,67,..,666,63,732,17,754,..,4065,403,4468,62,4535,..,229,23,251,7862,8114,61432,4301,421,4721,7927,74084
10601,0,19,0,19,..,137,38,175,0,176,..,14,0,14,0,16,..,69,63,127,0,132,..,414,77,487,17,499,..,2292,344,2639,42,2680,..,244,22,269,6144,6415,88837,2538,363,2909,6188,97927
10602,4,51,0,51,..,101,26,125,0,125,..,15,4,20,0,20,..,94,41,134,0,134,..,808,124,927,35,967,..,4169,619,4789,65,4852,..,212,12,223,3150,3370,78794,4379,638,5010,3216,87019
10603,0,15,0,13,..,105,30,138,0,138,..,17,3,24,0,24,..,56,23,81,0,81,..,536,75,614,8,618,..,2695,333,3024,31,3053,..,185,14,202,3801,4002,69354,2882,348,3228,3828,76414
10604,11,30,0,35,..,37,9,48,0,48,..,0,0,0,0,0,..,12,5,18,0,18,..,223,33,254,4,262,..,1049,186,1233,17,1247,..,77,8,84,2127,2209,27126,1130,186,1322,2141,30584
10701,0,33,0,33,..,103,26,130,0,136,..,299,73,373,0,369,..,230,102,330,0,330,..,1346,249,1593,26,1620,..,10378,2305,12691,115,12803,..,278,50,329,3227,3552,63454,10656,2352,13011,3348,79819
10702,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,4,0,0,4,0,9
10703,0,22,0,23,..,154,37,186,0,194,..,285,58,346,0,346,..,144,54,200,0,200,..,936,131,1065,29,1090,..,7343,1065,8408,92,8501,..,320,29,355,4324,4677,86070,7661,1103,8759,4417,99254
