SA3_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
10102,72,1670,99,1837,87,1618,92,1794,232,4097,329,4653,489,3826,257,4566,607,3834,231,4679,650,3321,287,4251,342,2260,176,2779,127,1020,64,1215,40,242,37,320,2651,21887,1566,26103,85,1504,85,1679,119,1452,97,1668,422,4135,294,4850,653,3738,245,4642,900,3632,203,4736,883,2922,215,4019,458,2062,151,2665,199,1038,100,1337,25,388,57,464,3728,20872,1453,26046,158,3172,189,3517,204,3069,185,3457,656,8229,625,9502,1146,7562,504,9210,1504,7468,441,9411,1528,6244,504,8276,799,4323,325,5446,322,2058,167,2548,66,629,90,784,6376,42758,3022,52153
10103,28,513,47,593,23,503,58,591,66,1157,201,1423,96,896,173,1163,178,1133,140,1455,210,1222,128,1560,112,1041,102,1252,62,540,62,661,17,159,20,203,797,7160,934,8897,18,495,51,560,23,460,48,534,113,1049,122,1279,171,902,83,1162,266,1063,104,1427,293,1076,104,1474,145,869,95,1113,71,513,66,649,10,228,35,274,1114,6653,703,8471,52,1005,100,1151,52,968,109,1122,178,2207,323,2702,272,1803,254,2325,443,2194,245,2878,507,2302,235,3034,255,1909,191,2362,131,1052,129,1311,26,391,54,474,1907,13817,1643,17367
10104,90,1618,241,1949,83,1169,140,1387,245,2521,266,3029,359,2670,252,3284,541,3441,368,4353,964,4837,463,6264,796,5823,486,7108,365,2815,312,3490,112,801,142,1051,3562,25690,2676,31925,112,1408,193,1715,98,1033,114,1245,348,2585,259,3188,632,2701,291,3624,1013,3414,348,4776,1499,5110,447,7055,1070,5478,422,6970,417,2858,345,3621,71,1223,239,1535,5263,25806,2665,33732,205,3026,433,3666,183,2200,253,2636,591,5103,529,6219,993,5369,552,6911,1563,6852,713,9128,2465,9946,910,13323,1862,11303,911,14074,786,5668,653,7112,185,2021,383,2586,8826,51495,5338,65655
10105,66,938,106,1118,60,875,120,1054,185,1835,337,2352,255,1637,248,2137,343,1768,266,2380,407,2133,226,2768,270,1875,175,2321,135,1025,114,1272,38,318,50,412,1767,12400,1645,15814,70,847,85,1003,68,774,55,891,278,1811,158,2249,405,1614,164,2189,534,1740,140,2404,576,1945,166,2689,371,1855,173,2403,153,1090,122,1369,29,532,61,623,2478,12212,1123,15818,137,1789,191,2119,132,1647,174,1944,458,3640,504,4603,658,3254,413,4324,874,3510,400,4786,987,4080,398,5458,644,3731,354,4723,292,2118,235,2637,71,849,112,1034,4247,24612,2770,31629
10106,61,1037,94,1199,53,732,61,848,130,1506,151,1794,232,1646,133,2004,349,2008,199,2549,390,2087,201,2680,300,1836,164,2290,117,1029,119,1266,21,284,41,351,1648,12171,1168,14991,67,998,75,1137,81,722,63,868,249,1548,134,1932,404,1789,156,2346,607,1943,146,2693,585,1837,170,2597,432,1759,174,2368,155,1005,125,1284,28,462,57,554,2603,12064,1102,15773,124,2040,165,2329,135,1453,126,1719,381,3053,284,3720,634,3433,293,4355,954,3950,344,5242,981,3928,369,5281,729,3596,336,4660,270,2031,244,2550,50,749,102,902,4256,24231,2273,30759
10201,205,4801,278,5284,247,4109,236,4589,564,7895,579,9042,1035,8874,505,10415,1458,9319,583,11358,1631,9021,547,11200,1134,8253,522,9902,665,5160,475,6299,179,1578,368,2126,7115,59009,4091,70212,240,4469,233,4944,295,3970,230,4487,867,7908,493,9269,1747,9013,557,11318,2433,9074,485,11985,2744,9256,512,12504,1817,9153,592,11558,744,5879,678,7307,165,2717,760,3646,11044,61440,4537,77025,447,9269,514,10231,536,8076,466,9075,1430,15807,1073,18308,2778,17890,1062,21730,3890,18396,1063,23351,4378,18278,1054,23708,2942,17400,1113,21460,1410,11043,1155,13606,344,4295,1126,5769,18160,120446,8635,147240
10202,258,4644,336,5237,284,4231,270,4791,665,8289,627,9579,965,7888,645,9501,1303,8112,617,10029,1421,8171,496,10087,989,7479,519,8992,642,4376,534,5550,143,1309,351,1802,6673,54503,4397,65572,276,4235,299,4812,352,3991,280,4614,1127,8460,641,10239,1834,7719,579,10130,2303,7980,521,10803,2401,8200,486,11088,1564,8064,607,10237,688,5116,741,6544,116,2135,722,2972,10660,55892,4886,71437,535,8871,636,10045,638,8225,549,9408,1792,16751,1270,19816,2801,15602,1222,19628,3605,16093,1145,20839,3822,16372,980,21178,2552,15549,1129,19226,1328,9493,1279,12096,255,3442,1081,4781,17330,110398,9283,137009
10301,75,1445,137,1654,76,1333,253,1662,183,2488,544,3219,265,2223,479,2972,415,2271,316,3002,455,2368,238,3063,302,2169,195,2661,166,1140,127,1436,49,330,40,418,1991,15770,2328,20084,80,1339,94,1509,96,1279,95,1468,313,2511,181,3005,456,2144,174,2766,705,2223,199,3118,714,2229,162,3100,405,2097,170,2681,188,1209,131,1524,31,653,64,742,2990,15672,1259,19929,155,2790,233,3169,172,2610,347,3134,503,4995,729,6227,724,4366,651,5738,1124,4493,511,6121,1166,4596,395,6162,708,4270,364,5343,359,2350,253,2957,77,984,98,1156,4980,31444,3583,40011
10302,67,1369,200,1641,61,1160,148,1372,193,2352,277,2825,304,2188,295,2788,435,2406,310,3150,544,2953,362,3859,424,2831,298,3553,210,1651,223,2083,66,526,86,677,2317,17431,2204,21948,90,1210,177,1478,102,1068,132,1302,345,2313,281,2937,559,2066,278,2904,719,2311,259,3291,832,2578,295,3702,574,2572,234,3377,222,1769,235,2228,55,886,138,1076,3500,16778,2024,22296,159,2583,375,3118,166,2230,276,2675,541,4667,559,5763,862,4258,575,5694,1152,4718,567,6437,1386,5522,657,7563,1000,5395,533,6926,437,3418,458,4311,125,1412,218,1757,5814,34206,4223,44247
10303,59,1197,155,1412,72,966,121,1164,180,2165,341,2686,272,2046,311,2627,404,2346,266,3015,489,2683,284,3456,338,2499,254,3092,154,1436,172,1763,38,361,36,435,1999,15701,1945,19644,70,1012,109,1201,69,844,75,986,296,2168,198,2663,433,1972,207,2613,676,2185,219,3080,733,2469,221,3421,428,2291,225,2947,178,1484,188,1842,27,632,82,741,2908,15060,1530,19493,133,2210,265,2613,137,1811,197,2149,472,4337,538,5353,704,4020,516,5237,1080,4530,483,6090,1217,5148,500,6873,768,4792,481,6035,334,2916,355,3604,60,995,121,1178,4907,30759,3469,39139
