SA3_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10102,927,555,720,658,622,685,411,177,80,4827,12643,6973,9502,9210,9411,8276,5446,2548,784,64793
10103,295,260,376,294,308,283,229,117,51,2213,3354,2275,2702,2325,2878,3034,2362,1311,474,20717
10104,1260,733,612,661,923,1168,1075,602,338,7368,11075,6302,6219,6911,9128,13323,14074,7112,2586,76736
10105,764,436,560,521,521,490,419,209,99,4016,6771,4065,4603,4324,4786,5458,4723,2637,1034,38403
10106,714,407,332,384,469,473,368,264,86,3507,7401,4045,3720,4355,5242,5281,4660,2550,902,38159
10201,2393,1478,1398,1497,1641,1639,1366,941,611,12958,31188,19307,18308,21730,23351,23708,21460,13606,5769,178427
10202,2952,1820,1630,1690,1721,1533,1351,1085,717,14496,31165,19456,19816,19628,20839,21178,19226,12096,4781,168171
10301,846,735,838,777,692,541,453,242,99,5217,9137,6306,6227,5738,6121,6162,5343,2957,1156,49146
10302,1292,723,672,697,745,800,603,441,201,6168,10435,5785,5763,5694,6437,7563,6926,4311,1757,54684
10303,1004,544,644,626,638,659,568,345,110,5140,8730,4761,5353,5237,6090,6873,6035,3604,1178,47870
10304,1204,633,619,650,662,595,515,317,192,5390,13064,7004,7524,7452,7551,7318,6343,3612,1414,61266
10401,943,678,917,828,775,800,629,334,144,6042,8565,5068,5158,5351,6459,8325,8287,4693,1754,53665
10402,1570,933,941,1050,1044,1010,870,599,352,8377,16268,9242,9868,10621,11650,12929,12358,6806,2720,92462
10501,916,481,490,476,479,546,419,261,79,4152,4336,2331,2771,2273,2620,3117,2353,1362,451,21607
10502,507,345,330,311,279,294,230,158,132,2584,3413,2117,2451,2139,2321,2889,2510,1405,618,19876
10503,2154,1205,1535,1303,1193,1095,840,587,278,10195,15146,8070,10267,8568,8515,9219,7765,4733,1794,74084
10601,1833,1325,1506,1339,1225,1037,704,396,173,9538,19695,11829,13192,12058,12364,12270,10008,4808,1710,97927
10602,1541,823,880,865,695,645,409,258,144,6258,18593,10626,12511,11711,10592,9515,7868,4163,1452,87019
10603,1166,657,580,601,770,777,780,639,335,6305,12504,7895,6854,7634,9372,11303,11681,7066,2101,76414
10604,617,348,443,405,416,385,257,154,84,3114,6111,3421,3964,3823,3900,3914,3104,1690,659,30584
10701,1214,726,738,713,728,668,469,327,144,5721,15177,9600,9956,9897,9843,9835,8003,5256,2249,79819
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10703,1565,975,843,836,867,853,781,554,455,7743,18406,11635,11578,11815,12433,13081,11401,6432,2471,99254
10704,1523,1515,1233,1118,1180,1039,744,540,343,9237,22533,19218,18467,16854,16993,16232,12909,8052,3503,134762
10801,497,255,239,284,358,427,506,341,154,3073,4445,2585,2385,2854,3760,5343,6366,3967,1599,33311
10802,1178,740,862,767,701,794,631,376,142,6190,8292,4931,4738,4852,5892,8243,8231,4399,1579,51154
10803,0,0,4,9,0,11,5,10,0,39,66,11,64,69,43,82,56,38,15,445
10804,1177,791,625,666,731,814,788,526,312,6425,13860,8803,7637,8655,10452,12081,13190,8692,3414,86780
10805,1056,584,502,536,597,726,736,473,209,5412,9163,5237,4950,5203,6659,9040,9693,5477,1926,57345
10901,1225,753,686,706,727,708,556,358,130,5841,12769,8022,8236,8100,8069,8468,7487,4274,1611,67044
10902,370,225,237,216,251,258,216,102,31,1913,2419,1358,1475,1369,1667,2010,1606,860,288,13056
10903,839,450,456,455,529,663,676,417,180,4663,7107,3924,3976,4106,5078,6542,7063,4148,1514,43453
11001,816,959,537,391,423,479,348,273,155,4387,6706,5476,4518,3993,4301,4900,4141,2610,897,37537
11002,930,489,484,524,606,641,579,345,152,4757,6610,3856,3694,3746,4723,5768,5731,3436,1176,38731
11003,1006,550,575,564,602,644,397,199,64,4601,5062,2772,3175,2839,3066,3474,2482,1386,457,24713
11004,2013,1186,1112,1053,1092,974,858,605,324,9210,17124,9671,10560,9762,9937,10440,9223,5713,2144,84579
11101,1736,1019,956,1009,1069,1001,823,542,313,8468,22921,14174,13956,15650,16282,16266,14591,9036,3617,126496
11102,1363,762,680,725,705,699,626,505,302,6368,15291,9565,10014,9773,10181,10800,10368,6413,2625,85022
11103,2120,2332,2013,1620,1581,1452,1078,738,623,13550,29411,25129,28022,23119,21725,20370,16713,9872,4635,179000
11201,1572,912,1078,1217,1210,1207,1011,511,283,9006,14188,7984,9561,10956,11801,12569,12094,6029,2598,87772
11202,1643,964,867,934,959,1072,822,459,239,7948,12550,7813,7335,7875,9265,10913,9529,4723,1893,71896
