SA3_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
10102,54,275,1178,5899,7612,1871,508,165,17553,0,124,851,632,51,0,3,21,1680,0,121,721,654,55,3,3,20,1572,0,244,1576,1283,107,4,4,44,3262,23,484,443,79,12,3,3,23,1067,13,135,375,25,0,0,0,5,554,0,216,665,39,0,0,0,17,934,0,17,58,3,0,0,0,0,77,0,7,9,11,3,0,0,0,30,35,853,1551,160,19,3,5,41,2661,8,19,16,17,5,5,0,3,73,0,10,18,4,3,3,0,0,43,97,1408,4337,7363,7744,1881,518,258,23599
10103,38,201,851,3001,1892,451,144,107,6688,0,26,105,53,13,0,3,0,205,0,12,51,82,21,0,0,3,174,0,44,162,136,30,0,4,5,385,10,77,205,122,22,0,6,12,463,0,15,17,18,8,0,0,0,54,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,9,6,0,0,0,0,22,11,110,233,145,32,0,7,11,551,5,18,15,8,4,3,7,3,60,3,13,13,10,4,3,5,4,59,60,382,1271,3304,1962,461,171,134,7739
10104,158,729,3579,12002,7565,1476,350,413,26272,3,130,815,527,31,3,0,46,1571,6,101,441,441,62,7,3,26,1078,9,227,1253,972,93,10,3,76,2649,15,178,887,348,28,4,0,35,1500,0,13,56,23,0,0,0,3,94,0,0,28,15,0,0,0,0,38,0,0,0,0,0,0,0,0,5,0,11,10,7,4,3,0,3,43,20,195,980,398,33,9,3,44,1679,57,183,236,55,15,4,0,20,576,7,22,36,30,20,4,0,12,126,243,1359,6086,13453,7723,1497,369,560,31301
10105,44,259,1426,5621,4278,881,238,200,12948,10,137,370,329,44,4,3,20,917,0,3,110,45,9,0,0,0,175,10,142,479,366,60,8,3,23,1096,0,77,179,18,4,0,0,8,286,0,29,34,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,0,0,19,0,106,216,22,3,0,0,9,367,8,42,18,12,5,4,0,7,91,0,6,11,8,3,0,0,12,38,68,560,2157,6039,4350,887,245,242,14540
10106,41,229,1348,5061,4488,1159,336,217,12876,3,53,358,163,13,6,0,17,620,0,0,20,6,0,0,0,0,31,3,53,376,168,17,0,0,20,647,5,55,108,22,0,0,5,14,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,0,11,5,59,109,18,4,3,5,14,223,17,18,13,13,7,0,4,3,76,0,8,14,19,8,5,4,14,73,71,363,1866,5280,4520,1177,347,268,13896
10201,133,950,5932,19443,17468,5147,1143,554,50761,17,301,2827,2468,79,16,12,160,5873,12,248,964,2149,213,23,4,67,3674,31,549,3792,4615,294,38,12,227,9553,66,581,1708,1371,148,16,14,95,4006,21,69,621,318,19,0,0,12,1056,21,199,1155,310,19,0,0,23,1729,0,61,247,140,0,0,0,3,450,12,43,108,56,22,14,4,9,267,125,956,3836,2205,204,33,15,140,7509,31,160,276,86,15,9,0,23,587,12,43,39,24,18,0,4,25,179,331,2654,13878,26363,17995,5224,1174,965,68590
10202,119,832,6300,20989,18728,3892,899,704,52461,43,333,1737,1404,110,17,3,109,3757,4,225,698,1284,150,13,12,52,2440,46,553,2434,2693,263,28,18,157,6190,16,391,1358,574,59,11,0,67,2463,0,40,337,72,3,0,0,7,465,11,66,544,110,4,0,4,7,749,0,13,118,11,0,0,0,0,146,0,24,87,30,8,3,0,4,158,31,527,2438,798,68,13,6,87,3982,33,121,146,60,10,0,0,26,390,5,24,21,25,7,6,3,4,99,227,2059,11341,24562,19081,3941,928,980,63124
10301,34,193,1195,6066,6141,1284,315,194,15434,0,162,693,387,56,5,3,31,1337,6,93,98,126,34,0,0,13,369,3,255,789,514,91,9,3,44,1706,20,148,428,72,10,0,4,18,691,0,5,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,3,0,0,5,18,20,160,444,77,9,0,4,18,727,8,14,12,9,0,4,0,5,51,0,12,9,10,11,0,5,4,49,63,627,2451,6678,6251,1301,328,275,17974
10302,64,334,2434,8771,5806,1190,279,354,19233,3,90,441,148,42,7,0,24,764,0,12,31,9,3,0,0,0,63,7,97,475,155,47,10,0,24,824,27,150,390,55,17,4,3,36,674,0,5,15,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,27,157,404,53,16,4,3,34,706,17,53,26,23,9,7,0,7,151,6,15,11,34,21,6,4,14,116,123,656,3357,9038,5905,1220,296,442,21032
10303,56,332,2475,7283,4999,1043,278,308,16776,20,139,546,370,26,0,0,42,1143,0,20,51,35,6,0,0,0,117,20,163,593,408,29,4,0,45,1260,0,62,89,20,0,0,0,9,182,0,8,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,0,7,4,70,93,26,7,0,0,11,212,16,39,33,26,22,3,0,48,185,3,18,11,13,10,3,5,5,55,100,611,3206,7748,5063,1055,288,412,18485
