SA3_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
10102,146,0,0,0,151,24,0,173,0,0,0,0,0,0,0,0,0,0,6,6,1576,158,47,19,1802,17,3,18,1822,88,9,1918,595,40,14,8,652,4,3,7,658,25,0,682,285,36,3,0,325,0,0,0,326,9,0,345,22,0,0,0,26,0,0,0,26,0,0,30,7,0,0,3,3,0,0,0,3,0,0,3,910,77,18,8,1011,8,3,11,1022,35,0,1059,11,0,0,0,12,0,0,0,12,0,0,12,7,0,0,0,7,0,0,0,7,0,0,9,15,0,0,0,17,0,0,0,17,0,0,19,924,76,22,8,1034,8,3,11,1039,35,5,1079,84,6,3,0,93,0,0,0,98,21,0,110,0,0,0,0,0,0,0,0,0,0,4,4,1003,83,23,8,1122,12,3,11,1134,56,3,1197,762,71,10,0,851,6,0,10,858,38,0,900,317,35,11,0,370,4,0,4,373,11,0,386
10103,60,0,0,0,60,20,0,74,0,0,0,0,0,0,0,0,0,0,0,0,416,56,10,5,489,0,0,0,488,38,4,533,144,11,7,4,160,0,0,0,162,11,0,175,104,19,5,0,127,0,0,0,126,7,4,135,7,3,0,0,11,0,0,0,11,0,0,11,3,0,0,4,6,0,0,0,6,0,0,7,254,34,9,5,303,0,0,3,305,18,4,326,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,252,34,9,5,306,0,0,3,310,18,4,326,21,7,0,0,31,0,0,0,31,8,0,41,0,0,0,0,0,0,0,0,0,0,4,4,281,38,9,7,337,0,0,3,340,24,4,367,170,16,6,6,187,0,0,0,192,16,0,211,108,21,3,0,131,0,0,0,131,9,0,135
10104,147,3,0,5,152,69,0,220,3,0,0,0,4,0,0,0,4,3,3,13,1093,228,45,33,1401,15,7,16,1419,145,11,1570,279,59,4,0,346,9,4,12,365,21,0,386,309,86,11,6,407,6,0,6,411,29,0,437,14,3,6,0,28,0,0,0,31,0,0,31,0,4,0,6,12,0,0,0,12,0,0,12,605,151,23,17,793,15,4,17,815,55,0,867,0,0,0,0,4,0,0,0,5,0,0,5,4,0,0,0,6,0,0,0,6,3,0,6,3,0,0,0,10,0,0,0,5,3,0,10,609,146,23,15,800,15,3,19,820,56,0,872,69,32,6,6,108,0,0,0,112,64,0,171,4,0,0,0,4,0,0,0,4,0,0,4,671,178,27,27,909,19,3,18,932,114,0,1048,378,62,4,0,446,0,0,0,457,33,0,486,329,92,12,6,434,5,0,5,437,35,0,468
10105,106,7,0,7,107,31,0,143,0,0,0,0,4,0,0,0,4,0,5,9,682,91,24,10,809,12,0,12,819,72,5,894,212,24,0,0,237,6,0,6,239,7,3,252,182,27,8,5,224,7,0,6,226,17,0,242,4,0,0,0,13,0,0,0,13,0,0,14,0,0,0,5,9,5,0,5,5,0,0,8,410,48,16,8,478,7,0,10,488,24,3,516,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,7,10,0,0,0,10,0,0,0,10,0,0,7,413,48,16,8,485,7,0,10,496,27,3,525,47,14,0,5,66,0,0,0,71,21,0,92,0,0,0,0,0,0,0,0,0,0,5,8,465,64,19,15,554,9,0,12,565,46,6,619,283,39,0,0,322,0,0,0,328,14,0,348,155,25,10,0,190,0,0,3,198,15,0,214
10106,138,4,0,4,145,29,0,174,0,0,0,5,5,0,0,0,5,0,3,6,955,106,30,20,1106,13,0,11,1118,71,3,1201,274,26,7,0,305,0,0,0,305,17,0,323,205,28,4,6,240,0,0,0,241,10,0,247,9,0,3,0,16,0,0,0,17,0,0,14,5,0,0,0,5,0,0,0,5,0,3,10,495,57,11,9,567,0,3,0,572,25,4,598,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,3,0,0,3,5,0,0,0,5,3,0,3,7,0,0,7,501,57,11,9,572,5,3,3,579,25,4,606,68,17,5,5,84,0,0,4,91,20,0,114,0,0,0,0,0,0,0,0,0,0,3,3,560,72,14,13,659,5,4,7,668,48,10,722,333,45,0,0,385,3,0,3,388,13,3,411,246,36,11,0,292,0,0,0,289,13,0,307
10201,618,16,3,24,640,119,3,768,0,0,0,6,8,0,0,0,8,0,19,26,3293,693,221,57,4271,56,22,75,4341,327,27,4699,819,122,35,6,983,19,5,22,1006,73,0,1080,892,207,50,7,1152,14,7,17,1177,67,0,1241,114,34,41,0,190,0,0,0,185,15,0,207,12,3,0,10,27,0,0,0,30,0,3,30,1839,367,126,22,2349,33,11,44,2400,155,6,2557,11,0,0,0,15,4,0,4,18,0,0,18,12,7,0,0,19,0,4,7,25,0,0,27,23,7,3,0,35,4,4,8,45,3,0,47,1864,373,126,24,2386,38,13,52,2442,157,6,2605,281,72,24,5,372,13,3,17,388,100,4,492,0,0,0,4,4,0,0,0,4,4,8,10,2133,448,155,30,2764,44,23,66,2833,260,19,3107,1022,188,54,4,1265,16,6,20,1292,88,0,1375,1057,260,77,10,1403,15,4,18,1421,86,3,1510
10202,630,12,7,19,649,173,0,822,9,0,0,0,3,0,0,0,3,3,14,19,2695,628,217,67,3607,55,13,70,3679,367,17,4059,627,116,44,4,800,9,9,13,811,57,0,874,699,164,45,9,920,8,0,8,930,60,5,992,113,31,20,0,169,4,0,6,171,14,0,185,19,0,0,15,29,0,0,0,29,4,0,36,1458,317,117,29,1913,20,4,27,1945,137,4,2082,10,4,0,0,8,0,0,0,12,4,0,20,16,8,0,0,26,0,0,0,26,0,0,26,23,11,0,0,32,0,0,0,36,4,0,40,1479,323,118,27,1950,20,4,24,1981,143,4,2126,296,74,25,18,415,11,4,11,427,123,5,554,0,0,0,6,10,0,0,0,10,0,7,12,1774,399,146,53,2372,32,13,44,2411,265,13,2688,841,160,65,5,1071,22,5,28,1100,82,0,1180,784,171,54,9,1016,8,0,9,1023,63,3,1089
10301,144,0,7,6,155,45,0,201,6,0,0,0,6,0,0,0,6,0,0,3,1010,121,32,10,1180,15,9,24,1197,79,9,1284,361,34,3,0,402,0,0,0,401,10,0,411,230,34,6,3,273,0,0,0,273,16,0,290,19,0,0,0,20,0,0,0,20,0,0,22,6,0,0,4,7,0,0,0,7,0,0,7,615,70,15,3,700,6,0,6,710,26,0,730,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,5,0,5,9,0,0,9,7,0,0,0,7,5,0,5,10,0,0,10,621,70,15,3,708,8,0,8,715,26,0,740,66,13,0,0,82,3,0,3,86,25,0,104,0,0,0,0,0,0,0,0,0,0,3,7,684,84,17,9,787,14,0,15,801,46,3,853,468,45,10,0,514,6,0,6,518,15,0,531,263,38,9,0,311,0,4,4,312,17,0,333
10302,169,3,0,7,174,47,0,219,0,0,0,0,0,0,0,0,0,0,7,7,1119,120,18,34,1298,8,5,22,1314,85,6,1411,343,21,8,0,365,3,0,4,368,9,0,375,247,28,4,6,290,0,4,4,292,20,0,313,12,3,0,0,17,0,0,0,17,3,0,19,3,0,0,4,10,0,0,0,13,0,0,13,610,55,10,6,683,3,4,5,689,30,0,716,0,0,0,0,0,5,0,5,5,0,0,5,3,0,0,0,3,3,0,6,6,0,0,6,7,0,0,0,6,3,0,7,15,0,0,15,613,55,9,6,690,11,0,16,700,30,0,730,95,8,0,7,111,4,0,4,117,39,0,152,0,0,0,0,0,0,0,0,0,0,6,3,705,63,16,14,800,16,0,15,813,70,6,888,384,19,5,3,407,4,0,9,414,11,0,430,277,42,9,3,333,0,0,0,337,14,0,353
10303,147,5,0,5,155,52,0,208,7,0,0,0,7,0,0,0,7,0,7,11,911,97,35,18,1060,15,0,15,1078,94,10,1185,261,19,4,0,284,8,0,3,290,9,0,298,258,49,12,4,320,6,0,6,324,21,0,345,11,3,4,0,15,0,0,0,20,0,0,18,0,0,0,3,7,0,0,0,7,0,0,7,528,70,18,5,625,12,0,9,638,38,0,675,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,9,0,0,0,8,0,0,8,538,67,18,5,630,12,0,11,645,38,0,681,70,20,0,0,100,3,0,3,97,32,0,129,0,0,0,0,0,0,0,0,0,0,0,0,613,87,21,5,727,13,0,15,743,62,8,810,296,28,3,5,326,4,0,3,330,14,0,345,274,34,8,8,326,6,0,8,331,18,0,353
