GCCSA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
1RNSW,1301717,1341813,2643536,79636,74976,154615,169451,161194,330645,81832,77694,159525,75449,72109,147560,143234,147152,290388,148516,156403,304924,169896,178659,348557,178427,185530,363959,150284,152945,303231,78420,90318,168736,26562,44829,71398,1221476,1270586,2492061,80240,71229,151472,69159,70314,139473,1508,1376,2880,1437,1390,2830,72102,73085,145189,1055655,1084118,2139772,143260,152549,295805,1131372,1170957,2302328,73164,79365,152530,1150097,1193469,2343561,19828,18844,38673,153858,146551,300415,55510,55817,111326,19834,23869,43702,27442,50947,78387,379375,439856,819232,78720,77093,155811,322203,321588,643786,96736,97820,194555,62777,57173,119954,4324,4150,8476,1170058,1216697,2386753,136876,126708,263583
1GSYD,2376766,2447221,4823991,159029,151145,310173,303428,286700,590126,147983,140387,288362,172289,168451,340737,381705,392700,774405,344463,351579,696037,307388,320191,627580,253616,270395,524011,179414,193069,372488,92308,111741,204051,35147,60875,96022,2291071,2368376,4659438,85698,78852,164554,33165,33816,66978,962,968,1928,591,634,1221,34716,35419,70135,1365474,1386695,2752169,862759,910741,1773496,1400433,1416378,2816815,834127,893448,1727574,1886229,1948797,3835026,36604,34856,71462,279852,265015,544870,117392,115357,232749,78054,80466,158523,86190,122402,208586,1145472,1207689,2353159,102770,95066,197831,330098,340005,670104,90492,97117,187605,74073,87139,161215,22361,30656,53014,2199263,2273882,4473142,173909,168367,342270
19799,171,239,412,10,4,14,7,14,22,3,7,12,9,4,9,11,24,32,18,14,34,25,31,50,22,53,74,48,60,108,16,24,42,3,7,10,173,234,409,3,3,6,4,10,10,0,0,0,0,0,0,5,10,13,102,135,232,60,86,142,119,154,279,36,55,92,137,184,325,0,0,0,10,10,22,0,5,5,0,3,3,0,6,8,52,76,125,12,15,22,38,57,93,9,22,35,13,12,27,0,0,4,0,0,0,1415,1860,3279
19499,7351,4939,12288,188,149,338,202,200,402,285,232,517,746,615,1358,1615,1091,2703,1269,629,1900,1148,646,1798,986,732,1722,719,477,1196,162,120,282,32,48,78,0,0,0,7351,4939,12288,503,289,789,17,8,26,20,3,25,538,301,839,4304,2726,7028,1663,1346,3012,4175,3038,7212,997,821,1822,4199,3009,7203,24,19,43,148,158,304,90,82,172,137,141,283,179,254,430,2208,1965,4169,385,247,633,1339,826,2159,454,274,731,286,135,420,41,24,65,0,0,0,0,0,0
