GCCSA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
1RNSW,55514,15070,71398,395667,171259,17784,584706,1366810,206749,2158275
1GSYD,79585,14982,96022,798053,251487,23544,1073085,2557663,292952,3923700
19799,6,0,10,39,37,0,79,226,76,374
19499,49,28,78,847,475,45,1373,6811,3361,11545
