GCCSA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1RNSW,937,1279,3447,4545,8996,21050,29800,26537,16094,112675,130,220,643,761,1062,1384,1685,1720,843,8455,9983,11743,23821,23888,29036,32334,34270,28764,17832,211681,72305,147248,290185,304735,348356,363796,303065,168595,71332,2069613
1GSYD,847,1944,6382,9093,15794,28728,37253,32803,18468,151314,261,1309,4837,5107,7876,10197,9256,9497,4555,52886,13800,23342,57874,44709,39743,36114,33615,27097,20445,296744,129486,339365,773145,694988,626622,523093,371872,203728,95909,3758218
19799,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
19499,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
