GCCSA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1RNSW,225242,160991,80369,33044,1257485
1GSYD,326789,203675,97132,44595,2444653
19799,43,60,25,3,212
19499,1142,722,150,41,7741
