GCCSA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1RNSW,231279,19504,13019,3051,452,257,2372,269939
1GSYD,560076,30021,16425,7758,680,364,2093,617424
19799,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0
