GCCSA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
1RNSW,0,0,7,51,137,177,215,220,58,863,17,102,95,469,178,128,80,35,10,1110,3,21,107,405,32,11,8,0,0,589,47,166,239,352,77,31,7,5,0,924,3,4,34,248,533,693,756,356,85,2710,6,15,26,183,213,86,66,40,8,631,81,333,334,795,540,483,589,154,50,3355,29,66,184,559,239,193,62,17,13,1364,7,28,31,179,281,304,338,192,66,1433,0,70,98,321,156,134,77,11,3,876,208,902,1072,3948,2200,2366,2560,1671,598,15515,4222,9061,10147,22094,14706,16162,14526,8541,3341,102802,79636,169451,157281,291749,169896,178427,150284,78420,26562,1301717,20,45,66,108,31,6,8,0,0,281,69621,146371,131460,244362,140126,143623,111429,64891,32241,1084118,23,41,47,369,34,13,6,0,0,533,0,3,9,100,77,82,59,53,10,396,3,16,22,126,32,31,17,3,0,242,28,104,140,789,361,331,211,65,34,2056,0,12,23,171,183,139,190,62,16,793
1GSYD,0,0,45,549,618,683,616,459,107,3080,78,537,1056,5759,2492,2122,1225,482,158,13914,74,161,573,3148,350,447,315,53,10,5129,126,355,1144,5125,661,399,147,38,3,7994,16,33,127,918,1083,1360,1242,540,148,5472,39,90,303,1857,1690,996,670,284,49,5977,401,1484,1413,3906,1752,1173,778,227,65,11195,197,755,2655,11787,8756,7835,2837,1022,425,36279,10,52,90,695,519,398,396,195,67,2423,9,110,315,907,513,318,105,26,3,2303,1033,4226,7923,36069,16004,12789,10454,5715,2108,96312,7849,13177,18034,49162,19574,16650,12887,7605,3605,148537,159029,303428,320265,726166,307388,253616,179414,92308,35147,2376766,36,211,874,2288,693,521,233,72,26,4947,135558,239891,207674,349350,153376,125909,90551,51871,32516,1386695,138,508,1159,6606,1061,430,103,27,10,10043,3,17,136,1102,685,658,311,236,42,3185,18,87,394,2537,1394,1279,587,250,118,6666,60,249,496,2418,842,542,290,100,46,5055,15,56,153,1667,1234,1111,1169,390,123,5918
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,11,10,7,12,27,25,22,48,16,3,171,0,0,0,0,0,0,0,0,0,0,3,11,8,24,12,21,22,15,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
19499,0,0,0,3,3,3,3,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,9,28,0,0,0,0,0,35,0,0,3,15,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,6,4,3,0,0,0,14,5,0,19,10,0,7,8,3,0,44,0,0,10,9,11,10,0,0,0,38,0,0,7,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,4,8,26,99,38,33,20,5,0,235,15,28,173,604,222,172,121,35,8,1379,188,202,1031,2882,1148,986,719,162,32,7351,0,0,0,0,0,0,0,0,0,0,110,139,407,848,383,470,287,59,27,2726,0,0,3,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,11,11,3,0,0,0,0,24,0,0,0,9,3,0,3,0,0,12
