GCCSA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
1RNSW,1052624,1105649,2158275,418117,234162,652283,123559,263912,387471,30350,34061,64405,43178,35237,78414,615204,567378,1182580,359273,457951,817222,7,6.2,6.6,58.4,51.3,54.8,54.3,48.1,51.2,27345,28666,56011,11275,21821,33097,87606,135225,222826,68256,108207,176459,288213,136401,424613,10302,20984,31288,18118,34438,52561,316637,191830,508464,993444,1027032,2020483,174202,186140,360342,677976,693573,1371549,438426,471647,910069
1GSYD,1914314,2009383,3923700,910114,570101,1480218,243808,438797,682605,51004,58887,109892,75539,70645,146187,1280466,1138432,2418899,515700,751080,1266780,5.9,6.2,6,66.9,56.7,61.6,62.9,53.1,57.9,146564,141535,288103,27022,43101,70126,344760,408013,752774,156477,209509,365989,322677,150288,472968,12035,23465,35504,31293,50922,82214,366004,224681,590682,1813259,1882487,3695742,347545,356145,703690,1174217,1227942,2402160,895491,922415,1817909
19799,157,220,374,28,25,48,7,18,25,22,26,49,0,3,4,61,72,130,77,110,185,0,4.2,3.1,38.9,32.7,34.8,36.3,31.4,32.6,0,4,5,0,0,4,11,25,35,13,20,31,42,22,61,0,3,3,3,11,8,41,33,74,138,182,322,14,21,43,105,139,245,43,61,104
19499,6958,4590,11545,1322,653,1977,531,520,1047,189,116,301,583,358,941,2623,1646,4272,2178,1876,4062,22.2,21.7,22,37.7,35.9,37,29.3,28.1,28.8,193,177,365,51,67,120,574,673,1247,294,374,663,1063,351,1416,64,60,126,104,92,195,1231,504,1738,1571,849,2420,3356,2845,6200,1027,548,1571,3734,3027,6765
