GCCSA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
1RNSW,15297,41763,73687,72523,52923,56725,41333,16737,4970,375958,5590,7377,11971,11784,11143,9526,6620,3174,878,68062,9088,16277,35822,41292,72209,67089,43907,19985,4608,310286,2343,2348,5655,6570,12162,16199,24006,11885,3758,84931,553,782,2140,2740,5285,11468,16535,13187,5963,58661,81,129,354,419,581,746,903,775,321,4317,5151,6607,13498,13104,15492,16614,16915,12615,6053,106043,38101,75284,143130,148438,169809,178359,150213,78370,26545,1008256,17112,47620,94353,94412,68533,57847,35520,15110,5390,435887,4207,5430,10303,10962,12461,9901,7157,3780,1200,65404,6129,11176,25826,32598,69151,73985,55313,26467,8744,309392,1491,2015,4658,5407,10664,17769,23452,14427,7014,86891,379,498,1303,1802,3709,9581,13265,13344,10128,54015,48,91,284,342,484,637,782,943,528,4140,4831,5132,10324,10781,13547,15719,17358,16152,11783,105635,34204,71963,147054,156293,178547,185435,152848,90224,44791,1061355,32404,89377,168042,166931,121458,114564,76854,31849,10356,811849,9794,12813,22277,22738,23600,19425,13778,6959,2083,133469,15216,27457,61650,73893,141363,141070,99218,46447,13352,619671,3836,4360,10315,11979,22833,33966,47450,26313,10771,171815
1GSYD,40951,130159,282847,245500,177031,137642,80930,31488,10003,1136550,6268,8219,15752,14707,14016,9926,6323,3024,1017,79250,9502,16320,39474,45615,73125,58566,38524,19286,5923,306335,2060,2547,6255,7279,10795,12158,16631,9076,3520,70329,522,1209,3803,4754,7738,12643,17054,14116,6535,68361,155,797,2726,2497,3504,4124,3705,3411,1384,22298,7305,12284,30229,23680,20783,18202,16020,11793,6724,147021,66766,171538,381083,344035,306985,253270,179180,92194,35105,1830152,43862,137297,315117,268678,192087,132523,69392,27849,10951,1197767,4642,5914,12509,12705,13801,9748,6995,3712,1448,71473,5943,10545,27389,35616,72417,72047,53488,27406,11860,316705,1348,1775,4711,5978,9935,15437,19466,12492,7709,78859,325,731,2583,4335,8063,16080,20205,18685,11936,82947,101,506,2114,2611,4372,6067,5555,6086,3169,30588,6493,11057,27645,21032,18967,17915,17597,15307,13722,149725,62724,167834,392057,350958,319639,269824,192693,111536,60803,1928068,84816,267455,597968,514177,369122,270165,150326,59334,20956,2334316,10913,14130,28258,27413,27814,19675,13316,6734,2471,150728,15445,26862,66860,81233,145537,130614,92009,46694,17783,623040,3413,4326,10969,13256,20732,27595,36096,21570,11231,149183
19799,0,0,8,3,8,10,15,10,0,52,0,0,3,5,0,0,4,0,0,12,0,3,3,3,14,3,11,4,0,42,0,0,0,4,0,0,4,0,0,8,0,0,0,0,3,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,14,3,0,26,3,9,11,18,25,22,48,16,3,152,3,4,17,10,8,22,11,7,3,76,0,0,0,0,3,3,0,0,0,12,0,0,0,4,10,8,19,5,0,50,0,0,0,3,4,5,3,3,3,22,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,14,6,0,40,4,4,24,14,31,46,60,24,7,217,3,3,21,7,16,29,27,18,4,125,0,0,0,4,6,4,3,0,0,25,0,3,4,3,20,18,35,9,0,87,0,0,0,4,3,4,7,3,3,34
19499,85,356,679,376,234,254,167,42,10,2199,26,52,92,68,57,48,25,3,3,380,34,105,225,227,269,237,190,22,8,1323,18,35,67,67,77,61,86,23,3,436,3,22,42,29,41,58,67,18,3,286,0,0,3,3,17,9,4,4,0,41,80,166,499,497,446,319,173,52,12,2245,241,744,1609,1269,1148,985,719,162,32,6910,80,379,647,296,220,206,108,21,4,1964,17,27,38,30,48,41,22,3,0,237,29,58,80,80,138,232,157,27,8,811,11,19,32,28,38,65,58,11,8,270,11,5,6,11,17,37,33,14,9,130,0,3,4,3,4,3,3,4,0,22,50,134,279,182,185,141,95,37,17,1120,200,613,1091,629,646,732,472,120,48,4549,164,734,1328,670,459,457,274,59,11,4161,46,83,133,98,109,91,52,8,3,614,65,157,305,306,412,475,350,49,17,2136,25,54,97,95,121,127,145,34,7,701
