GCCSA_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
1RNSW,2151,2835,2854,4128,9776,17401,11337,40001,1304,91793,2229,4821,4124,5589,15123,18241,9536,17043,708,77415,3680,5169,5619,8284,31612,37015,18344,26133,2298,138156,1559,5104,3717,5064,7489,5183,3856,4151,714,36826,790,1746,1377,1844,7112,5264,3039,3903,258,25337,1098,7704,3687,3855,6389,5447,3482,5383,568,37622,2803,3892,4093,4936,13943,12829,10219,18167,1427,72308,3034,13718,8250,9413,15486,14757,6206,8855,1951,81673,538,680,456,574,1557,1600,686,1556,3246,10897,17875,45682,34190,43689,108486,117747,66705,125183,12471,572026,2025,3444,3881,5763,8796,9517,5412,12745,675,52254,6806,11593,17959,19438,21274,21562,9411,13086,1116,122252,1018,3665,3900,4598,5293,3149,1693,1787,413,25531,4435,18988,17753,21486,14996,7784,3491,4253,1589,94777,4619,14170,17049,19863,29114,15215,5630,4566,1005,111222,3040,21474,12503,12015,9765,4302,2192,2167,1045,68498,298,984,921,853,1046,721,430,799,108,6161,1791,13858,8259,7665,5251,3468,1230,1724,917,44170,483,714,516,602,932,689,231,431,2668,7273,24521,88884,82742,92290,96467,66416,29726,41557,9542,532137
1GSYD,3009,4301,5191,6485,24631,49706,27461,71540,2062,194389,4998,14640,11952,14104,51454,87144,34383,63345,2760,284781,4388,9081,13268,13780,46699,64988,28105,39311,4483,224085,2271,11278,10000,8574,12902,10770,7189,7482,1277,71736,1997,4913,4891,4736,24993,23204,9983,13917,1088,89725,1875,13876,10369,7159,14489,16890,7361,12682,1309,86017,2673,6515,8052,8951,27182,23566,12289,21551,2694,113473,2909,18394,17391,11720,22075,20263,8279,10830,2879,114751,708,1557,1387,1240,3934,4793,1503,3211,7645,25976,24813,84556,82499,76755,228365,301321,136561,243873,26188,1204929,4270,4765,7688,10433,21149,27834,14822,25413,1007,117375,14060,27233,37049,35827,58085,71221,28404,38340,2802,313021,1234,5266,6129,5986,8990,6773,2856,3091,632,40969,5301,30331,29496,26362,23615,15762,5943,6978,2686,146468,8149,27331,35122,32918,63417,46847,14219,11001,2415,241410,4366,33473,22693,17434,17330,12269,4738,4927,1807,119035,420,1596,1763,1855,4949,2266,774,646,289,14549,1634,13569,11606,8494,11097,5549,1813,1753,1187,56703,817,1648,1450,1287,2881,2586,675,1110,5812,18258,40250,145210,152995,140589,211504,191103,74243,93248,18637,1067789
19799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,9,3,0,0,0,4,3,0,3,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,9,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,3,20,0,3,3,11,8,3,7,5,59,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,15,5,0,0,0,3,0,0,0,0,10,9,3,3,0,0,0,0,0,0,11,6,0,0,3,3,3,0,0,0,18,3,0,0,3,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,24,6,9,6,14,4,3,0,4,72
19499,10,6,7,6,21,46,15,59,3,167,23,25,25,22,51,80,29,63,3,321,20,26,30,31,78,105,37,61,20,397,3,22,26,25,26,24,21,35,11,186,0,9,3,4,25,24,10,18,4,88,7,6,16,5,23,23,12,9,7,109,7,16,22,32,67,44,40,71,15,314,11,35,57,53,57,79,34,33,22,395,3,3,8,3,8,5,7,3,29,63,85,152,190,184,356,428,187,348,103,2042,7,3,14,7,12,27,12,22,0,106,23,27,40,32,62,83,23,37,6,329,5,9,6,13,14,17,9,9,3,80,5,40,48,48,32,27,26,21,5,247,4,20,22,23,52,24,16,12,0,172,9,17,23,21,16,16,5,6,5,111,0,3,3,4,4,4,0,6,3,29,9,26,40,35,30,16,13,8,9,183,3,0,0,5,5,3,0,0,19,37,65,141,191,183,234,208,91,124,47,1291
