GCCSA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
1RNSW,11181,32356,87177,95037,101595,73553,14739,2155,329,418117,18572,14871,16985,15146,18542,23836,12775,2511,323,123559,1185,1327,2819,2724,3573,4463,1448,270,60,17875,1059,1516,2366,2169,2297,1741,815,400,115,12471,31996,50069,109349,115070,126013,103588,29774,5330,829,572026,3360,5162,6013,5061,5321,4571,270,48,21,29817,4213,2313,1645,1147,1338,2079,538,70,13,13361,7569,7475,7652,6206,6655,6651,810,119,28,43178,39564,57542,117005,121278,132670,110246,30588,5448,861,615204,37612,12762,16292,17444,25280,55298,107801,65014,21776,359273,4658,5143,9938,9793,11945,12884,11898,7956,3929,78155,81832,75449,143234,148516,169896,178427,150284,78420,26562,1052624,4841,20646,47125,48977,64004,41811,5958,688,116,234162,26679,22449,42031,55261,56952,46844,12168,1345,186,263912,1476,1897,7171,4187,3773,4589,1235,164,28,24521,1076,1064,1484,1614,1766,1442,639,353,115,9542,34072,46056,97810,110036,126491,94689,19994,2544,440,532137,2087,2714,3311,3040,3188,1880,77,19,8,16317,4565,2613,3289,3135,2703,2314,261,20,14,18920,6647,5324,6597,6177,5885,4195,343,42,22,35237
1GSYD,12874,58598,240191,242212,204166,125984,24078,1769,246,910114,29858,44784,48832,32511,31451,32925,19553,3506,386,243808,1709,2291,5255,4750,4294,4562,1659,251,54,24813,1451,3444,7255,5393,4636,2851,863,225,69,26188,45892,109120,301533,284869,244549,166319,46144,5751,758,1204929,3026,7024,11899,9248,8537,6407,632,56,15,46846,8337,7239,4592,2168,2175,3088,957,124,11,28691,11367,14264,16493,11413,10711,9493,1584,176,25,75539,57260,123383,318029,296282,255260,175814,47733,5930,785,1280466,83990,38224,37022,27824,34866,63551,120585,79216,30425,515700,6728,10672,26660,20352,17262,14253,11107,7170,3941,118150,147983,172289,381705,344463,307388,253616,179414,92308,35147,1914314,6367,48013,170893,131966,128017,73996,10248,522,87,570101,40293,51999,79406,97750,86296,61673,19249,1932,196,438797,2015,2949,14494,9525,4824,4785,1488,158,23,40250,1308,2684,4879,3492,3241,2060,668,210,89,18637,49981,105648,269666,242735,222380,142504,31649,2820,395,1067789,1987,4447,8657,6022,5728,3255,151,35,19,30297,8709,6702,7479,7186,5752,3944,497,62,24,40352,10691,11150,16143,13202,11479,7198,652,99,38,70645
19799,0,3,8,8,10,4,0,0,0,28,0,0,0,0,3,3,3,0,0,7,0,0,0,8,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,3,9,11,20,10,6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,20,10,6,0,0,61,4,5,5,0,3,8,31,14,3,77,0,3,0,0,0,4,10,9,0,24,3,9,11,18,25,22,48,16,3,157,3,0,10,0,5,4,0,0,0,25,0,0,3,4,3,9,5,0,0,18,0,3,4,4,9,3,6,0,0,24,0,0,0,0,0,3,0,0,0,4,3,3,17,13,17,11,11,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
19499,39,169,440,315,195,130,25,3,0,1322,16,85,143,90,92,73,30,3,0,531,0,10,24,9,15,15,7,0,0,85,5,25,32,27,14,8,0,0,0,103,63,284,637,441,319,228,61,3,5,2042,25,76,145,91,80,56,3,0,0,467,13,23,33,12,16,15,3,0,0,120,35,101,177,106,87,66,6,0,0,583,102,382,816,548,406,294,63,5,5,2623,115,204,305,238,301,381,503,112,20,2178,68,158,491,484,440,313,157,39,12,2153,285,746,1615,1269,1148,986,719,162,32,6958,12,116,261,93,93,64,8,0,0,653,24,106,149,80,80,63,18,0,0,520,3,4,27,6,12,13,0,0,0,65,3,7,15,13,6,4,0,0,0,47,44,243,451,183,185,151,28,0,0,1291,26,34,59,43,42,27,4,0,0,230,12,21,38,18,13,23,4,0,0,127,35,52,103,58,59,42,3,0,0,358
