GCCSA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1RNSW,677976,693573,1371549,120947,130964,251916,233244,252435,485679,12239,13250,25480,22711,23793,46504,2613,2664,5275,3854,3939,7792,1454,1530,2976,2088,2117,4204,7425,7790,15213,69,55,125,285681,307570,593253,24557,26014,50570,7240,7095,14338,438426,471647,910069,105675,101619,207298,1222081,1266843,2488918
1GSYD,1174217,1227942,2402160,128232,132074,260304,518339,533337,1051673,11111,10983,22100,14868,15251,30114,3734,3789,7524,5078,4869,9943,1137,1203,2338,1258,1130,2386,4115,4211,8318,66,34,104,559694,574806,1134501,195204,204409,399617,12359,11127,23485,895491,922415,1817909,148037,145721,293756,2217743,2296079,4513818
19799,105,139,245,0,0,0,25,45,72,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,34,48,80,12,12,18,3,0,3,43,61,104,19,34,51,168,237,401
19499,1027,548,1571,204,112,317,2027,1557,3584,158,168,325,297,255,549,47,42,84,81,57,142,28,19,44,16,19,38,47,36,82,0,0,0,2699,2145,4844,723,702,1430,104,66,170,3734,3027,6765,2403,1214,3613,7164,4788,11952
