GCCSA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
1RNSW,43,1590,584,270,1449,0.8,1168,2.4
1GSYD,36,2167,719,440,1988,1,1750,2.8
19799,58,0,540,0,0,0,0,0
19499,39,0,405,0,0,0,0,0
