GCCSA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
1RNSW,30912,16371,71398,422909,562884,281560,227176,442687,221060,2158275
1GSYD,46035,16294,96022,934749,966678,408730,318303,990244,304996,3923700
19799,5,0,10,23,36,19,40,163,93,374
19499,41,26,78,1976,1606,620,412,3500,3428,11545
