GCCSA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
1RNSW,27091,27090,22471,13796,4670,1703,131361,7877,17698,18822,18742,15921,7357,1855,390,88656,1888,4413,4292,3530,2742,1806,754,227,19653,6622,10282,8375,6975,4569,3103,834,386,41137,321,151,114,184,224,341,375,170,1884,358,796,1114,1168,931,605,253,99,5328,13962,11445,11933,14644,16261,17203,15849,11523,112817,52715,107724,112456,114608,109257,70808,35746,18130,621443,1337,4195,4795,4395,4470,3435,1124,308,24057,1755,4472,4176,3310,2544,1202,208,27,17689,11556,31330,32035,38089,38658,31253,15478,4813,203216,5726,13524,13468,14454,14078,9914,5049,1330,77531,3231,7031,8628,8494,6889,4424,1816,449,40952,6890,22283,22382,24833,27516,15028,6599,2223,127740,3373,15848,18399,18606,25144,15926,6046,1608,104957,13580,34772,39156,39466,33924,22392,7692,2474,193455,10361,23783,25803,25953,22860,12373,3636,838,125614,3303,6998,6464,5317,4602,3104,1214,363,31367,9125,15539,13440,11015,7858,5591,1867,658,65087,622,313,241,330,415,590,600,270,3377,810,1762,2501,2786,2353,1632,778,299,12921,30408,26702,26892,31800,33930,34137,28277,17391,229530,102064,208548,218373,228847
1GSYD,84148,62402,39243,20993,7046,3464,337605,16541,48246,44465,35271,24641,12064,3470,1019,185713,8697,22660,15746,9905,5374,2724,1194,467,66758,8478,17232,13644,10415,5703,3781,1105,521,60876,763,432,312,440,571,563,412,188,3674,1392,3992,4339,3463,2192,1206,515,185,17281,21570,30419,23416,20633,18286,16488,14486,13242,158543,108224,313686,270237,214499,156878,92234,43565,24551,1223874,6489,18109,16930,15323,11444,7123,2713,802,78937,7041,36300,36581,16940,7485,2080,285,49,106751,15334,57704,57661,61501,53704,37464,19540,6886,309790,9938,27905,26151,22846,15675,10114,5405,1563,119597,2259,6219,6533,5502,3900,1851,895,266,27429,12813,49597,40363,36119,31013,17527,8600,3265,199301,7387,31363,30338,28807,31259,19805,7910,2503,159370,43537,164327,144621,107873,70950,39639,13364,5374,589681,24061,72248,66104,54057,39937,21657,6943,2033,287044,14425,37038,25905,16035,9372,4853,2037,706,110388,12034,28733,22288,16656,9352,6168,2186,807,98220,1593,962,689,799,941,925,677,273,6867,2440,7141,7920,6735,4564,2666,1179,495,33136,45738,64271,50433,43750,37183,31804,25400,19570,318145,205082,601925,532508,432951
19799,0,0,4,3,0,0,17,0,0,3,0,7,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,14,8,0,42,8,17,6,17,29,33,12,0,122,0,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,3,4,6,18,5,0,33,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,16,0,0,0,0,3,5,0,0,16,3,10,0,0,3,5,0,0,23,0,0,3,0,7,3,0,0,22,0,0,0,0,0,0,0,0,3,0,4,3,4,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,4,11,16,18,0,69,8,30,15,24
19499,82,64,67,37,6,0,466,51,99,51,59,59,34,3,0,354,21,60,37,27,12,3,0,0,156,39,36,21,18,22,9,0,0,156,3,0,3,0,0,0,0,0,11,3,10,4,5,8,4,0,0,31,188,286,196,193,154,93,37,17,1167,440,848,485,472,448,262,64,21,3038,17,55,16,11,21,4,3,0,134,21,54,42,15,8,0,0,0,140,72,199,114,126,151,122,21,4,804,30,80,69,47,59,50,6,0,337,13,35,23,17,21,7,0,0,119,35,125,61,62,77,54,7,3,431,17,53,29,41,58,34,0,0,239,126,260,134,120,105,75,15,0,826,91,157,83,81,91,63,8,3,575,32,105,54,46,16,15,0,0,269,59,83,48,30,32,18,0,0,280,13,5,6,3,3,0,0,0,27,11,13,14,13,12,13,0,0,79,445,793,709,665,482,264,88,23,3472,989,2023,1392,1284
