GCCSA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
1RNSW,1203,5479,4237,4628,8510,8069,4212,6652,476,43467,1748,4503,3131,3415,6142,6482,2467,4901,9677,42468,42391,134568,116929,135978,204953,184155,96429,166740,22017,1104163
1GSYD,1788,9897,8821,8315,15821,16198,7748,11294,1018,80900,2943,10307,10125,8396,19482,22625,7014,12756,22727,116381,65069,229765,235495,217349,439866,492425,210801,337122,44829,2272718
19799,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
19499,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
