GCCSA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
1RNSW,..,269360,269360,330563,25395,355952,134861,4523,139382,127780,1517,129290,58383,491,58872,27282,286,27575,678869,301570,980442
1GSYD,..,351423,351423,437374,48976,486347,269775,15796,285569,286434,7073,293508,127878,2831,130712,74202,2112,76323,1195662,428213,1623872
19799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
