GCCSA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
1RNSW,60133,343096,355218,118134,62261,938838,41600,980442
1GSYD,179500,603062,532633,164918,89744,1569849,54026,1623872
19799,0,0,0,0,0,0,0,0
19499,0,0,0,0,0,0,0,0
