GCCSA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
1RNSW,8928,12761,21692,272140,307929,580065,21,16,39,16419,18295,34710,1640,1677,3316,301400,330163,631564,921,1190,2112,11502,11248,22751,4727,6147,10876,1780,2135,3915,4822,5871,10688,575,536,1111,4176,4671,8843,11122,13385,24498,44381,48402,92787,4081,5119,9200,5170,6084,11261,53413,66389,119807,26635,30214,56848,1179,1355,2534,766104,860823,1626929,5850,5275,11122,7601,6396,13997,826,857,1679,520,505,1028,2512,2213,4720,2838,4367,7203,5867,7086,12954,367158,320597,687760,3885,3151,7034,1857,2874,4737,372907,326621,699522,133637,121994,255632,1301717,1341813,2643536
1GSYD,81197,104840,186037,268854,311488,580341,5313,5604,10922,28004,31842,59845,1560,1654,3212,578424,634702,1213126,2084,2415,4502,80885,84719,165600,5104,6711,11812,6020,6413,12434,4390,5341,9733,12746,12929,25673,11076,12445,23519,24264,28550,52819,44549,50749,95299,2561,3424,5991,5165,6196,11362,43356,53794,97150,50813,57397,108213,2106,2379,4490,1177277,1318745,2496030,89392,80767,170161,133571,119864,253436,16957,18240,35196,241,263,503,14621,12377,26996,10933,12189,23123,25796,24827,50625,625869,562417,1188280,6808,5377,12182,2698,3806,6503,635380,571594,1206971,217202,208336,425538,2376766,2447221,4823991
19799,3,10,17,32,37,69,0,0,0,7,0,5,0,0,0,47,71,120,0,0,0,4,6,13,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,3,5,15,0,0,0,0,0,3,7,7,18,3,3,5,0,0,0,104,143,249,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,48,85,0,0,0,0,0,0,40,49,88,20,36,60,171,239,412
19499,100,107,211,785,549,1339,4,0,8,44,37,79,0,0,0,912,731,1643,0,3,3,43,38,83,21,11,31,58,24,81,11,13,32,15,7,17,26,25,48,34,43,75,134,104,238,9,13,26,21,19,46,143,146,292,147,138,281,8,5,9,2419,1912,4328,73,48,122,150,70,222,17,10,24,11,7,17,13,3,14,31,26,60,54,39,91,2021,1415,3434,33,27,57,21,26,52,2073,1463,3537,2461,1286,3744,7351,4939,12288
