GCCSA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
1RNSW,4179,6283,6735,9891,18568,26917,16756,52746,1975,144050,9042,16412,22091,25025,36395,39806,18947,30126,1819,199664,4699,8836,9526,12883,36907,40164,20037,27920,2713,163683,5989,24087,21469,26543,22489,12973,7344,8406,2301,131603,5410,15918,18431,21707,36225,20476,8668,8470,1267,136560,4138,29180,16190,15872,16149,9751,5673,7545,1614,106127,3099,4876,5007,5792,14993,13551,10654,18964,1532,78469,4821,27579,16510,17083,20732,18230,7435,10580,2868,125843,1023,1389,973,1179,2490,2292,924,1988,5914,18165,42391,134568,116929,135978,204953,184155,96429,166740,22017,1104163
1GSYD,7272,9067,12881,16918,45777,77531,42281,96955,3065,311762,19061,41875,48996,49931,109537,158365,62790,101683,5558,597798,5620,14345,19395,19768,55683,71759,30963,42406,5116,265056,7575,41605,39493,34936,36518,26532,13136,14455,3960,218206,10143,32245,40015,37656,88406,70052,24205,24912,3501,331135,6242,47348,33060,24594,31823,29166,12105,17605,3119,205051,3091,8103,9811,10804,32131,25833,13061,22195,2988,128020,4548,31970,29002,20211,33169,25812,10093,12586,4065,171450,1520,3199,2835,2530,6817,7374,2176,4318,13454,44228,65069,229765,235495,217349,439866,492425,210801,337122,44829,2272718
19799,0,0,0,0,0,0,0,0,0,3,3,0,3,0,6,0,0,4,0,22,10,0,0,0,6,3,0,3,0,18,9,3,4,0,3,0,0,0,0,16,6,0,0,3,3,3,0,0,0,21,5,3,0,3,3,4,0,0,0,17,7,0,0,0,4,4,0,0,0,10,6,3,0,0,0,0,0,0,3,18,0,0,0,0,0,0,3,0,3,5,43,4,9,10,22,12,4,7,4,130
19499,15,12,23,11,38,75,22,80,3,274,44,57,61,52,113,159,52,95,6,649,18,38,36,44,92,115,42,68,24,480,9,60,70,78,54,50,38,60,10,430,12,28,25,29,76,43,20,29,4,261,17,24,32,30,39,39,15,14,12,224,8,20,25,32,73,51,37,80,12,339,23,60,98,91,90,96,46,45,36,582,5,3,6,5,9,10,9,3,47,103,148,298,377,371,584,638,279,475,158,3331
