GCCSA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
1RNSW,144050,199664,163683,131603,136560,106127,78469,125843,18165,1104163
1GSYD,311762,597798,265056,218206,331135,205051,128020,171450,44228,2272718
19799,3,22,18,16,21,17,10,18,5,130
19499,274,649,480,430,261,224,339,582,103,3331
