SOSR_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOSR101,69443,12217,82975,717075,217143,19747,953963,2300917,260860,3515745
SOSR102,22031,6200,28538,157202,70158,7191,234550,515921,59461,809935
SOSR111,2093,505,2622,21676,8561,1064,31298,61053,7763,100115
SOSR112,10515,2564,13209,69007,28271,3350,100631,233772,35116,369524
SOSR113,7762,2269,10099,39395,17867,1790,59048,148831,23212,231091
SOSR114,6215,1890,8178,33614,14446,1569,49632,123357,21036,194026
SOSR115,8878,2450,11444,50992,21248,2444,74678,185742,30472,290897
SOSR121,1594,309,1934,14145,6078,647,20866,48849,6915,76622
SOSR122,806,223,1046,7437,3349,357,11145,28539,4755,44437
SOSR131,5767,1423,7371,83180,35626,3171,121981,277482,50112,449576
SOSR179,6,0,10,39,37,0,79,226,76,374
SOSR199,49,28,78,847,475,45,1373,6811,3361,11545
