SOSR_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
SOSR101,1185624,..,..,..,..,1185624,..,2300,39,2338,14,2349,..,82530,13668,96196,914,97118,..,178,13,187,9,197,..,48198,15579,63777,300,64076,..,74432,28662,103096,573,103671,..,5747,2094,7841,46,7882,..,128380,46334,174717,924,175633,..,7359,1043,8402,73,8480,..,2314,60,2375,28,2402,..,8830,367,9200,79,9282,..,6430,188,6620,67,6686,..,30731,4824,35557,322,35877,..,15397,840,16236,99,16335,..,30584,1007,31594,246,31845,..,14173,1138,15312,121,15441,..,4746,150,4893,25,4917,..,14641,908,15549,179,15726,..,29826,1614,31442,240,31689,..,109371,5657,115036,911,115943,..,25177,3122,28301,304,28603,..,5018,930,5950,39,5994,..,18456,8428,26888,249,27136,..,7882,1255,9132,112,9249,..,3899,296,4197,59,4257,..,8769,1956,10721,106,10828,..,4560,503,5062,42,5107,..,6112,1024,7129,39,7171,..,6412,691,7103,148,7247,..,7128,1460,8583,85,8671,..,8649,242,8890,61,8954,..,12065,1187,13247,92,13341,..,16269,459,16726,155,16877,..,1907
SOSR102,413790,..,..,..,..,413790,..,409,5,410,8,420,..,1922,436,2361,20,2379,..,94,0,92,4,99,..,939,351,1286,11,1299,..,2769,752,3518,21,3544,..,288,114,406,0,406,..,3992,1219,5212,39,5248,..,744,91,837,13,849,..,477,3,485,9,488,..,743,34,774,8,784,..,1239,41,1281,19,1303,..,1682,173,1862,21,1883,..,347,15,359,0,362,..,796,29,824,8,831,..,573,43,618,6,624,..,272,15,283,0,283,..,548,23,572,0,575,..,576,24,605,7,607,..,3105,152,3260,21,3284,..,3042,357,3399,71,3468,..,412,55,469,5,473,..,514,238,751,6,757,..,3700,667,4371,56,4429,..,415,25,438,8,447,..,426,54,479,3,482,..,516,40,562,4,567,..,377,37,419,4,419,..,288,12,299,4,304,..,992,193,1193,13,1201,..,360,8,367,3,372,..,364,33,399,0,398,..,591,15,602,16,616,..,212
SOSR111,54456,..,..,..,..,54456,..,98,3,106,0,106,..,79,7,90,0,90,..,28,0,32,0,32,..,77,38,112,0,114,..,100,74,174,4,177,..,3,0,6,0,6,..,174,116,294,7,296,..,31,3,35,0,35,..,41,0,41,0,41,..,42,0,41,0,41,..,108,5,108,3,118,..,102,11,107,0,111,..,67,10,71,0,71,..,102,10,112,0,112,..,170,20,196,5,199,..,30,3,30,0,30,..,58,4,66,0,63,..,226,126,353,0,352,..,661,166,826,6,838,..,95,4,95,0,100,..,17,4,19,0,19,..,17,8,29,0,32,..,19,0,19,0,19,..,7,0,7,0,7,..,21,0,23,0,23,..,43,3,45,0,45,..,15,3,22,0,22,..,17,0,23,0,23,..,26,4,32,0,32,..,48,0,46,0,46,..,18,0,18,0,18,..,88,3,88,0,90,..,17
SOSR112,189793,..,..,..,..,189793,..,205,0,207,3,207,..,590,74,662,3,664,..,151,7,157,0,159,..,309,155,461,7,465,..,542,266,809,12,820,..,69,23,96,0,96,..,925,441,1366,15,1386,..,76,13,96,3,95,..,204,5,207,3,210,..,346,14,356,10,369,..,461,7,475,4,482,..,325,24,344,5,344,..,201,13,216,5,218,..,365,14,377,4,377,..,381,50,431,8,434,..,155,10,167,3,169,..,156,14,174,0,174,..,591,28,615,3,617,..,1848,128,1978,13,1990,..,506,54,554,17,568,..,127,30,156,0,156,..,163,155,317,7,322,..,36,3,38,0,38,..,46,0,50,0,53,..,136,16,152,0,151,..,107,3,106,0,111,..,114,8,120,0,126,..,55,4,60,0,60,..,55,5,58,6,64,..,259,9,268,5,274,..,106,0,108,0,110,..,368,6,379,4,383,..,79
SOSR113,119677,..,..,..,..,119677,..,155,3,159,0,158,..,133,15,152,7,157,..,70,3,67,7,78,..,158,53,210,4,214,..,193,119,309,7,318,..,10,4,20,0,20,..,357,182,540,11,548,..,112,13,131,3,136,..,108,0,108,0,103,..,106,9,119,0,119,..,244,9,258,3,258,..,158,9,173,0,175,..,60,6,64,0,64,..,112,10,129,0,125,..,398,94,497,9,504,..,45,4,53,0,53,..,76,7,81,3,86,..,155,32,187,4,196,..,852,160,1012,16,1026,..,874,117,984,16,1000,..,53,6,59,3,59,..,50,40,91,0,91,..,37,4,39,0,39,..,47,4,55,0,53,..,32,5,36,0,36,..,48,7,55,0,55,..,36,3,42,0,42,..,144,18,163,6,170,..,37,9,45,0,47,..,120,3,124,3,126,..,27,0,29,0,35,..,159,8,161,3,165,..,38
SOSR114,101447,..,..,..,..,101447,..,143,3,143,0,143,..,129,15,147,5,153,..,78,0,79,0,83,..,107,60,163,6,168,..,151,123,279,7,284,..,7,16,20,0,20,..,265,197,460,14,474,..,32,3,40,0,36,..,103,0,109,3,105,..,151,4,153,0,159,..,220,9,226,4,234,..,128,7,136,7,138,..,35,3,34,0,34,..,81,4,81,0,81,..,126,19,148,0,148,..,36,0,36,0,36,..,31,3,37,0,37,..,86,3,86,0,86,..,392,33,428,0,428,..,337,39,371,3,376,..,79,8,90,0,90,..,35,17,48,0,49,..,18,0,23,0,23,..,37,0,37,0,43,..,15,3,22,0,22,..,38,3,41,0,41,..,20,0,24,0,25,..,30,3,28,0,28,..,31,0,29,3,33,..,92,0,92,0,93,..,41,5,43,0,41,..,145,8,148,0,150,..,22
SOSR115,153737,..,..,..,..,153737,..,143,0,145,3,147,..,173,14,191,5,193,..,80,3,86,9,92,..,181,76,262,3,264,..,202,150,351,4,356,..,24,11,33,0,33,..,405,236,647,10,654,..,149,16,169,3,167,..,175,3,179,0,175,..,212,12,224,3,227,..,407,20,431,12,443,..,204,24,232,5,234,..,39,9,44,0,44,..,101,7,101,5,106,..,467,69,539,5,545,..,49,3,55,0,55,..,57,0,60,0,61,..,98,10,103,0,105,..,807,94,899,16,911,..,433,33,464,10,474,..,80,19,99,4,99,..,43,38,89,0,89,..,57,3,65,0,65,..,151,7,155,0,153,..,22,0,24,0,24,..,84,3,92,0,93,..,40,3,45,0,45,..,25,3,30,0,30,..,72,10,84,0,81,..,87,3,90,0,90,..,36,0,39,0,39,..,126,3,132,0,132,..,36
SOSR121,42325,..,..,..,..,42325,..,18,0,18,0,18,..,47,5,55,0,55,..,52,3,51,4,55,..,17,11,30,0,30,..,42,24,60,3,68,..,3,0,3,0,3,..,60,37,92,3,98,..,10,0,12,0,12,..,49,0,52,0,48,..,54,3,57,0,57,..,99,0,100,0,102,..,53,5,54,0,54,..,4,0,4,0,4,..,13,0,13,0,13,..,27,7,28,0,28,..,7,0,7,0,7,..,8,0,8,0,8,..,12,0,12,0,12,..,71,7,81,0,81,..,137,10,147,0,144,..,15,0,12,0,12,..,8,0,8,0,8,..,8,0,8,0,8,..,20,0,20,0,20,..,7,0,8,0,8,..,25,0,25,0,25,..,17,0,17,0,17,..,3,0,6,0,6,..,9,0,13,0,13,..,10,0,16,0,16,..,11,0,11,0,11,..,16,0,16,0,16,..,3
SOSR122,24266,..,..,..,..,24266,..,22,0,22,0,22,..,34,3,32,0,32,..,13,0,11,0,11,..,15,11,25,0,25,..,19,7,32,0,29,..,0,0,0,0,0,..,38,20,56,0,55,..,24,0,24,0,24,..,27,0,33,0,34,..,26,3,30,0,29,..,69,6,73,0,78,..,38,3,38,0,44,..,7,0,7,0,7,..,10,0,10,0,10,..,11,0,15,0,15,..,5,0,5,0,5,..,5,0,5,0,8,..,8,0,8,0,8,..,47,0,45,0,48,..,70,3,75,0,76,..,11,4,14,0,18,..,6,0,9,0,9,..,11,0,11,0,8,..,24,0,24,0,24,..,3,0,3,0,3,..,12,0,12,0,12,..,11,0,11,0,11,..,3,0,6,0,6,..,5,0,6,0,6,..,5,0,5,0,8,..,7,0,7,0,7,..,3,0,3,0,3,..,0
SOSR131,246679,..,..,..,..,246679,..,241,3,243,0,250,..,958,80,1039,9,1046,..,106,10,110,8,118,..,270,184,450,8,457,..,324,136,460,6,468,..,37,8,43,0,43,..,626,333,958,15,974,..,331,29,366,3,369,..,321,3,328,4,334,..,330,9,344,7,346,..,799,11,817,12,824,..,438,42,471,5,478,..,30,0,30,0,28,..,143,6,151,4,157,..,286,23,311,6,317,..,34,0,33,0,35,..,65,0,66,0,66,..,54,0,61,0,61,..,614,34,643,17,662,..,1712,137,1846,26,1878,..,106,16,117,3,124,..,72,32,112,0,112,..,80,9,90,3,89,..,794,69,860,10,871,..,64,4,68,0,68,..,126,14,140,0,135,..,96,9,112,0,112,..,37,5,42,0,47,..,186,22,205,0,206,..,40,3,47,3,48,..,51,4,51,0,51,..,96,3,92,0,92,..,31
