SOSR_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SOSR101,50985,9052,843,393,60580,9802,131656,53917,17802,2346,1041,69868,12803,157780,123307,74086,11568,4596,111011,31087,355650,98611,92974,20623,8151,71054,23529,314947,80020,83236,19267,7736,63926,19519,273705,58113,65460,17699,8003,56909,15648,221844,29878,40477,16466,8564,44954,12573,152924,12216,16832,8044,4897,27946,8732,78665,3720,4158,2032,1392,14340,4570,30209,510774,404067,98898,44783,520593,138263,1717381,52627,13103,1646,649,48180,8671,124874,55498,28123,5367,3653,50700,11282,154626,91657,94258,35805,42677,73644,27541,365579,43539,91702,58848,63191,42718,19935,319928,34984,90985,58473,43711,39547,16908,284607,28430,71708,46484,34496,39971,14852,235941,15120,39260,33074,27700,35716,13504,164386,9704,18135,14181,12380,29955,11317,95672,5648,6496,3282,2440,26145,8755,52767,337199,453771,257169,230900,386571,132759,1798364,103613,22157,2491,1043,108762,18471,256521,109412,45929,7709,4700,120568,24081,312400,214966,168338,47369,47270,184656,58631,721227,142144,184673,79479,71340,113774,43465,634879,115004,174220,77744,51451,103473,36429,558311,86539,137168,64189,42503,96873,30508,457780,45004,79740,49540,36264,80674,26079,317307,21918,34964,22227,17282,57903,20043,174334,9367,10649,5317,3835
SOSR102,13326,2136,193,88,12833,2227,30797,12827,4750,656,263,12282,1986,32756,21119,16424,3140,1306,13674,3778,59439,17616,20700,5208,2214,10098,3584,59424,17771,21064,5412,2360,12277,4159,63032,14519,18522,5756,2935,13179,4139,59046,7575,12697,6475,3911,13000,4470,48128,3404,5495,3117,2364,8832,3922,27137,1162,1417,726,569,4419,2221,10512,109315,103206,30673,16002,100596,30474,390271,13728,3119,367,172,10011,1989,29387,12006,7573,1665,1225,7067,1840,31383,12212,19240,8790,10392,6737,3315,60694,6487,20096,14387,13624,4984,3085,62664,7810,23860,14913,9630,6674,3597,66486,7370,20472,13518,9747,9180,4056,64346,3818,11294,11171,10186,11404,5006,52877,2810,5670,4648,4757,10440,5484,33803,1771,2119,1123,840,7745,4426,18027,68015,113446,70580,60587,74234,32804,419667,27052,5247,559,261,22846,4218,60181,24834,12323,2315,1492,19354,3827,64140,33328,35666,11934,11703,20411,7090,120129,24108,40802,19592,15838,15086,6665,122090,25581,44926,20322,11987,18947,7755,129517,21895,38987,19270,12682,22361,8200,123390,11389,23992,17642,14102,24404,9476,101006,6212,11167,7766,7121,19266,9404,60940,2933,3543,1846,1412
SOSR111,1678,263,39,16,1693,327,4014,1504,656,98,47,1362,299,3965,2782,2474,496,214,1730,582,8270,2274,2651,730,307,1355,565,7874,2166,2547,669,252,1471,569,7666,1747,2204,685,305,1606,552,7104,874,1363,665,420,1513,517,5356,302,491,309,259,898,430,2689,121,103,58,38,398,203,918,13455,12751,3742,1872,12020,4033,47859,1763,506,65,31,1255,281,3902,1345,1174,320,233,894,285,4254,1419,2785,1491,1732,870,537,8825,741,2524,1849,1877,719,462,8168,915,2917,1857,1202,882,463,8236,791,2343,1677,1237,1119,509,7675,424,1132,1189,1209,1372,622,5951,279,550,463,476,1164,597,3537,157,189,103,80,820,357,1705,7819,14123,9018,8092,9080,4118,52252,3438,769,98,51,2949,612,7913,2855,1833,414,283,2250,589,8223,4199,5252,1981,1951,2598,1117,17097,3010,5174,2579,2186,2076,1026,16041,3080,5463,2526,1458,2347,1034,15905,2537,4547,2368,1543,2725,1052,14772,1295,2494,1853,1633,2886,1136,11310,581,1047,777,737,2059,1027,6229,280,296,159,123
SOSR112,5972,1120,103,62,5743,1469,14476,5024,2552,366,196,4574,1686,14398,8726,7532,1547,739,5515,3200,27256,6893,8510,2228,1044,4371,2680,25730,7187,8886,2336,961,5030,2430,26836,6433,8457,2559,1215,5873,2437,26964,3658,5950,2934,1663,5885,2459,22555,1533,2630,1486,1111,4002,1881,12641,474,605,330,278,1966,938,4593,45898,46243,13896,7271,42968,19171,175452,6385,1683,266,152,4549,1310,14349,4384,3894,1037,1008,2832,1213,14364,4661,8618,4439,5611,3010,2006,28340,2713,8649,5846,5669,2452,1694,27017,3549,10703,6236,3819,3087,2077,29475,3449,10019,6050,4110,4147,2296,30073,1787,5526,5219,4842,5236,2710,25319,1256,2710,2268,2459,5003,2822,16518,808,966,530,446,4026,1839,8620,28991,52768,31894,28106,34340,17973,194076,12359,2802,376,214,10293,2778,28829,9413,6447,1399,1203,7408,2898,28762,13380,16151,5986,6351,8524,5205,55597,9603,17156,8072,6715,6821,4375,52744,10737,19591,8577,4784,8121,4509,56316,9880,18475,8605,5323,10015,4741,57040,5447,11481,8149,6504,11124,5166,47872,2784,5342,3758,3569,9008,4696,29158,1284,1571,866,728
SOSR113,3289,652,96,27,3396,879,8341,2459,1228,212,119,2604,762,7388,4535,4127,918,500,3295,1634,15015,3885,4579,1298,716,2858,1358,14687,4201,5209,1413,723,3690,1586,16828,4006,5186,1861,992,4398,1693,18137,2447,4224,2323,1495,4670,1868,17031,1159,1849,1107,915,3312,1626,9962,334,441,279,202,1529,877,3665,26320,27500,9506,5697,29755,12280,111059,3130,943,128,106,2536,773,7610,1987,1909,597,611,1529,615,7253,2167,4408,2451,3339,1759,1157,15284,1345,4724,3346,3460,1506,1112,15479,1997,5841,3659,2607,2263,1325,17687,1925,5903,4182,3070,3061,1667,19800,1151,3769,3664,3597,4146,2109,18432,863,1854,1639,1780,3646,2275,12055,558,671,374,318,2916,1586,6431,15114,30021,20042,18889,23356,12604,120026,6420,1593,221,135,5933,1649,15950,4446,3138,809,734,4135,1374,14638,6704,8533,3376,3840,5055,2790,30304,5226,9303,4644,4169,4359,2467,30165,6198,11050,5070,3337,5952,2909,34512,5925,11091,6043,4060,7458,3359,37936,3595,7991,5989,5088,8816,3983,35465,2023,3702,2750,2693,6955,3892,22019,890,1112,658,526
SOSR114,2707,559,56,34,2659,979,6990,2055,994,152,90,1944,615,5854,3695,3242,733,396,2459,1209,11739,3387,4017,1161,610,2175,1237,12592,3693,4372,1244,518,2746,1422,14002,3486,4481,1519,769,3531,1554,15340,2144,3540,1972,1218,3786,1843,14500,988,1492,1004,821,2652,1566,8527,280,373,195,176,1184,727,2938,22439,23072,8050,4626,23133,11161,92481,2842,836,130,76,2005,865,6753,1608,1624,478,508,1053,542,5808,1893,3648,2023,2873,1222,1047,12706,1225,4288,2884,2978,1103,1048,13529,1669,5225,3226,2112,1646,1324,15202,1761,5068,3417,2472,2361,1481,16562,977,3081,3256,3040,3240,1908,15500,758,1515,1382,1508,3020,2055,10240,420,584,321,276,2327,1323,5243,13159,25866,17115,15845,17965,11587,101541,5552,1390,184,104,4663,1842,13744,3663,2619,628,593,2995,1156,11658,5596,6888,2758,3266,3679,2255,24441,4612,8305,4042,3591,3275,2291,26122,5362,9593,4475,2632,4394,2746,29205,5242,9547,4933,3244,5898,3040,31907,3126,6625,5226,4253,7022,3748,29996,1747,3005,2394,2335,5666,3622,18767,698,953,519,453
SOSR115,4131,748,88,50,3800,1417,10232,3111,1430,243,148,2821,870,8614,5408,4913,1136,572,3619,1842,17493,4916,6144,1729,899,3111,1905,18709,5472,6888,1964,865,4194,2184,21565,5503,7430,2470,1343,5395,2496,24631,3225,5596,3101,2151,5964,2829,22871,1302,2184,1448,1244,3791,2154,12132,391,476,281,255,1812,1000,4215,33467,35812,12464,7520,34501,16703,140464,4153,1174,176,106,2980,1262,9856,2485,2157,678,674,1544,684,8219,2635,5412,3080,4218,1701,1436,18481,1748,6138,4442,4605,1585,1540,20054,2554,8029,5072,3430,2282,1907,23281,2685,7802,5586,4137,3479,2201,25886,1503,4700,4781,4895,4758,2767,23402,964,2122,1888,2175,4142,2735,14020,563,753,406,422,3402,1684,7225,19297,38287,26112,24658,25871,16207,150430,8284,1924,259,159,6780,2677,20085,5594,3581,918,818,4363,1556,16834,8041,10327,4221,4788,5326,3276,35972,6668,12283,6169,5502,4701,3440,38766,8030,14920,7043,4293,6474,4094,44847,8189,15229,8058,5481,8868,4697,50519,4727,10300,7881,7047,10719,5599,46275,2265,4303,3338,3423,7932,4892,26147,961,1226,684,678
SOSR121,1183,208,32,16,1089,378,2900,800,328,71,44,785,194,2213,1212,1219,292,132,816,370,4035,1303,1735,565,265,761,411,5045,1683,2150,621,319,1158,505,6440,1588,2224,847,413,1527,660,7260,901,1514,914,611,1510,676,6124,311,500,390,329,835,472,2833,73,104,60,62,356,157,815,9050,9984,3788,2193,8830,3824,37665,1275,351,50,26,800,317,2816,613,527,150,166,412,182,2055,598,1224,801,1022,402,360,4399,494,1689,1306,1296,379,384,5554,702,2364,1531,1055,647,491,6787,733,2273,1617,1278,929,622,7450,360,1193,1324,1325,1127,623,5947,213,433,392,513,792,490,2833,136,116,70,71,532,193,1114,5124,10169,7254,6754,6018,3654,38963,2454,559,82,35,1889,697,5717,1414,850,228,208,1194,376,4275,1803,2444,1090,1162,1220,728,8442,1795,3427,1867,1565,1141,796,10602,2382,4513,2156,1376,1798,994,13224,2318,4489,2468,1695,2455,1278,14709,1263,2708,2235,1935,2639,1299,12074,527,934,783,838,1622,956,5664,207,221,136,131
SOSR122,677,140,15,7,584,252,1671,424,170,25,25,393,119,1163,679,616,174,96,482,266,2311,747,983,276,144,440,299,2894,949,1218,373,190,690,368,3795,938,1329,496,293,1039,457,4555,491,933,528,385,945,506,3789,199,303,207,185,531,320,1746,46,68,21,32,164,105,439,5142,5765,2123,1358,5264,2698,22356,662,174,22,11,433,223,1523,319,272,105,97,220,77,1082,335,677,390,564,212,222,2407,241,971,684,716,214,252,3082,409,1326,824,640,390,331,3916,411,1330,871,834,569,406,4430,200,664,704,805,664,417,3456,112,250,204,273,435,328,1595,64,74,44,36,243,143,604,2761,5737,3852,3973,3369,2397,22088,1338,316,35,15,1021,474,3192,737,446,131,118,611,197,2238,1014,1296,567,659,688,488,4713,992,1954,963,858,647,551,5975,1360,2547,1195,829,1079,699,7709,1352,2656,1368,1133,1611,863,8979,691,1601,1228,1191,1607,920,7240,310,547,416,459,959,646,3341,113,144,69,69
SOSR131,7738,1633,160,95,6344,2761,18729,4774,2015,342,167,4517,1787,13601,7105,6276,1575,789,4736,3242,23718,8001,10048,3138,1628,4568,3706,31084,10912,13956,4372,2208,7048,4908,43405,10360,14059,5231,3335,8941,5256,47179,5694,8750,4840,4195,8259,4697,36434,1945,2701,1669,1704,3834,2538,14394,501,502,244,245,1203,721,3412,57025,59926,21569,14381,49439,29612,231960,7656,1986,258,110,4533,2475,17018,3715,2864,827,738,2269,1121,11532,3289,6456,3842,5454,1888,2208,23136,2303,9642,7686,8237,1715,2918,32498,3764,14397,10500,7778,2761,3968,43171,3498,13060,10347,8717,3818,4334,43769,1683,6119,6847,8054,4264,3779,30752,916,1992,1904,2540,2354,2074,11785,471,522,347,339,1424,851,3961,27302,57042,42543,41974,25021,23737,217622,15390,3617,416,208,10874,5242,35753,8488,4878,1169,909,6783,2909,25135,10399,12730,5410,6249,6623,5446,46857,10305,19686,10820,9863,6285,6623,63585,14678,28353,14875,9989,9808,8882,86576,13857,27116,15573,12053,12755,9589,90948,7380,14867,11683,12254,12520,8477,67180,2859,4694,3577,4248,6193,4611,26179,970,1023,584,587
