SOSR_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOSR101,40486,13320,82975,847977,857836,356062,275686,907165,271027,3515745
SOSR102,12166,6648,28538,177328,216655,101256,76589,174833,63276,809935
SOSR111,1216,553,2622,21272,26873,12755,9963,21096,8149,100115
SOSR112,5993,2776,13209,74893,99015,45793,35376,77308,37144,369524
SOSR113,4448,2467,10099,41433,57524,29552,24586,53107,24888,231091
SOSR114,3512,2045,8178,35599,48939,25164,20471,41100,22749,194026
SOSR115,5213,2681,11444,52762,74102,38570,32186,60369,32911,290897
SOSR121,886,353,1934,14172,20155,11038,8943,14850,7476,76622
SOSR122,407,249,1046,7905,11498,5977,5337,8630,5095,44437
SOSR131,2629,1572,7371,84324,116972,64114,56355,74460,53349,449576
SOSR179,5,0,10,23,36,19,40,163,93,374
SOSR199,41,26,78,1976,1606,620,412,3500,3428,11545
