SOSR_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,..,23643,31911,7772,5146,5053,3037,1196,429,78193,..,5959,17968,18431,19506,29354,34611,29187,17605,172620,4366,6018,7748,3700,3040,3507,3159,2085,1106,34729,374609,258988,338483,300733,268561,221265,151726,84293,35501,2034164,..,14777,262369,381916,337210,273981,185879,84193,18981,1559290,..,21634,96539,56473,39564,22125,8453,1890,324,246993,..,3656,17098,36132,48250,31152,14065,10071,6534,166957,760905,..,..,..,..,..,..,..,..,760905,..,234546,..,..,..,..,..,..,..,234546,..,128025,104447,30099,17745,7912,1411,59,3,289701,..,28852,24737,8740,9684,16190,14225,10978,6564,119980,..,21454,28289,8153,5640,3914,1530,547,197,69717,..,48980,74490,20140,13064,11348,6761,2462,779,178022,..,12109,39498,41429,44065,53384,53840,40482,23588,308391,8866,11656,16096,8902,7038,6383,5184,3217,1544,68882,769770,525690,663567,591984,522264,426376,291339,153886,58516,4003384
SOSR102,..,4822,3204,980,1448,1702,1101,512,161,13930,..,1163,3144,3119,5481,10479,12740,11919,7155,55192,1458,2387,1837,880,986,1355,1141,763,353,11159,83089,56550,57187,59543,62835,59917,48364,30052,12482,470020,..,2095,41469,67006,69318,67952,56743,29120,6597,340305,..,8264,22951,14758,12253,7563,3420,979,167,70361,..,1644,6277,11766,13563,7301,3295,2832,1949,48623,168312,..,..,..,..,..,..,..,..,168312,..,44510,..,..,..,..,..,..,..,44510,..,33667,16084,5661,4610,2550,453,16,0,63048,..,4792,2610,1055,1722,2847,2809,2130,1294,19260,..,3624,2722,1133,1115,773,359,135,58,9915,..,10164,8425,2591,3302,3616,2316,1011,301,31732,..,2421,7720,8545,13064,19142,20423,16808,9788,97925,3049,4616,4099,2397,2298,2459,1943,1192,531,22581,171357,115798,112373,114920,121254,114204,91769,54216,20683,916573
SOSR111,..,571,346,101,178,139,97,36,9,1473,..,254,568,431,733,1374,1448,1345,709,6875,251,366,233,103,132,187,128,98,43,1530,11963,7577,8246,7686,7757,7089,5354,3040,1153,59862,..,387,6380,8751,8502,8437,6459,2815,552,42284,..,1617,3490,1852,1428,890,359,73,9,9719,..,325,1127,1658,1658,715,327,252,162,6217,24157,..,..,..,..,..,..,..,..,24157,..,5265,..,..,..,..,..,..,..,5265,..,4073,1552,593,430,198,41,0,0,6884,..,639,285,126,223,279,279,176,108,2118,..,404,263,111,114,49,20,11,5,979,..,1090,838,285,359,301,214,78,17,3180,..,505,1361,1254,1741,2374,2240,1793,945,12214,507,690,537,315,326,289,226,152,58,3105,24660,14999,15836,14941,14778,13531,10173,5353,1845,116123
SOSR112,..,2135,1434,498,682,906,532,234,65,6488,..,904,1909,1631,3169,5847,6816,6057,3384,29716,888,1365,899,440,523,746,660,447,186,6156,39921,24979,26063,25152,27249,27404,22579,14071,5564,212977,..,1284,18343,25757,27408,28806,25073,13186,2865,142717,..,5493,10198,6353,5440,3616,1704,435,62,33301,..,1336,4081,5892,6094,2986,1343,1087,761,23576,80043,..,..,..,..,..,..,..,..,80043,..,16512,..,..,..,..,..,..,..,16512,..,12790,5056,2131,1677,990,180,5,0,22823,..,2203,1014,480,789,1236,1068,713,460,7964,..,1627,1173,512,458,296,148,34,17,4264,..,4274,3483,1259,1533,1779,1124,461,117,14037,..,1778,4421,4293,6784,10334,10537,8320,4349,50821,1818,2591,2018,1166,1150,1315,1095,669,257,12085,81861,49888,49793,47840,51328,51356,42269,24918,8895,408148
SOSR113,..,612,570,217,463,520,345,178,47,2948,..,384,820,803,1718,3506,4444,4297,2487,18463,488,724,509,256,379,570,476,320,160,3881,22985,13749,14104,14411,16421,17989,16374,10419,4164,130619,..,670,9748,14246,16535,19711,19304,10249,2209,92671,..,2938,5785,3852,3275,2334,1250,404,69,19902,..,836,2547,3628,3676,1812,932,845,543,14816,46180,..,..,..,..,..,..,..,..,46180,..,9610,..,..,..,..,..,..,..,9610,..,8397,3447,1567,1282,722,130,5,0,15550,..,1297,528,272,550,820,740,519,333,5053,..,812,580,304,273,191,87,39,8,2293,..,1289,1401,656,1006,1062,769,350,85,6626,..,860,2209,2393,4161,6596,7290,6138,3362,33008,1042,1456,1197,739,835,983,881,486,225,7840,47224,28161,27449,27665,31587,34225,31379,19031,6832,253558
SOSR114,..,569,573,239,374,457,304,139,55,2710,..,369,719,693,1470,2909,3657,3714,2060,15598,410,562,349,208,294,474,461,262,122,3142,20034,11331,11653,12544,13948,14855,13707,8751,3415,110237,..,553,7898,12621,13992,16107,16151,8603,1741,77674,..,2509,5067,3574,3094,2231,1146,309,49,17983,..,633,1911,2947,2942,1426,682,628,488,11649,40012,..,..,..,..,..,..,..,..,40012,..,7882,..,..,..,..,..,..,..,7882,..,6630,2401,1158,973,603,114,9,0,11877,..,999,419,210,381,621,588,437,303,3962,..,651,527,253,244,150,68,19,9,1930,..,1165,1316,597,781,928,674,272,83,5823,..,790,1758,1910,3511,5638,6124,5389,2771,27884,847,1084,868,576,605,820,789,392,165,6145,40862,22889,22168,23845,26526,28524,26341,16057,5613,212823
SOSR115,..,725,593,274,526,689,464,189,42,3498,..,432,896,872,2151,4304,5334,4974,2745,21704,554,740,509,296,462,727,685,368,166,4497,30032,16377,17019,18513,21384,23366,20764,12067,4583,164105,..,765,12665,19313,21623,26250,24868,12032,2418,119946,..,3359,7102,5406,5163,3713,1870,476,74,27170,..,796,2618,4078,4454,2107,1123,948,641,16764,60475,..,..,..,..,..,..,..,..,60475,..,12146,..,..,..,..,..,..,..,12146,..,10089,4055,1742,1443,859,155,5,0,18351,..,1388,542,281,579,996,995,688,404,5876,..,902,639,322,383,244,140,53,12,2694,..,1447,1452,709,1118,1391,996,418,82,7611,..,965,2295,2610,4948,8441,9337,7277,3747,39625,1133,1489,1250,820,991,1298,1273,641,234,9134,61607,33349,32623,35294,40707,45298,40756,22538,7614,319782
SOSR121,..,88,112,68,140,192,135,45,7,787,..,80,178,170,500,1013,1109,900,393,4344,127,199,136,77,141,207,186,69,32,1176,8207,4475,4044,5163,6280,6748,5310,2519,818,43570,..,167,2852,5603,7162,8177,6857,2773,532,34124,..,751,1710,1518,1554,1093,575,127,15,7349,..,200,605,1003,1029,576,283,235,122,4056,16564,..,..,..,..,..,..,..,..,16564,..,3674,..,..,..,..,..,..,..,3674,..,2929,1180,482,393,217,27,0,0,5223,..,354,135,109,164,248,283,190,142,1616,..,278,169,103,120,77,34,16,3,800,..,207,269,160,286,405,267,101,21,1718,..,175,440,556,1191,2110,2046,1460,580,8566,271,421,315,232,290,377,350,122,43,2434,16837,9163,7680,9769,12182,13272,10723,5025,1464,86123
SOSR122,..,45,60,33,88,136,64,30,8,460,..,49,101,115,324,641,738,497,221,2683,83,121,73,73,79,158,110,60,24,781,4329,2366,2171,2805,3589,3963,3094,1407,447,24159,..,100,1521,2966,3775,4566,3862,1556,250,18597,..,373,886,845,929,752,311,80,16,4194,..,106,340,542,624,306,180,140,87,2325,8744,..,..,..,..,..,..,..,..,8744,..,1968,..,..,..,..,..,..,..,1968,..,1588,631,261,224,114,22,0,0,2847,..,197,93,50,118,175,160,106,71,976,..,147,88,71,70,58,29,14,3,479,..,85,149,80,205,287,146,75,24,1046,..,111,277,389,879,1489,1457,882,331,5819,176,241,198,157,191,277,236,104,37,1630,8921,4925,4184,5379,7012,8028,6402,2967,822,48633
SOSR131,..,487,484,341,767,1003,578,164,36,3855,..,333,635,742,1914,3678,3861,2484,1096,14744,745,1188,746,425,739,1102,824,331,111,6204,45635,24977,20678,29456,38931,38854,26991,10390,3063,238974,..,1002,16393,37237,51261,53938,40667,14189,2175,216853,..,2919,7810,7425,8749,6845,2943,551,84,37327,..,607,1927,3457,4303,2444,1376,1099,694,15909,92823,..,..,..,..,..,..,..,..,92823,..,22944,..,..,..,..,..,..,..,22944,..,17748,7846,2933,2183,963,158,8,0,31843,..,1531,686,417,811,1511,1601,1215,877,8648,..,1513,1119,578,697,693,340,126,45,5118,..,983,1133,811,1628,2176,1326,406,86,8553,..,935,2004,2678,5888,9652,8818,4767,1786,36526,1488,2375,1820,1165,1717,2191,1658,637,165,13221,94311,52557,40755,56705,77236,80415,58885,23008,5906,489768
