SOSR_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOSR101,168930,544189,470474,141682,73604,1398876,47443,1446323
SOSR102,27855,133726,130975,41197,20792,354560,13815,368375
SOSR111,3023,16334,17611,5377,2534,44879,1589,46467
SOSR112,12893,66824,59453,16958,7503,163636,7097,170737
SOSR113,8080,42897,36555,10705,4822,103063,5185,108244
SOSR114,6091,35562,31848,9149,4045,86686,4489,91181
SOSR115,7521,49870,48621,15117,7312,128435,6386,134817
SOSR121,1284,11190,13360,4678,2510,33016,1450,34473
SOSR122,958,6829,7449,2582,1453,19266,1023,20291
SOSR131,3001,38727,71495,35606,27435,176260,7150,183411
SOSR179,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0
