SOSR_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SOSR101,113,359,795,747,811,600,288,80,15,3803,7,86,623,668,606,413,114,16,0,2528,1352,4500,15463,19029,20071,14553,3048,298,44,78361,95,587,2594,3046,2896,1971,337,23,0,11537,5970,15586,37589,32050,26077,15240,3549,294,37,136382,587,2544,10375,12566,10883,7102,1771,210,30,46062,7854,14685,22885,16879,12805,8648,2745,371,32,86898,11114,13181,20698,11008,7667,5108,1248,128,13,70164,881,4139,16511,18982,20302,14986,3467,263,21,79557,679,2134,10018,10949,7593,3525,728,91,8,35728,321,3884,21539,23463,15082,7260,1690,252,57,73549,365,1520,5716,5063,4241,2824,1151,257,42,21176,895,7435,35304,32842,22019,14074,5285,784,91,118723,704,3097,9625,8500,7200,5310,1536,156,26,36151,513,3491,14678,14901,14526,10143,2274,203,22,60754,1966,4639,11112,10323,9481,8711,2879,332,16,49456,721,3635,13726,12853,11493,9476,3540,520,56,56025,1538,2744,5076,3664,2804,1938,624,110,13,18507,1283,3643,8903,8465,7959,5743,1710,215,27,37945,2302,6515,17000,14403,13118,8499,2461,485,116,64906
SOSR102,43,148,224,224,222,199,90,36,4,1176,21,215,1692,1760,1415,766,68,3,3,5946,492,1577,3779,4393,5307,3505,502,44,0,19602,40,225,890,1074,1124,812,87,0,4,4257,2063,4648,9382,8389,7584,4766,835,57,5,37722,137,455,1205,1589,1595,1089,235,23,0,6335,2436,3332,4186,3113,2877,2123,609,84,8,18768,4093,3038,2755,1712,1451,1057,308,36,3,14455,157,531,2054,3001,3940,3356,802,77,4,13918,150,344,815,906,911,504,87,18,0,3736,36,255,1208,1694,1396,831,208,33,5,5675,61,214,604,734,734,581,242,39,5,3214,176,924,3149,3334,2809,2075,677,89,5,13237,183,618,1336,1464,1580,1256,285,19,6,6743,130,835,3517,4513,4959,3041,459,27,3,17496,238,843,2349,2537,2515,2544,556,54,3,11647,181,943,3246,3353,3418,2919,684,87,12,14843,419,527,673,570,512,383,153,13,5,3254,418,1060,2068,1924,1963,1387,374,55,10,9259,541,1184,2198,2083,2312,1558,436,124,26,10460
SOSR111,13,37,94,82,81,53,30,7,3,394,21,98,618,683,473,212,20,0,0,2136,101,329,830,807,828,590,76,9,0,3572,3,18,112,131,157,100,6,0,0,530,261,538,1159,881,739,595,86,6,0,4265,23,73,205,220,216,139,35,3,0,918,321,424,590,461,382,260,68,8,0,2505,615,302,316,206,152,124,41,0,0,1761,16,103,349,409,537,467,140,4,0,2030,15,22,86,69,60,42,13,0,0,295,3,25,99,116,93,60,20,0,0,424,3,28,75,80,75,66,22,5,0,353,14,88,313,287,207,224,86,3,0,1226,28,60,178,204,179,146,33,3,0,832,17,97,451,502,509,329,40,0,0,1943,18,84,210,259,277,279,49,3,0,1179,24,68,320,335,318,270,69,4,0,1414,46,37,49,42,38,31,7,3,0,255,65,162,350,284,261,213,56,9,3,1399,72,158,322,249,274,201,68,16,3,1369
SOSR112,99,252,561,434,459,380,184,63,11,2439,12,122,702,680,539,263,19,3,0,2348,341,841,1999,1905,1762,1178,248,45,0,8319,11,90,376,460,523,359,30,3,0,1865,796,1807,3518,2674,2408,1906,401,29,4,13544,90,260,624,658,640,467,146,21,6,2911,1295,1455,2171,1631,1470,1223,389,42,6,9688,1754,1142,1446,972,823,643,209,24,3,7020,86,247,847,1111,1480,1414,529,54,0,5775,72,126,249,248,250,203,49,13,0,1201,13,72,271,378,408,279,99,26,0,1552,30,64,196,261,269,252,125,27,5,1243,64,247,765,873,851,809,364,52,5,4031,75,244,576,641,689,603,157,22,0,2997,77,379,1596,1873,2182,1599,228,23,0,7951,95,279,971,1274,1450,1422,328,43,0,5871,78,401,1511,1560,1692,1537,403,29,3,7216,143,139,240,242,236,224,69,18,0,1313,209,518,964,815,840,674,257,32,3,4304,277,469,897,793,878,653,227,63,20,4274
SOSR113,55,142,283,274,295,277,133,44,10,1504,42,245,1335,1269,1128,684,52,3,0,4771,187,542,1137,1066,1120,823,133,22,0,5027,30,82,273,286,411,314,39,0,0,1432,423,867,1802,1556,1662,1229,252,19,5,7814,50,111,312,327,355,224,58,5,0,1454,714,657,1029,881,833,728,220,38,4,5099,1055,576,698,496,484,468,149,21,3,3948,60,131,428,572,873,797,312,27,0,3200,32,62,93,75,93,97,21,0,0,470,7,24,81,135,140,108,39,13,3,551,20,31,88,126,134,161,76,10,0,638,32,96,325,386,345,363,150,24,4,1725,53,154,329,335,435,343,103,11,3,1766,40,188,752,899,1079,799,119,5,0,3890,40,121,403,375,490,562,130,8,0,2123,33,146,532,607,720,720,151,10,3,2924,67,68,95,107,100,111,38,11,3,605,120,299,548,523,529,424,107,17,3,2560,161,306,493,474,547,436,153,46,16,2630
SOSR114,105,220,483,456,513,454,238,78,14,2559,14,85,469,376,306,163,14,3,0,1431,211,525,1145,1123,1150,875,143,16,0,5182,11,62,220,275,295,200,19,0,0,1076,364,849,1590,1531,1408,1132,251,20,4,7150,54,121,230,312,352,300,72,11,0,1442,592,494,774,686,721,646,208,27,0,4155,813,419,590,507,417,480,160,9,0,3396,46,120,406,534,790,831,304,50,3,3086,16,23,67,86,92,86,29,0,0,402,4,14,94,134,145,94,32,6,0,520,25,29,68,111,151,116,59,15,3,568,38,97,303,415,378,342,162,29,0,1767,34,101,218,274,319,308,71,6,0,1327,47,175,659,894,1028,778,107,13,0,3700,28,76,329,475,485,515,118,16,0,2043,38,91,352,485,564,551,123,9,3,2211,50,57,71,119,118,99,43,0,0,565,123,266,459,394,426,360,131,24,0,2180,142,252,455,450,459,380,145,43,18,2344
SOSR115,176,408,892,825,881,876,403,134,25,4611,19,154,762,857,705,428,44,4,0,2981,274,613,1346,1428,1453,1110,215,21,6,6461,20,80,302,384,437,336,43,0,0,1603,684,1376,2814,2470,2436,1922,384,27,3,12117,82,163,335,422,501,424,108,8,0,2035,902,690,969,952,945,906,286,42,5,5694,921,551,690,618,613,613,233,24,3,4265,62,186,613,831,1202,1221,475,43,3,4645,32,55,117,137,167,166,38,3,0,712,7,27,109,153,161,145,44,9,3,661,18,42,115,155,149,169,80,11,4,747,51,120,372,541,558,523,257,33,0,2450,58,140,339,389,512,480,122,15,0,2059,113,330,1157,1488,1880,1401,221,15,4,6602,46,127,545,679,781,878,210,15,0,3278,28,133,521,610,846,886,202,16,0,3247,77,117,176,167,204,175,80,11,3,1017,195,352,634,629,617,557,190,30,9,3201,212,376,670,708,797,647,219,67,26,3725
SOSR121,41,83,196,204,235,257,106,45,7,1176,3,39,149,215,204,119,12,0,0,746,77,146,281,371,473,336,74,8,0,1764,0,27,78,85,127,101,9,0,0,435,177,356,660,750,801,600,115,8,0,3462,8,43,77,122,136,90,30,5,0,515,250,192,214,273,273,280,89,7,0,1570,303,152,174,158,186,180,58,8,0,1220,23,44,136,258,381,393,133,19,0,1400,6,13,32,39,51,41,11,0,0,187,6,11,33,49,72,57,13,3,0,243,3,17,34,28,49,57,15,0,0,216,9,31,98,164,223,185,82,10,0,809,10,34,76,122,139,120,37,7,0,545,29,62,225,370,448,330,57,7,0,1524,15,32,123,217,233,272,51,7,0,951,6,48,141,182,281,269,71,8,0,998,26,24,43,57,73,68,13,3,0,302,58,93,182,148,235,148,56,7,3,933,53,97,165,174,229,195,61,17,4,996
SOSR122,34,57,144,141,195,182,71,28,4,861,0,10,67,96,82,64,8,0,0,328,34,83,162,176,269,189,47,3,0,971,5,19,32,63,82,73,8,0,0,284,119,161,345,394,433,347,63,0,0,1875,20,23,46,56,60,63,18,0,0,274,110,72,134,148,142,143,38,6,0,801,161,90,121,113,135,128,42,4,0,792,13,30,76,128,203,211,88,8,3,763,3,6,14,20,28,22,13,3,0,107,0,5,14,33,20,24,9,3,0,112,9,4,12,30,23,21,12,3,0,117,11,14,56,74,84,110,51,5,0,405,13,21,34,55,88,71,20,4,0,312,5,31,129,233,307,205,40,3,0,950,6,19,67,124,114,178,36,10,0,549,6,21,47,83,134,138,39,0,0,474,17,20,19,28,40,42,14,4,3,193,26,54,92,81,111,107,23,3,0,498,39,43,78,120,126,132,48,12,0,593
SOSR131,858,1457,3588,4775,6672,7618,5168,1896,353,32395,52,184,925,1304,1310,726,102,11,0,4615,528,868,1324,1819,2476,2050,504,70,6,9661,36,109,309,530,767,476,51,11,0,2299,1356,2122,3539,4296,5058,3712,890,58,10,21036,189,236,522,750,996,828,231,45,3,3801,1200,886,992,1076,1481,1283,475,75,3,7475,1407,582,526,541,681,675,269,36,3,4723,112,290,750,1360,2072,1948,692,61,6,7299,37,54,131,196,293,263,57,6,0,1041,19,70,174,315,454,328,115,25,0,1497,56,92,172,322,439,363,200,43,3,1696,96,236,597,960,1446,1392,672,75,7,5487,93,188,364,537,763,642,198,17,0,2813,313,569,1051,1680,2539,1839,285,13,5,8306,112,194,555,808,1301,1488,408,30,4,4888,64,183,437,762,1298,1510,450,41,5,4747,174,173,230,284,390,339,142,27,3,1751,405,605,833,982,1232,980,305,38,4,5379,481,559,805,1094,1655,1282,643,257,54,6829
