SOSR_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOSR101,283998,556667,229152,192633,299794,183251,113438,149613,40357,2048906
SOSR102,45150,90430,64518,53618,59763,43511,26204,41351,6869,431399
SOSR111,5324,9680,9071,6609,7274,5947,4909,6200,818,55831
SOSR112,19838,37716,27102,24972,23730,20618,11178,21937,2809,189897
SOSR113,10192,15923,16677,13526,12237,11503,9189,13444,1763,104451
SOSR114,9953,14901,14215,11491,10746,9672,6804,12297,1624,91699
SOSR115,15260,22337,22580,17565,16539,13025,11790,17974,2338,139406
SOSR121,4426,6473,6350,4726,4699,3528,3167,4482,682,38532
SOSR122,2676,3309,3409,2528,2506,1830,1787,2899,411,21364
SOSR131,58990,40029,35665,22141,30410,18298,18031,27101,4727,255400
SOSR179,3,22,18,16,21,17,10,18,5,130
SOSR199,274,649,480,430,261,224,339,582,103,3331
