SOSR_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SOSR101,0,0,45,546,587,645,586,436,99,2939,73,536,1056,5699,2459,2092,1185,471,159,13731,70,153,556,3110,333,432,307,52,10,5038,114,330,1104,5045,633,387,142,38,3,7802,16,33,127,915,1076,1333,1238,541,143,5421,39,90,296,1845,1671,977,657,276,47,5906,386,1406,1349,3702,1598,1035,670,190,55,10393,195,740,2630,11696,8707,7804,2822,1017,425,36035,12,40,83,646,448,329,301,151,51,2064,9,94,303,834,482,279,88,19,0,2114,1005,4126,7796,35282,15357,12204,9756,5275,1978,92787,7182,11714,16461,45696,17266,14199,10713,6311,2967,132509,143869,269798,289436,670599,273705,221844,152924,78665,30209,2131038,36,211,877,2285,695,513,233,74,20,4933,122210,210923,181491,302572,127346,101343,71457,41409,27245,1185994,141,500,1150,6588,1049,430,100,27,10,9993,3,17,136,1084,671,646,298,229,42,3120,18,85,395,2490,1381,1262,577,248,118,6578,60,231,462,2259,742,473,249,91,40,4614,15,55,146,1614,1161,1069,1112,372,121,5663
SOSR102,0,0,3,45,92,123,116,130,43,550,5,30,59,199,85,62,53,23,6,531,5,8,29,85,9,9,3,0,0,147,24,85,134,211,45,21,3,5,0,530,3,4,30,229,503,658,722,339,82,2572,3,9,12,120,172,65,56,44,4,478,41,161,170,436,277,211,183,54,16,1542,16,49,134,268,147,148,52,17,15,841,4,21,13,110,173,190,172,116,38,847,0,23,59,157,54,54,24,4,3,380,131,484,645,2297,1289,1239,1251,897,342,8575,1128,2204,2807,6657,3923,3966,3603,2379,1175,27846,30417,61346,63558,118860,63032,59046,48128,27137,10512,482030,20,23,36,51,17,5,6,3,0,153,26436,52929,52981,97248,50027,47180,35888,22040,11925,396653,13,19,34,155,24,3,0,0,0,252,0,3,7,89,67,65,55,46,7,337,0,10,9,74,22,22,14,4,0,147,6,55,74,383,158,129,69,17,10,921,0,10,16,120,148,98,161,51,14,613
SOSR111,0,0,0,0,5,3,4,3,0,18,0,3,0,37,8,8,0,0,0,56,0,0,0,16,0,0,0,0,0,24,3,8,7,5,4,0,0,0,0,27,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,0,0,0,0,8,0,9,16,25,18,16,12,6,0,95,0,6,8,17,5,0,0,0,0,39,0,0,0,11,20,6,12,4,0,59,0,9,9,37,12,3,0,0,0,75,3,30,26,223,107,93,84,53,31,653,189,377,446,998,536,506,423,295,123,3883,4594,8706,7979,16141,7666,7104,5356,2689,918,61164,0,0,0,3,0,0,0,0,0,3,4065,7536,7368,14122,6791,6279,4653,2668,1262,54736,3,3,3,39,0,3,0,0,0,53,0,0,0,0,0,3,0,3,0,9,0,0,0,4,0,0,0,0,0,3,0,0,7,28,10,7,4,3,0,62,0,3,0,5,0,7,4,0,3,22
SOSR112,0,0,0,5,18,17,20,25,4,88,3,34,18,145,52,30,16,6,3,308,0,3,26,101,10,3,4,0,0,155,8,20,46,75,22,8,3,0,0,176,0,0,0,3,11,10,5,4,3,36,0,0,0,22,6,3,3,3,0,43,16,50,56,154,94,78,106,39,6,601,6,10,45,154,40,20,3,0,0,287,0,9,6,21,29,32,47,21,10,178,0,29,23,69,35,38,16,4,0,222,55,220,245,806,356,350,352,235,96,2709,729,1443,1927,3756,2065,2249,2000,1252,555,15990,14610,29696,28877,52989,26836,26964,22555,12641,4593,219757,0,16,29,47,14,3,0,0,0,114,12932,25606,24892,44260,23379,23744,18922,12313,6367,192411,9,15,8,110,9,5,0,0,0,156,0,0,0,3,3,7,3,4,0,14,0,3,3,23,6,5,0,0,0,48,5,12,26,123,68,67,43,16,10,373,0,5,0,17,25,22,20,5,0,90
SOSR113,0,0,0,0,10,7,19,17,0,52,0,11,4,36,22,11,10,4,0,88,0,0,14,62,0,0,0,0,0,77,10,17,29,37,11,0,0,0,0,99,0,0,0,3,3,11,4,5,0,27,3,0,5,26,17,8,6,0,0,70,3,37,31,53,38,32,48,12,10,271,0,3,4,38,23,13,3,0,0,89,3,3,0,14,31,30,29,20,8,140,0,11,5,31,17,13,8,4,3,91,8,37,71,290,182,218,290,178,63,1343,466,917,988,2239,1452,1628,1582,1065,498,10832,8399,17188,15730,29705,16828,18137,17031,9962,3665,136649,0,6,3,13,0,0,0,0,0,19,7467,14801,13258,25018,14084,15651,13635,8814,4652,117379,3,5,3,30,3,0,0,0,0,43,0,0,0,0,3,7,4,3,0,16,0,0,3,17,0,0,3,0,0,29,6,7,13,55,27,20,25,7,4,158,0,0,0,11,7,9,14,7,0,51
SOSR114,0,0,0,0,7,9,15,8,3,36,0,7,6,31,8,7,10,3,3,73,0,3,11,50,0,0,0,0,0,65,7,10,16,16,3,0,0,0,0,61,0,0,0,6,0,4,0,0,0,16,0,0,0,5,0,4,3,0,0,18,12,19,18,63,39,27,59,15,10,252,0,7,3,27,15,14,0,0,0,65,0,0,3,22,14,23,12,20,3,92,0,0,3,19,7,19,11,0,0,59,4,60,43,259,120,144,180,123,50,985,438,876,990,2243,1365,1504,1482,1054,419,10373,7226,14961,12841,24330,14002,15340,14500,8527,2938,114669,0,0,0,6,0,0,0,0,0,6,6558,12998,11045,21156,11983,13070,11774,7751,3866,100208,0,3,0,15,0,0,0,0,0,25,0,0,0,3,5,3,0,0,0,9,0,0,4,11,0,4,3,0,0,21,3,18,10,79,28,22,16,11,5,186,0,0,0,15,8,9,9,3,0,45
SOSR115,0,0,0,0,16,18,29,20,5,89,0,16,5,45,12,11,24,6,0,116,0,7,26,91,0,0,0,0,0,122,3,15,22,33,5,3,0,0,0,81,0,0,0,4,3,10,13,3,3,40,0,3,0,7,7,7,3,0,0,34,7,37,28,77,70,63,89,28,3,399,4,3,7,59,19,11,4,0,0,107,0,3,0,17,27,33,57,22,5,170,0,5,3,23,18,8,5,0,0,70,16,65,58,300,219,252,328,210,64,1510,671,1329,1322,3010,2084,2412,2400,1401,568,15194,10827,22780,18848,36199,21565,24631,22871,12132,4215,174076,0,0,0,0,0,0,0,0,0,0,9550,19768,16094,31503,18143,20178,17194,10328,5344,148108,0,0,0,12,0,3,0,0,0,22,0,0,0,3,4,4,0,4,0,20,0,3,3,15,0,0,3,0,0,25,0,13,8,95,43,44,32,11,4,254,0,0,4,26,23,15,18,8,0,92
SOSR121,0,0,0,0,5,0,4,0,0,14,0,0,0,6,0,0,3,0,0,11,0,0,0,11,3,0,0,0,0,16,0,4,3,4,0,0,0,0,0,10,0,0,0,0,4,0,3,0,0,13,0,0,0,0,4,0,0,0,0,9,0,18,5,21,21,18,23,6,0,116,0,4,0,14,7,0,0,0,0,25,0,0,0,11,9,10,10,4,0,49,0,0,0,4,0,6,0,0,0,19,0,10,9,63,79,51,93,46,14,367,147,367,317,693,542,666,582,324,99,3741,2735,6430,5118,9080,6440,7260,6124,2833,815,46831,0,0,0,0,0,0,0,0,0,0,2354,5712,4431,8300,5398,5883,4380,2070,832,39361,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,7,5,33,18,9,8,0,0,74,0,0,0,4,5,3,9,0,0,24
SOSR122,0,0,0,0,0,0,0,0,0,7,0,0,3,3,3,7,0,0,0,13,0,0,0,3,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,3,12,9,14,16,3,3,57,0,0,0,4,4,0,0,0,0,7,0,0,0,0,4,3,18,3,0,33,0,0,0,4,8,3,0,0,0,19,0,6,8,33,42,50,47,33,3,232,79,214,217,503,375,486,446,222,65,2596,1422,3483,2828,5207,3795,4555,3789,1746,439,27253,0,0,0,0,0,0,0,0,0,0,1254,3028,2345,4477,3055,3372,2487,1174,454,21643,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,11,3,0,0,46,0,0,0,3,4,3,0,0,0,7
SOSR131,0,0,0,3,16,44,41,34,4,142,0,9,6,32,18,24,12,7,0,104,0,3,10,34,13,9,8,3,0,83,8,22,22,47,8,7,4,0,0,110,0,0,0,5,18,24,8,0,0,59,0,0,6,10,12,8,3,5,3,53,15,75,64,159,130,159,164,37,13,827,3,9,11,66,27,29,9,0,0,154,0,4,0,31,47,49,78,28,3,240,0,3,12,38,29,29,26,3,0,147,11,83,92,448,457,549,626,339,71,2661,1040,2786,2708,5468,4689,5196,4184,1843,463,28373,14561,38497,32338,54806,43405,47179,36434,14394,3412,285013,0,0,0,0,0,0,0,0,0,0,12355,32958,25232,45054,33308,32839,21580,8190,2811,214320,0,0,3,9,8,0,0,0,0,18,0,0,0,14,8,12,10,0,0,49,0,0,0,23,4,13,3,0,0,42,4,9,25,126,92,97,44,9,8,422,0,0,0,24,30,26,22,0,0,105
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,11,10,7,12,27,25,22,48,16,3,171,0,0,0,0,0,0,0,0,0,0,3,11,8,24,12,21,22,15,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
