SOSR_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOSR101,507,4754,91,5349,116466,9835,131656,2587,4025,115,6723,138600,12455,157780,62532,7153,915,70595,254630,30423,355650,147363,4742,2422,154520,137583,22841,314947,87329,5154,1535,94019,160975,18711,273705,17087,15656,403,33146,173841,14856,221844,3142,24307,208,27659,113399,11862,152924,586,6889,50,7522,63189,7953,78665,111,486,9,605,25487,4121,30209,321234,73166,5742,400142,1184177,133060,1717381,854,7834,105,8792,107496,8580,124874,7302,7749,298,15349,128231,11041,154626,108228,12898,3024,124151,214447,26977,365579,182136,9046,6467,197644,102963,19322,319928,84872,14616,2939,102422,165676,16511,284607,9218,42994,740,52959,168628,14352,235941,2444,40473,342,43267,108562,12559,164386,632,7809,84,8522,76784,10360,95672,157,553,4,713,43951,8095,52767,395836,143979,14002,553822,1116741,127806,1798364,1363,12594,195,14145,223963,18411,256521,9888,11776,414,22075,266826,23500,312400,170752,20052,3942,194750,469081,57404,721227,329496,13782,8888,352165,240546,42168,634879,172198,19775,4475,196441,326647,35225,558311,26304,58649,1147,86104,342474,29205,457780,5594,64777,551,70921,221962,24424,317307,1212,14697,131,16043,139976,18316,174334,266,1038,14,1318
SOSR102,155,1453,23,1635,26962,2207,30797,1168,1136,43,2346,28503,1903,32756,16601,1831,450,18873,36925,3635,59439,31864,1323,1042,34228,21792,3402,59424,17910,2346,475,20740,38375,3921,63032,3079,6898,107,10090,45082,3872,59046,521,7522,36,8080,35920,4121,48128,110,1527,15,1650,22002,3483,27137,27,100,4,127,8342,2040,10512,71439,24139,2193,97770,263922,28578,390271,306,2464,30,2798,24582,2000,29387,2713,2203,148,5069,24508,1803,31383,25387,3243,1453,30082,27449,3158,60694,38669,2344,2305,43323,16413,2937,62664,16821,6249,850,23917,39074,3490,66486,1398,16058,143,17603,42972,3771,64346,346,11423,57,11823,36491,4568,52877,93,1888,6,1986,26831,4985,33803,33,144,0,176,13684,4163,18027,85760,46020,4994,136781,252008,30884,419667,462,3921,51,4436,51539,4210,60181,3886,3341,191,7414,53013,3708,64140,41982,5073,1905,48958,64381,6792,120129,70535,3669,3351,77550,38201,6333,122090,34734,8598,1323,44656,77451,7414,129517,4481,22957,249,27689,88058,7645,123390,866,18942,94,19903,72410,8687,101006,202,3418,25,3639,48833,8469,60940,61,243,6,304
SOSR111,24,202,4,230,3444,342,4014,257,153,6,412,3258,295,3965,2859,273,106,3236,4481,553,8270,4227,198,136,4571,2766,541,7874,2086,335,65,2488,4661,524,7666,320,815,15,1148,5425,524,7104,52,750,3,802,4078,473,5356,11,138,0,148,2153,388,2689,0,6,0,5,732,180,918,9848,2869,344,13055,30992,3820,47859,72,382,4,460,3161,278,3902,535,338,24,897,3089,269,4254,4140,455,282,4882,3418,532,8825,4974,327,296,5596,2117,454,8168,1901,893,84,2875,4884,471,8236,158,1939,15,2109,5068,489,7675,33,1174,11,1215,4174,555,5951,10,169,0,184,2780,572,3537,3,11,0,17,1363,323,1705,11827,5689,722,18243,30067,3946,52252,93,589,5,688,6608,618,7913,797,486,30,1316,6343,563,8223,7000,729,392,8121,7891,1088,17097,9205,526,432,10162,4880,999,16041,3982,1225,149,5366,9551,994,15905,481,2750,32,3266,10494,1014,14772,83,1927,12,2021,8254,1031,11310,22,310,3,336,4932,959,6229,4,21,0,22
SOSR112,82,684,10,773,12232,1467,14476,919,608,22,1547,11197,1648,14398,8347,885,250,9486,14644,3131,27256,12451,604,421,13479,9711,2531,25730,7019,1120,219,8353,16131,2351,26836,1399,2578,52,4031,20641,2293,26964,212,2418,14,2645,17641,2259,22555,29,537,7,573,10375,1693,12641,17,33,0,52,3693,850,4593,30479,9467,998,40945,116275,18237,175452,254,1352,24,1630,11412,1306,14349,2007,1160,122,3287,9923,1161,14364,12677,1481,842,15004,11400,1934,28340,15686,1071,917,17685,7732,1601,27017,6982,2788,361,10139,17354,1985,29475,673,6142,69,6882,21026,2164,30073,163,4039,18,4221,18649,2451,25319,63,703,5,763,13186,2564,16518,17,69,0,78,6827,1714,8620,38529,18807,2355,59687,117503,16881,194076,339,2036,31,2402,23648,2774,28829,2924,1764,145,4836,21123,2812,28762,21028,2373,1092,24493,26040,5065,55597,28140,1681,1342,31166,17445,4135,52744,14005,3909,583,18493,33485,4336,56316,2071,8720,122,10912,41670,4465,57040,384,6457,30,6868,36291,4709,47872,90,1236,10,1342,23561,4259,29158,29,95,0,129
SOSR113,59,426,9,489,6974,875,8341,553,298,15,864,5788,736,7388,4942,519,153,5610,7859,1551,15015,7123,374,208,7706,5675,1304,14687,3889,788,105,4781,10548,1499,16828,762,1791,32,2583,13993,1557,18137,142,1624,6,1767,13541,1721,17031,29,335,3,369,8136,1459,9962,9,12,0,19,2868,779,3665,17497,6172,525,24190,75383,11487,111059,150,707,8,872,5991,746,7610,1317,586,57,1970,4720,567,7253,7349,816,451,8614,5557,1110,15284,8886,643,493,10024,4387,1061,15479,3694,1928,211,5834,10615,1238,17687,349,4059,26,4431,13822,1548,19800,102,2507,10,2620,13912,1903,18432,39,403,4,446,9546,2064,12055,11,30,0,43,4894,1487,6431,21904,11696,1259,34858,73449,11721,120026,208,1132,20,1358,12973,1626,15950,1873,891,76,2830,10507,1303,14638,12291,1341,600,14227,13414,2661,30304,16011,1020,704,17738,10065,2363,30165,7580,2723,314,10615,21168,2731,34512,1109,5851,57,7018,27815,3102,37936,240,4127,23,4390,27452,3629,35465,63,736,7,813,17685,3527,22019,22,44,0,66
SOSR114,61,286,0,352,5681,964,6990,449,252,12,717,4582,557,5854,3928,414,107,4447,6153,1136,11739,6238,333,197,6769,4634,1184,12592,3367,644,100,4112,8579,1311,14002,620,1378,19,2014,11924,1399,15340,120,1333,11,1460,11399,1641,14500,29,288,0,320,6815,1391,8527,3,21,0,30,2250,652,2938,14818,4959,450,20226,62020,10238,92481,153,577,9,732,5163,852,6753,1047,443,45,1537,3746,522,5808,6103,660,420,7184,4532,994,12706,7748,573,443,8769,3791,975,13529,3299,1554,159,5012,8947,1248,15202,307,3175,33,3514,11660,1384,16562,98,2120,7,2230,11555,1709,15500,32,339,0,372,7981,1886,10240,15,34,0,47,3963,1236,5243,18797,9490,1118,29406,61335,10801,101541,213,863,8,1080,10844,1815,13744,1499,704,54,2253,8328,1076,11658,10030,1071,530,11634,10681,2123,24441,13985,915,641,15539,8419,2158,26122,6664,2200,256,9124,17526,2561,29205,927,4557,53,5532,23583,2787,31907,223,3458,20,3693,22957,3349,29996,60,629,3,695,14799,3276,18767,17,59,0,80
SOSR115,68,461,5,535,8293,1408,10232,584,349,26,952,6825,836,8614,6019,562,160,6743,9020,1729,17493,9471,489,319,10286,6657,1772,18709,5250,903,180,6334,13210,2018,21565,1066,2122,34,3218,19085,2335,24631,184,1974,7,2160,18172,2539,22871,31,378,3,412,9791,1927,12132,18,20,0,39,3291,884,4215,22691,7265,736,30684,94337,15440,140464,166,820,8,996,7642,1220,9856,1357,644,50,2049,5531,638,8219,9228,924,563,10717,6384,1380,18481,11744,752,756,13254,5325,1476,20054,5116,2350,266,7730,13747,1797,23281,478,4885,37,5396,18454,2042,25886,143,3102,24,3270,17644,2492,23402,35,455,4,501,11093,2429,14020,33,49,3,83,5583,1566,7225,28304,13983,1706,43997,91407,15033,150430,237,1288,15,1532,15929,2622,20085,1943,992,74,3004,12352,1472,16834,15248,1490,722,17462,15405,3109,35972,21215,1246,1077,23541,11986,3248,38766,10374,3254,440,14069,26962,3817,44847,1542,7005,69,8613,37534,4372,50519,326,5074,29,5432,35814,5029,46275,65,836,6,908,20880,4359,26147,52,68,3,122
SOSR121,13,128,0,142,2376,380,2900,143,94,6,238,1797,187,2213,1453,151,36,1642,2040,351,4035,2719,119,92,2926,1742,374,5045,1723,283,48,2052,3912,475,6440,319,647,15,986,5681,593,7260,50,577,4,636,4879,615,6124,12,95,0,111,2303,420,2833,7,3,0,14,667,133,815,6432,2103,209,8743,25401,3522,37665,38,257,0,297,2209,317,2816,340,183,10,537,1352,172,2055,2211,242,129,2572,1488,336,4399,3340,198,199,3743,1446,368,5554,1577,654,76,2308,4010,469,6787,159,1431,20,1608,5278,563,7450,34,892,6,932,4450,559,5947,8,106,0,117,2284,429,2833,3,11,0,17,926,175,1114,7709,3977,442,12124,23445,3389,38963,51,385,3,437,4586,699,5717,480,276,14,774,3146,351,4275,3660,391,166,4219,3536,687,8442,6056,315,291,6665,3187,744,10602,3296,941,121,4360,7920,943,13224,480,2082,33,2596,10957,1156,14709,84,1466,12,1563,9334,1172,12074,21,202,0,229,4585,849,5664,7,14,0,26
SOSR122,16,68,0,78,1336,254,1671,76,44,0,123,933,108,1163,747,78,24,848,1208,257,2311,1428,80,52,1553,1066,275,2894,861,150,29,1036,2424,336,3795,192,379,10,585,3535,436,4555,40,313,0,353,2994,441,3789,0,59,3,58,1400,283,1746,5,3,0,5,348,85,439,3364,1163,113,4642,15236,2471,22356,23,115,0,147,1148,228,1523,182,79,9,273,728,74,1082,1157,128,80,1363,826,217,2407,1788,119,103,2012,821,244,3082,838,387,38,1263,2336,316,3916,60,841,6,906,3130,394,4430,11,442,3,460,2611,385,3456,3,63,0,71,1245,286,1595,3,6,0,10,462,139,604,4070,2189,241,6504,13297,2287,22088,42,186,0,227,2486,482,3192,261,119,11,394,1665,178,2238,1902,199,106,2214,2033,471,4713,3217,197,152,3564,1891,517,5975,1702,533,66,2299,4757,656,7709,252,1220,18,1487,6656,832,8979,50,754,7,806,5599,829,7240,6,127,3,131,2647,567,3341,5,13,0,14
SOSR131,113,724,9,841,15132,2757,18729,544,474,14,1037,10889,1676,13601,7229,690,159,8077,12556,3083,23718,16398,668,449,17514,10109,3467,31084,11740,1515,298,13553,25316,4529,43405,2404,4047,72,6523,35805,4853,47179,384,3672,20,4072,28111,4248,36434,69,626,3,696,11450,2244,14394,29,41,0,68,2712,633,3412,38913,12449,1030,52390,152078,27485,231960,190,1280,16,1484,13102,2433,17018,1258,866,46,2177,8269,1085,11532,10946,1105,556,12609,8403,2130,23136,20089,1066,953,22116,7566,2812,32498,10514,3799,459,14775,24589,3804,43171,926,8834,85,9847,29753,4166,43769,228,5434,20,5679,21561,3508,30752,63,721,0,790,9107,1886,11785,42,66,3,113,3058,790,3961,44267,23182,2144,69594,125409,22621,217622,300,2005,22,2323,28230,5192,35753,1811,1341,69,3219,19154,2761,25135,18170,1802,718,20689,20962,5214,46857,36489,1739,1405,39631,17677,6277,63585,22258,5317,759,28329,49907,8333,86576,3333,12875,160,16372,65556,9026,90948,613,9105,35,9750,49672,7752,67180,135,1348,4,1491,20561,4135,26179,75,98,3,183
