SOSR_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR101,1042582,1091664,2134247,111875,114492,226368,460187,470700,930893,10465,10246,20713,13092,13381,26468,3502,3498,7001,4633,4394,9027,983,1022,2009,1067,938,2007,3819,3878,7694,60,33,89,497809,508101,1005905,191410,200110,391518,11000,9832,20828,812090,832526,1644618,132495,129325,261818,1987176,2053517,4040689
SOSR102,253254,265782,519034,32332,34209,66539,108527,117847,226371,2087,2270,4353,6720,7102,13818,689,732,1427,1126,1176,2303,419,459,874,571,574,1146,2060,2137,4196,24,20,52,122221,132320,254536,13252,13286,26539,2815,2773,5586,170618,182588,353209,27742,29493,57233,451614,477863,929477
SOSR111,29930,31163,61089,5451,6024,11479,12988,14437,27424,1619,1802,3421,767,849,1615,133,134,266,172,155,329,73,82,153,116,113,229,116,147,262,0,0,0,15986,17723,33706,935,1215,2155,377,371,752,22751,25342,48087,3887,3978,7868,56564,60483,117049
SOSR112,102346,110907,213250,24008,26884,50891,45668,51551,97221,1658,1845,3507,3533,3801,7333,489,531,1018,671,782,1448,290,326,616,331,376,707,772,827,1601,14,7,25,53430,60047,113470,5185,5679,10862,1410,1344,2746,84026,93949,177974,18778,17530,36306,205149,222384,427533
SOSR113,68843,72410,141253,17908,19939,37851,21858,23669,45531,1463,1515,2974,2106,2231,4342,399,403,801,407,405,809,156,176,331,211,213,423,515,532,1053,7,9,13,27122,29153,56278,2013,2230,4242,862,904,1762,47899,52228,100132,11503,11625,23130,128249,136265,264509
SOSR114,57944,61536,119479,14961,16760,31717,15993,17802,33792,1411,1585,3002,2802,3021,5817,244,257,506,396,428,822,147,159,311,194,221,413,571,659,1230,5,3,11,21768,24127,45899,1782,1979,3765,681,624,1308,39190,43492,82686,10303,10844,21148,107443,115867,223313
SOSR115,89969,93227,183193,19362,21693,41056,28242,30858,59097,1932,2178,4112,2846,2963,5814,323,355,679,544,563,1112,208,240,451,279,298,572,1321,1427,2747,15,9,19,35713,38882,74595,2103,2354,4461,853,883,1734,58031,63817,121847,15245,15045,30287,163246,172084,335328
SOSR121,25916,26068,51986,3909,4087,8000,8311,8878,17185,404,462,863,773,840,1614,63,63,127,149,143,291,39,51,89,84,88,169,226,229,458,6,4,8,10062,10752,20816,436,526,965,304,273,574,14707,15643,30355,3475,3468,6942,44092,45182,89279
SOSR122,15590,15040,30623,1921,1959,3884,4494,4603,9095,193,211,411,479,503,980,59,58,114,87,80,162,27,25,45,38,46,80,186,193,374,0,3,3,5559,5714,11265,224,265,492,128,132,255,7830,8066,15896,2418,2312,4728,25835,25410,51247
SOSR131,165818,153730,319547,17458,16984,34445,45320,45431,90751,2113,2119,4235,4456,4354,8810,431,422,855,753,681,1426,242,198,440,441,383,828,1953,1973,3920,4,4,13,55712,55564,111279,2412,2776,5190,1179,1090,2270,76765,76410,153176,27868,23728,51596,270453,253871,524323
