SOSR_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR101,191,2852,65,39493,1064,172,126,420,187,685,72,400,177,2047,18542,23878,444,100,198,172,77,173,38,150,95,2202,1844,5499,101918,15191,2512,42126,4765,40686,1928,23244,3343,108580,21917,366202
SOSR102,32,421,12,3996,185,33,17,135,24,183,23,108,32,937,4637,6313,74,25,32,56,15,38,12,37,38,986,696,2012,17378,3622,582,11663,1138,8665,619,6874,1055,42500,5973,100069
SOSR111,0,37,0,381,30,7,4,14,9,18,4,15,9,87,588,776,16,9,4,12,0,3,0,10,4,130,92,279,2469,471,78,1773,172,1193,77,849,138,4549,737,12514
SOSR112,10,233,5,1705,99,23,12,74,15,92,19,50,21,402,2203,3009,46,11,23,25,9,29,3,20,18,469,281,929,8416,1976,284,6092,526,3982,297,3459,465,18457,2747,46702
SOSR113,7,128,8,851,49,8,3,28,13,55,3,40,18,368,1355,1938,20,12,21,22,5,15,0,30,8,493,240,868,4175,1220,203,3402,295,2362,226,2270,358,15508,1850,31863
SOSR114,13,108,7,713,41,15,6,52,6,66,5,52,10,331,1254,1839,22,9,14,25,3,15,0,19,14,365,237,726,3946,1102,179,3029,321,2015,189,1946,303,12403,1694,27126
SOSR115,15,129,4,1045,72,24,6,49,20,90,13,66,24,419,1895,2678,51,10,24,29,4,28,9,26,10,552,374,1116,5817,1669,308,4713,432,3232,303,2930,492,18611,2604,41098
SOSR121,4,33,0,320,19,7,6,21,0,25,3,13,10,114,500,721,12,0,3,11,3,4,3,13,6,131,81,270,1525,532,82,1322,124,948,71,883,151,4899,676,11212
SOSR122,3,17,0,184,7,4,0,6,0,21,0,13,6,67,336,471,18,3,4,3,0,3,0,7,5,77,46,163,886,330,70,739,89,559,55,520,91,2728,440,6501
SOSR131,24,331,12,3526,174,57,18,144,41,192,23,117,44,489,3371,4675,204,53,73,102,28,63,16,50,36,585,387,1607,12992,4010,745,9703,926,6082,627,4990,911,20970,4284,66237
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
