SOSR_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,2782,7216,17789,16072,14653,9716,2648,303,34,71219,3850,10783,28036,23747,21611,13442,3878,789,209,106342,82091,194256,531171,480629,414102,269934,68146,7558,1020,2048906
SOSR102,897,2093,4001,3697,3629,2425,599,72,12,17420,901,1785,3224,3301,3594,2459,705,214,52,16239,25731,43146,89936,93558,96640,67648,13204,1357,175,431399
SOSR111,115,293,647,505,466,328,75,15,3,2448,127,241,443,397,425,299,100,20,14,2068,3556,5577,12721,12038,11762,8351,1658,142,27,55831
SOSR112,369,907,1729,1512,1503,1133,385,45,3,7598,457,653,1317,1254,1342,1029,374,118,28,6585,12036,17974,39349,38555,40961,32191,7758,954,116,189897
SOSR113,239,535,954,959,950,678,188,25,3,4523,247,450,727,751,861,715,253,80,40,4125,6529,9218,20457,20985,23594,18857,4209,503,106,104451
SOSR114,212,497,821,751,767,604,195,25,4,3878,258,365,686,763,746,663,239,84,32,3838,5691,7755,17084,18929,20660,16859,4089,539,95,91699
SOSR115,329,627,1143,1153,1119,889,268,36,9,5582,367,527,1010,1128,1270,1061,369,116,43,5899,8121,11336,25440,28314,32130,26652,6430,815,166,139406
SOSR121,94,149,299,298,386,236,89,5,3,1568,102,134,249,287,392,307,97,28,12,1613,2317,2804,5932,7896,9662,7841,1788,245,40,38532
SOSR122,50,87,155,132,191,161,35,3,0,815,60,56,126,177,205,194,65,25,5,904,1251,1459,3137,4274,5374,4542,1147,157,21,21364
SOSR131,676,1013,1482,1812,2203,1596,463,57,8,9314,772,860,1321,1924,2700,2103,1057,419,76,11236,14631,17362,33132,47544,64534,54217,19128,4188,665,255400
SOSR179,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
SOSR199,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
