SOSR_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SOSR101,1281,5139,4849,3932,6862,6544,1827,2609,8403,41437,35652,127148,135598,123065,192293,176058,68457,85577,16843,960684,152,715,713,781,1082,1177,507,1009,116,6247,143,124,155,151,531,804,374,1049,25,3353,2325,5776,6976,6676,32541,28409,13997,18928,1003,116636,374,349,533,622,3976,4574,1831,2806,133,15200,3175,8291,10960,11480,21466,46403,18874,35630,2353,158642,1495,3240,4383,4445,18561,21119,9079,12727,495,75539,5143,34851,28502,22791,34798,27743,12950,19645,2241,188669,3415,31736,27892,15658,18139,15018,8120,14590,1927,136503,3175,5626,7601,9661,22031,23755,11651,20130,1488,105115,1503,3208,3177,3357,12756,17051,7180,11049,392,59678,4596,3946,7007,9012,29339,40955,15968,26303,966,138091,893,3034,3178,2982,6618,10253,4547,8322,325,40148,4922,14069,15592,15165,33771,60159,23670,42627,1355,211324,1848,9276,11190,8454,14112,14591,5573,7896,888,73830,4951,4401,6585,7440,34987,24417,14236,12821,971,110808,5441,26620,20031,18837,29360,27244,13204,21924,1452,164124,8518,23024,35487,35144,48724,45016,14167,20765,2323,233170,1090,6801,4062,3937,4894,6120,2618,4350,392,34272
SOSR102,234,946,694,657,801,630,167,301,1341,5779,9511,34861,34102,35493,39503,28001,11608,13417,3144,209649,71,208,205,251,303,293,142,262,29,1766,308,102,135,177,1367,1263,1197,1895,63,6512,614,1238,1247,1580,6296,5871,3916,4217,187,25173,179,110,202,284,1515,1395,591,836,40,5160,1034,2111,2420,3279,6427,12908,4731,8845,484,42246,228,507,594,642,2088,2161,1171,1751,63,9209,1635,10304,6981,6582,7925,4842,2814,3796,478,45370,1090,11230,5280,4883,3716,2725,1575,2660,439,33588,762,1233,1265,1635,3048,3131,2121,3852,228,17269,175,528,413,430,1361,1366,634,872,38,5818,666,619,1327,1460,3888,3144,1302,1593,94,14090,188,642,596,608,1381,1410,707,1266,47,6844,689,2362,2315,2437,4303,5315,2462,4078,147,24112,503,2787,1983,2061,2765,2418,819,1155,172,14669,1690,1401,2184,2676,10411,6358,4143,3076,251,32187,1517,5745,4872,5245,7158,6025,3146,5160,294,39166,3313,6125,11572,13518,13165,11610,3743,4817,622,68491,221,1682,761,766,844,764,339,614,62,6051
SOSR111,21,132,77,73,95,70,18,38,168,698,1254,4449,4309,4649,5170,3413,1630,1755,407,27029,18,50,54,64,117,109,69,100,8,588,84,37,57,69,333,392,515,853,27,2366,136,228,233,282,1119,1162,795,722,34,4710,16,15,22,31,195,179,78,101,4,652,116,250,235,337,832,1410,624,1071,47,4924,29,69,68,73,259,270,188,253,11,1207,253,1398,935,950,1110,648,470,474,51,6293,129,1478,666,580,458,360,229,416,58,4371,101,184,188,258,441,432,296,645,33,2579,11,47,42,51,135,111,63,56,9,514,46,73,134,122,344,240,123,128,4,1210,24,64,69,68,170,132,86,145,6,770,71,234,203,297,473,488,255,374,15,2410,58,335,257,283,355,285,111,175,25,1886,185,190,263,352,1243,722,467,339,25,3796,201,567,578,663,759,661,399,692,45,4563,408,687,1370,1616,1591,1265,435,496,77,7954,18,159,60,84,66,59,34,44,7,530
SOSR112,97,389,248,256,283,200,85,141,609,2315,4063,15298,13642,15996,19088,12086,5551,6830,1490,94056,107,380,346,372,641,601,285,588,44,3365,128,46,39,50,285,336,513,1148,35,2584,243,662,555,822,2714,2749,1376,1799,117,11019,76,46,76,146,743,662,277,324,21,2366,359,793,782,1136,2590,4064,1966,3334,192,15207,95,246,212,260,812,869,639,773,35,3944,834,4794,2919,3314,4388,2305,1617,2064,282,22513,493,5016,2339,2459,2101,1385,914,1760,279,16751,244,564,591,739,1172,1070,795,1852,116,7139,70,218,157,141,535,392,210,315,9,2052,166,171,296,395,848,786,372,538,21,3589,69,227,221,240,634,471,300,548,12,2734,233,920,777,974,1706,1480,711,1417,57,8285,197,1259,886,974,1226,925,353,530,89,6444,697,548,845,1042,4945,2692,1770,1382,94,14016,708,2237,2151,2609,3904,2942,1716,2858,171,19293,1508,2742,4610,6219,6993,5457,1737,2419,256,31946,96,632,284,324,391,282,165,267,31,2465
SOSR113,71,264,168,172,177,133,45,59,411,1496,2347,8750,8008,9106,9406,5885,2608,3292,917,50321,85,184,202,233,352,342,190,445,28,2065,248,64,128,190,650,765,1234,2053,75,5409,216,427,395,509,1842,1534,894,913,80,6817,50,33,49,98,674,370,204,223,9,1702,231,548,606,752,1437,2421,929,1699,138,8768,45,127,102,150,406,412,299,416,12,1962,539,2677,1903,1986,2394,1204,810,1044,138,12692,349,2994,1378,1456,1245,740,459,964,150,9734,171,355,394,422,649,601,388,972,55,4015,28,94,47,79,250,160,65,86,10,821,85,120,191,197,460,324,145,172,18,1708,48,166,146,156,354,268,144,256,14,1549,90,449,395,461,700,654,301,565,22,3640,145,879,552,625,644,498,165,326,65,3904,355,305,464,523,2357,1160,862,573,62,6666,356,1023,1047,1349,1379,1141,652,1103,74,8131,736,1365,2536,3287,2970,2266,710,1012,168,15045,61,312,128,145,196,146,61,115,24,1183
SOSR114,78,236,153,184,162,137,48,81,431,1500,2128,7406,6830,8169,8153,5186,2516,3271,931,44582,134,281,242,330,496,662,318,770,53,3279,82,30,34,44,147,171,367,736,36,1641,184,365,401,745,1689,1558,857,1007,94,6903,51,18,38,75,408,339,155,162,17,1255,245,473,459,719,1243,2227,857,1667,102,7988,47,129,112,179,399,479,260,401,8,2009,413,2107,1427,1587,1934,1064,774,984,124,10415,295,2432,1336,1293,967,692,383,1003,140,8553,163,358,373,397,585,584,377,981,47,3863,28,67,59,68,181,132,67,101,3,710,83,96,163,238,392,304,118,179,14,1585,43,133,130,156,301,231,125,253,17,1389,110,453,406,486,793,684,339,577,38,3890,110,687,431,467,480,456,145,245,65,3078,349,224,320,431,2313,1072,769,544,65,6095,313,977,957,1227,1319,1156,697,1147,74,7863,632,1192,2103,2811,2399,1743,606,782,149,12407,63,228,114,141,182,122,55,122,13,1041
SOSR115,117,364,242,245,260,212,52,112,569,2176,3170,11344,10438,12020,12034,8161,3667,5149,1304,67286,224,542,530,691,952,1085,526,1451,118,6121,189,72,76,126,350,444,671,1396,54,3374,293,508,471,682,2197,1912,1169,1403,100,8736,66,49,60,112,590,482,219,245,27,1856,419,818,860,1141,1979,3537,1528,3051,243,13571,62,210,202,214,570,669,398,544,28,2896,508,3192,2142,2280,2429,1487,981,1402,186,14605,394,3331,1611,1623,1206,895,554,1440,185,11234,275,494,550,619,866,939,573,1550,102,5967,47,145,123,118,271,233,136,174,11,1255,107,145,220,299,515,412,146,206,18,2073,60,173,172,192,350,368,203,317,16,1857,171,703,592,705,957,967,452,845,47,5436,183,1066,676,687,717,636,264,415,67,4714,594,433,644,793,3827,2055,1504,1046,117,11003,525,1512,1578,2056,2203,1834,1072,1846,123,12752,977,1826,3094,4062,3626,2654,845,1263,208,18544,76,415,216,277,317,254,132,215,29,1926
SOSR121,33,103,70,73,76,57,25,33,147,621,872,3214,2993,3318,3130,2249,976,1464,341,18558,70,163,143,168,183,283,126,391,23,1550,27,19,19,28,102,130,162,354,10,845,74,155,132,180,555,522,334,399,19,2376,16,18,18,23,149,137,79,61,9,507,121,276,274,332,581,1033,400,837,57,3899,12,48,49,72,152,166,101,152,13,766,146,856,548,596,640,401,258,463,51,3961,122,961,453,462,343,236,140,371,48,3128,76,198,163,186,233,315,150,487,29,1852,10,40,24,38,73,66,39,48,3,342,29,47,74,101,155,116,59,72,8,662,10,56,52,69,98,89,46,99,6,524,56,240,199,242,263,282,134,279,19,1711,44,266,176,180,206,167,62,120,12,1236,164,110,170,233,938,445,318,214,31,2617,144,436,474,586,587,543,296,531,35,3628,283,497,941,1102,940,785,252,387,56,5232,19,106,52,67,84,74,48,59,6,507
SOSR122,15,50,34,35,25,17,9,20,101,310,498,1856,1548,1740,1651,1166,561,873,209,10101,54,102,72,100,139,232,94,294,16,1112,26,3,7,10,54,43,87,130,8,360,33,96,67,113,332,262,170,209,17,1292,20,10,11,29,95,67,42,56,5,333,73,157,169,186,321,532,196,435,43,2118,12,30,38,40,76,80,42,89,0,409,69,433,295,288,339,212,156,243,27,2049,82,587,258,273,186,143,108,316,40,1996,42,119,109,80,154,140,86,268,17,1020,5,19,9,19,46,36,19,30,0,178,15,20,31,35,61,59,21,38,0,284,9,35,24,27,60,43,21,45,3,260,21,123,107,110,146,150,83,136,7,884,32,196,116,112,103,94,25,55,17,741,92,75,93,121,559,286,193,141,18,1583,92,274,235,311,321,270,156,287,8,1959,144,271,487,599,463,411,117,191,22,2704,19,76,39,57,63,44,25,41,3,367
SOSR131,251,682,473,454,422,521,132,370,1101,4411,5277,19766,18259,19325,17559,15322,6396,13173,2591,117653,1303,3808,3187,3900,3069,6984,3254,19951,931,46389,277,101,137,196,502,704,1075,2148,96,5246,388,945,945,1128,2746,2872,1628,2671,164,13491,110,81,124,159,812,723,288,491,26,2814,748,1708,1750,2064,3107,6355,2422,6200,393,24732,148,412,419,509,923,1170,657,1413,56,5705,706,4348,2867,2804,2811,2117,1231,2444,266,19583,463,4367,1831,1750,1142,1025,573,1581,233,12958,372,884,959,934,1145,1601,810,2844,206,9759,67,226,169,218,387,350,197,332,16,1973,197,288,399,478,693,813,323,639,44,3867,110,387,310,331,531,716,310,782,36,3529,399,1509,1384,1624,1761,2111,983,2260,131,12155,258,1461,1022,948,920,988,333,764,120,6823,829,587,915,1138,4885,2755,1841,2063,169,15184,895,2999,2847,3190,3220,3009,1539,2993,208,20900,1445,2693,4891,5464,4489,3824,1263,2043,293,26409,137,685,357,384,509,466,193,544,52,3330
