SOSR_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOSR101,7198,2162,20585,9099,7319,5593,2887,4234,711,59785,201,194,305,313,231,250,227,471,93,2294,3308,5291,1833,1954,3236,1634,1532,1275,726,20795,2988,3780,3928,2886,3630,2596,2673,3342,5917,31741,226210,509466,170711,127366,196168,91249,50273,61916,25236,1458609
SOSR102,1592,488,6066,2660,1858,1647,722,1396,159,16589,17,37,26,43,37,35,21,58,9,296,430,636,403,356,458,166,319,235,132,3135,504,642,1200,862,779,701,640,1067,1034,7428,33619,83246,50595,36292,36709,16642,11944,15755,4200,288989
SOSR111,220,45,872,397,211,276,149,246,18,2420,4,14,3,5,13,9,7,14,3,58,51,52,66,37,44,24,60,29,16,389,64,53,161,101,63,79,106,141,120,890,3859,8936,7302,4588,4479,2145,2219,2146,484,36150
SOSR112,870,195,3043,1340,775,813,332,910,56,8331,16,26,8,29,15,30,19,54,3,184,189,250,156,178,181,104,130,123,48,1360,264,300,499,431,337,405,296,694,419,3640,14177,35103,21155,17362,15202,8068,4961,8501,1571,126111
SOSR113,398,116,1682,817,385,481,265,474,41,4650,5,7,10,13,10,13,8,29,3,105,94,94,108,76,81,38,108,83,33,719,170,138,349,274,184,278,253,399,273,2324,6935,14675,13160,9232,7333,4251,4076,4829,973,65464
SOSR114,425,102,1479,677,350,372,162,488,42,4101,7,9,7,11,6,9,10,24,6,89,88,111,96,90,68,33,71,76,22,653,207,162,382,301,198,288,260,431,256,2501,6798,13714,11048,7985,6481,3696,2967,4682,929,58290
SOSR115,576,121,2072,924,538,542,329,674,61,5835,18,13,9,13,9,13,13,38,3,133,148,173,115,121,128,51,110,104,50,1003,327,246,587,430,321,305,419,627,331,3599,10393,20654,17378,12171,9852,5023,5057,6773,1304,88613
SOSR121,148,31,590,243,136,149,89,158,18,1567,0,3,3,0,6,4,3,0,0,23,39,57,38,22,41,8,38,24,11,280,83,78,173,108,101,87,109,158,105,1004,3121,6008,5050,3227,2940,1383,1408,1723,406,25271
SOSR122,102,22,286,137,98,44,46,102,11,853,0,0,0,4,0,3,3,9,3,19,32,24,18,12,21,5,13,24,6,159,65,47,87,61,55,52,50,96,56,572,1851,3061,2646,1717,1595,733,755,1157,231,13760
SOSR131,1136,186,2425,1084,966,675,463,841,95,7873,55,31,12,21,22,11,15,29,9,206,443,325,219,173,232,79,188,176,86,1913,1441,500,967,551,646,519,648,944,623,6834,36595,36956,27621,15174,19003,7380,8368,11344,2725,165153
SOSR179,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
SOSR199,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
