SOSR_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
SOSR101,908,121,0,1029,932,271,20,37,1267,177,82,254,1522,217,0,1744,31013,4509,534,609,36659,917,285,1209,37863,2628,52,40547,7792,1887,173,312,10165,385,163,547,10707,3630,27,14364,30,5,0,42,81,0,0,0,80,22,106,200,38833,6401,703,964,46899,1301,448,1753,48652,6280,184,55110,8462,933,88,72,9553,224,56,279,9832,876,3,10712,5794,1308,92,60,7256,154,55,208,7466,680,5,8147,198,44,104,4,350,4,3,9,354,32,0,390,107,15,3,168,291,0,3,3,295,34,10,337,14558,2300,285,308,17445,379,119,496,17947,1609,23,19578,169,47,4,3,228,61,9,69,298,50,0,347,240,90,5,3,341,37,36,75,410,64,0,482,409,144,6,10,569,102,41,143,705,113,3,826,14962,2440,297,312,18012,480,158,643,18657,1729,26,20403,3763,1011,104,148,5027,182,90,281,5301,2449,20,7766,22,3,0,22,48,3,0,3,50,6,56,116,18743,3457,404,485
SOSR102,82,8,0,93,116,14,0,0,141,14,5,22,157,14,0,177,4983,642,118,62,5807,124,31,158,5966,409,4,6386,792,105,16,18,930,22,8,34,963,287,3,1252,3,0,0,0,4,0,0,0,4,0,6,16,5781,748,137,79,6745,150,40,188,6938,697,17,7654,1025,122,20,4,1172,23,8,32,1201,125,0,1330,1026,164,16,11,1218,21,7,33,1248,121,3,1376,30,8,19,0,54,0,0,0,54,3,0,63,4,0,0,4,15,0,0,0,16,4,0,18,2084,297,57,20,2453,48,18,66,2521,262,3,2788,14,3,0,0,19,3,0,3,18,8,0,28,25,4,0,0,34,0,0,0,37,3,0,43,40,3,0,0,47,3,0,3,52,12,0,63,2125,297,60,20,2504,52,18,69,2571,270,8,2853,354,56,18,6,433,14,6,18,450,190,0,642,3,0,0,0,3,0,0,0,3,4,0,6,2474,356,78,35
SOSR111,15,3,0,12,17,4,0,0,20,7,3,3,26,3,0,26,544,57,4,3,614,16,4,17,631,25,0,660,60,14,3,0,76,3,3,5,81,33,0,115,0,0,0,0,0,0,0,0,0,0,0,0,604,75,8,8,689,13,6,21,716,57,0,777,96,3,0,0,95,5,3,5,103,11,0,116,83,12,0,0,96,0,0,0,101,8,0,105,3,0,4,0,7,0,0,0,7,0,0,7,0,0,0,0,3,0,0,0,3,0,0,3,179,10,6,0,201,5,3,8,208,16,0,230,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,6,0,0,6,7,0,0,0,7,0,0,0,9,0,0,9,187,10,6,0,210,5,3,10,215,16,0,239,30,6,0,0,41,0,0,0,42,13,0,56,0,0,0,0,0,0,0,0,0,0,0,0,218,20,11,0
SOSR112,12,3,0,21,25,7,0,0,25,9,0,9,35,3,0,41,1184,149,25,14,1371,21,8,30,1404,96,0,1500,161,32,0,10,201,11,0,16,213,75,0,285,0,0,0,0,3,0,0,0,3,0,4,3,1339,184,24,21,1572,35,11,47,1621,171,3,1796,180,21,4,0,205,4,0,3,214,21,0,231,130,18,4,0,156,3,0,3,155,16,0,173,5,3,6,0,10,0,0,0,10,0,0,10,4,0,0,4,6,0,0,0,6,0,0,4,319,42,12,3,375,3,3,9,386,34,0,418,7,0,0,0,7,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,7,0,0,9,326,42,12,3,389,9,3,6,397,34,0,434,40,6,0,0,50,3,0,3,53,45,0,97,0,0,0,0,0,0,0,0,0,0,0,0,374,52,11,3
SOSR113,13,0,0,15,18,3,0,0,19,5,0,9,32,3,0,29,638,99,27,15,777,20,9,33,803,47,0,852,106,24,3,0,138,6,0,6,149,58,0,211,4,3,0,0,6,0,0,0,6,0,3,11,747,127,30,20,918,30,9,35,955,114,3,1070,111,18,3,0,127,3,0,3,137,17,0,151,80,21,0,0,105,0,0,0,104,13,0,119,0,0,0,0,6,0,0,0,6,0,0,6,3,0,0,4,6,0,0,0,6,0,0,6,193,42,7,9,245,3,0,6,249,29,0,281,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,193,43,7,9,244,7,0,6,255,29,0,279,39,8,0,0,47,0,0,0,51,32,0,83,0,0,0,0,3,0,0,0,3,0,0,3,235,48,5,10
SOSR114,11,0,0,11,9,3,0,0,15,7,0,7,21,0,0,26,529,93,11,11,639,14,0,14,653,36,3,700,62,17,3,0,83,3,3,3,88,38,0,122,0,0,0,0,0,0,0,0,0,0,3,0,592,106,15,12,725,15,7,21,743,72,10,828,68,6,0,0,78,0,0,0,81,3,0,83,59,7,3,0,69,0,0,0,69,12,0,82,0,4,0,0,4,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,3,0,0,3,124,17,4,0,149,0,0,0,151,13,0,168,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,5,0,0,3,4,0,0,9,132,15,4,0,152,0,0,3,159,14,0,173,15,4,0,0,24,0,0,0,24,15,0,38,0,0,0,0,0,0,0,0,0,0,0,0,150,19,6,3
SOSR115,10,3,0,9,14,7,0,0,16,0,0,0,17,4,0,25,860,120,21,22,1021,12,3,18,1037,84,4,1123,128,23,5,3,155,3,0,6,167,65,0,230,0,0,0,0,3,0,0,0,3,0,0,5,985,146,23,24,1186,16,9,24,1207,149,4,1359,118,14,0,0,140,3,0,3,140,10,0,155,114,22,0,0,131,4,0,4,135,15,0,146,4,0,8,0,7,0,0,0,7,3,0,11,0,3,0,3,8,0,0,0,8,0,3,10,240,38,10,3,289,11,0,11,294,30,3,323,3,3,0,0,3,0,0,0,3,3,0,9,3,0,0,0,3,0,0,0,3,0,0,3,3,4,0,0,7,0,0,0,7,3,0,10,241,43,10,3,297,11,0,11,305,31,3,337,38,8,0,0,42,4,0,4,46,20,0,66,0,0,0,0,0,0,0,0,0,0,0,0,280,46,11,3
SOSR121,4,3,0,9,7,0,0,0,6,0,0,0,7,3,0,14,313,30,11,8,363,10,4,8,373,28,0,404,43,12,5,0,56,0,0,0,61,19,0,81,0,0,0,0,0,0,0,0,0,0,3,3,358,44,14,7,419,11,3,10,435,45,3,488,41,4,0,0,51,0,0,0,51,3,0,54,55,5,0,0,63,4,0,3,62,4,0,68,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,104,11,0,4,116,4,0,3,120,4,0,125,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,0,0,0,3,3,0,8,104,11,0,4,117,4,0,3,121,9,0,129,10,5,0,0,13,3,0,3,13,3,0,21,0,0,0,0,0,0,0,0,0,0,4,4,111,17,3,4
SOSR122,0,0,0,0,5,0,0,0,5,0,0,0,8,0,0,3,174,21,3,4,199,0,0,0,203,12,0,219,31,5,0,0,34,5,0,7,36,5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,201,25,3,4,232,3,0,8,241,23,0,263,31,3,0,0,33,0,0,0,35,3,0,38,19,0,0,0,21,0,0,0,21,0,0,25,0,0,4,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,3,3,0,63,0,0,0,60,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,3,0,60,0,0,0,62,3,0,68,7,0,0,0,9,0,0,0,9,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,57,6,3,0
SOSR131,27,4,0,31,32,10,0,0,35,3,0,3,41,8,0,47,2255,299,50,39,2642,33,5,40,2683,152,5,2840,335,54,16,7,409,8,3,5,422,102,4,522,10,3,0,3,10,0,0,0,10,0,3,18,2600,354,63,49,3068,39,12,48,3120,256,11,3385,404,40,14,3,465,8,0,8,472,20,0,496,342,65,4,5,419,4,0,5,426,24,0,451,14,3,6,0,18,0,0,0,18,0,0,18,4,0,0,9,21,0,0,0,21,5,0,18,763,112,27,21,923,11,0,13,935,49,0,986,5,0,0,0,9,0,0,0,6,3,0,12,3,4,0,0,8,0,0,0,8,0,0,12,14,3,0,0,15,0,0,0,13,3,0,17,776,115,27,21,939,11,0,13,953,54,0,1007,118,19,3,0,144,7,0,5,157,53,0,203,0,0,0,0,3,0,0,0,3,0,0,3,900,136,31,18
