SOSR_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
SOSR101,439,467,381,359,267,2373,110350,31817,4427,4674,1286,1320,1492,1522,1362,1171,3092,52175,895,58,39,13,10,5,8,15,10,88,1141,129665,10487,7369,1752,1775,1972,1913,1741,1439,5551,163660,161,12,9,5,0,4,0,3,3,254,449,189019,13534,8852,2033,2036,2188,2121,1948,1552,7233,230511,51351,808,667,128,121,89,109,107,62,1217,54662,62562,1303,1012,211,190,216,179,217,154,1539,67588,25492,2368,3193,781,750,830,792,752,513,1769,37246,703,26,16,0,11,3,4,5,3,95,867,88757,3698,4222,992,954,1047,979,974,678,3403,105697,147,4,6,3,0,0,0,0,0,174,341,140253,4511,4893,1121,1074,1137,1094,1085,742,4796,160695,23082,484,312,58,44,37,27,25,23,927,25026,29553,570,409,58,60,54,47,54,36,1101,31942,24053,1941,1544,253,267,251,203,206,138,1445,30307,464,24,10,3,3,0,4,0,3,104,607,54069,2532,1957,306,328,304,253,265,177,2658,62858,143,4,0,0,0,0
SOSR102,30,27,25,13,11,159,6567,912,116,112,18,44,42,33,29,51,77,1438,63,3,0,0,0,0,0,0,0,5,75,6863,367,264,48,73,69,58,47,62,240,8083,30,0,0,0,0,0,0,0,0,28,58,21990,898,585,92,139,119,91,83,72,719,24791,16301,266,261,48,50,28,39,33,9,512,17553,5803,58,57,8,9,9,4,6,3,156,6111,1402,51,86,18,18,15,21,21,10,62,1709,76,0,0,0,0,0,0,0,0,11,86,7277,111,138,26,28,26,29,25,15,236,7906,74,0,0,0,0,0,0,0,0,60,131,23655,371,408,75,73,53,71,60,24,804,25591,9494,199,94,19,5,16,10,8,3,443,10295,3885,24,11,3,3,3,6,0,5,135,4073,1809,35,34,6,5,14,5,4,8,114,2031,54,0,0,0,0,0,0,0,0,49,109,5752,53,44,10,11,18,7,4,12,303,6216,65,0,0,0,0,0
SOSR111,3,0,0,0,0,15,313,42,0,18,11,3,9,7,5,8,5,105,3,0,0,0,0,0,0,0,0,0,9,294,20,35,11,6,13,7,4,9,20,425,3,0,0,0,0,0,0,0,0,0,6,1394,63,59,22,17,17,12,13,5,53,1651,1310,26,6,7,0,0,0,0,0,32,1379,223,4,9,0,0,0,0,0,0,0,233,31,0,17,8,4,0,3,0,3,3,69,4,0,0,0,0,0,0,0,0,0,4,258,9,21,8,3,0,3,0,3,4,312,4,0,0,0,0,0,0,0,0,5,7,1573,33,22,12,3,5,9,4,3,43,1699,601,4,3,0,4,3,0,0,0,16,637,159,3,0,0,0,0,0,0,0,6,174,38,0,3,4,0,3,0,0,0,3,55,4,0,0,0,0,0,0,0,0,0,7,202,4,5,4,0,3,0,0,0,7,231,3,0,0,0,0,0
SOSR112,18,12,11,9,3,42,1379,97,24,42,11,6,11,13,18,23,40,292,14,0,0,0,3,0,0,0,0,0,17,1182,139,122,20,30,21,20,31,26,89,1686,5,0,0,0,0,0,0,0,0,48,50,6292,355,263,43,61,42,32,43,38,291,7452,6347,113,97,12,8,15,21,6,5,183,6806,1110,32,28,3,8,7,3,0,3,31,1223,110,7,21,9,7,6,3,10,8,20,204,15,0,0,0,0,0,0,0,0,3,19,1240,39,46,9,17,13,5,10,10,53,1446,18,0,0,0,0,0,0,0,0,23,48,7605,152,142,28,27,24,25,13,18,262,8300,3571,55,52,3,3,0,8,5,3,153,3857,743,11,3,0,3,4,0,3,0,29,790,108,7,3,0,0,0,0,0,0,12,137,9,0,0,0,0,0,0,0,0,5,20,861,20,8,0,3,5,0,3,0,43,947,18,0,0,0,0,0
SOSR113,12,8,7,10,3,20,865,84,23,20,9,8,5,4,7,14,14,189,3,3,0,0,0,0,0,0,0,0,7,771,93,52,21,20,16,17,14,18,39,1068,5,0,0,0,0,0,0,0,0,9,15,3834,224,132,49,42,24,27,25,21,165,4546,4551,87,65,10,16,8,10,6,3,157,4917,849,14,21,0,4,0,4,4,0,40,931,108,12,16,3,4,5,4,8,3,12,166,17,0,0,0,0,0,0,0,0,0,17,974,26,32,3,6,5,4,11,3,52,1119,20,0,0,0,0,0,0,0,0,15,36,5547,110,97,14,26,16,17,19,5,220,6077,2548,37,31,4,7,0,3,0,3,114,2753,687,3,5,0,0,0,0,4,0,32,733,169,9,3,0,0,0,0,0,0,20,205,13,0,0,0,0,0,0,0,0,7,15,865,10,6,0,0,0,3,4,0,58,953,20,0,0,0,0,0
SOSR114,12,0,3,5,3,16,576,41,5,8,3,3,0,3,0,5,6,80,10,3,0,0,0,0,0,0,0,0,18,496,57,43,15,16,0,9,11,11,20,672,6,0,0,0,0,0,0,0,0,15,23,3097,155,108,18,28,13,10,21,15,158,3618,3389,65,41,20,9,6,7,10,0,128,3671,508,13,14,0,3,0,3,4,0,12,562,46,0,0,0,0,3,0,0,0,3,59,6,0,0,0,0,0,0,0,0,0,10,562,13,12,3,5,0,5,4,0,16,625,5,0,0,0,0,0,0,0,0,6,19,3960,79,61,18,11,12,11,11,4,155,4314,1912,32,19,7,0,3,5,4,0,88,2062,342,8,6,0,0,0,0,0,0,9,367,52,0,6,3,0,0,0,0,0,5,71,8,0,0,0,0,0,0,0,0,0,7,402,8,18,3,0,0,0,0,0,19,441,19,0,0,0,0,0
SOSR115,11,6,4,7,3,23,959,75,5,18,4,9,9,8,5,11,20,154,5,0,0,0,0,0,0,0,0,3,12,882,70,63,13,16,13,13,12,9,39,1122,16,0,0,0,0,0,0,0,0,28,44,5559,264,178,26,27,22,21,23,18,231,6380,6152,90,66,13,17,4,8,16,0,223,6595,957,26,12,3,0,3,0,0,0,28,1031,98,3,9,0,3,0,0,0,0,6,133,16,0,0,0,0,0,0,0,0,0,14,1065,30,24,3,3,3,0,0,3,39,1177,24,0,0,0,0,0,0,0,0,15,42,7248,122,89,21,18,12,9,14,3,278,7812,3018,48,23,3,0,0,3,3,5,130,3239,637,7,3,0,3,0,0,0,0,28,678,91,6,3,0,5,0,0,0,3,10,117,16,0,0,0,0,0,0,0,0,0,15,738,15,9,0,8,0,0,3,3,34,808,22,3,0,0,0,0
SOSR121,0,0,3,0,0,5,219,21,3,6,0,0,0,3,0,0,0,40,3,0,0,0,0,0,0,0,0,0,3,214,18,16,0,0,0,5,4,0,7,262,3,0,0,0,0,0,0,0,0,5,4,1543,56,34,8,5,3,8,3,0,69,1726,1710,38,13,0,3,7,0,0,0,64,1834,201,4,0,0,0,0,0,0,0,6,220,13,3,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,5,227,11,7,0,0,0,0,0,0,7,248,3,0,0,0,0,0,0,0,0,5,13,1937,41,15,0,3,7,3,3,0,80,2093,678,14,5,0,0,3,0,0,0,23,717,152,0,0,0,0,0,0,0,0,6,156,17,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,3,170,0,0,0,0,0,0,0,0,4,179,0,0,0,0,0,0
SOSR122,3,0,3,0,0,3,141,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,129,3,9,3,3,0,4,0,0,8,160,0,0,0,0,0,0,0,0,0,0,0,1021,30,18,5,11,0,4,3,0,42,1127,972,4,8,0,3,0,0,0,0,33,1020,191,3,3,0,0,0,0,0,0,4,204,11,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,206,3,3,0,0,0,0,0,0,4,216,3,0,0,0,0,0,0,0,0,0,3,1178,10,7,3,3,0,0,0,0,39,1242,403,0,3,0,0,0,0,0,0,18,433,72,0,0,0,0,0,0,0,0,0,72,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
SOSR131,8,8,12,7,0,71,2266,214,26,26,8,4,4,8,3,3,25,309,20,0,0,0,0,0,0,0,0,0,21,2237,121,74,19,13,12,21,10,3,97,2603,23,0,0,0,0,0,0,0,0,58,79,10720,446,223,44,26,30,38,25,10,542,12108,8967,117,72,11,3,9,9,4,3,325,9523,2265,27,25,4,0,0,3,0,3,68,2404,259,17,14,3,0,3,4,3,3,16,318,25,0,0,0,0,0,0,0,0,6,31,2550,43,44,10,0,3,5,3,3,89,2749,20,0,0,0,0,0,0,0,0,24,46,11541,159,112,22,5,11,16,9,9,439,12325,3190,44,24,6,0,3,3,3,0,120,3398,1115,11,4,0,0,0,4,0,0,53,1188,269,5,8,0,0,0,0,0,0,25,314,15,0,0,0,0,0,0,0,0,0,20,1394,20,11,0,8,3,4,3,0,78,1521,17,0,0,0,0,0
