SOSR_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
SOSR101,101508,8413,114,74,8601,133,110239,13242,85669,4473,402,90538,54,103834,202,8520,5085,83,13683,18,13900,80,453,46,215,715,3,797,13524,94640,9599,695,104935,74,118535,169,151,14,7,168,267,605,115200,103205,9723,777,113710,468,229375,103932,6819,112,69,7002,137,111071,10749,74929,4279,392,79601,48,90395,244,7536,5494,64,13096,4,13345,72,358,51,195,601,10,686,11065,82820,9826,653,93299,67,104426,149,107,17,11,133,252,533,115139,89740,9953,733,100429,459,216031,57529,3323,47,36,3408,62,60999,4942,36428,2411,188,39029,21,43993,120,4046,3553,31,7629,8,7757,45,220,27,103,349,3,397,5107,40695,5994,319,47009,34,52155,63,47,8,3,59,117,239,62707,44065,6050,361,50475,212,113387,35662,1882,29,14,1922,44,37628,2931,22161,1646,121,23935,23,26881,83,2642,2652,24,5316,9,5405,25,123,29,65,216,0,239,3037,24922,4327,215,29466,27,32526,44,31,6,3,38,70,156,38740,26829,4364,229,31426,138,70302,46895,2302,33,24
SOSR102,36524,1179,20,20,1221,45,37792,1544,3569,140,17,3724,4,5275,22,384,190,6,583,0,608,12,24,0,4,28,0,45,1587,3978,324,28,4338,4,5929,56,6,3,0,7,52,121,38167,5166,344,53,5571,100,43835,36629,1010,12,9,1030,49,37709,1438,3475,112,16,3596,3,5044,27,281,203,0,481,0,514,13,22,0,3,22,0,38,1484,3772,311,18,4107,3,5595,47,10,0,0,10,45,108,38158,4798,327,28,5148,102,43405,20811,510,14,4,526,26,21358,702,1618,76,7,1705,0,2411,11,118,96,0,214,0,230,13,14,3,4,23,0,29,721,1752,175,18,1946,0,2671,35,8,0,0,8,39,78,21566,2269,192,17,2473,68,24105,13092,298,6,4,310,21,13422,438,908,50,0,957,5,1396,15,57,80,0,134,0,151,0,4,0,4,8,0,13,451,970,135,3,1107,5,1560,22,0,0,0,0,23,43,13564,1270,136,10,1420,45,15022,17392,386,8,4
SOSR111,5613,106,0,0,106,14,5733,117,379,18,0,398,0,514,3,51,23,0,80,0,83,3,0,0,0,3,0,5,128,431,43,3,478,0,608,3,0,0,0,0,4,9,5738,541,43,3,588,16,6346,5302,82,5,0,84,4,5392,112,319,13,0,337,0,453,0,38,28,3,62,0,65,0,0,0,0,0,0,0,114,360,41,3,399,0,518,3,0,0,0,3,5,15,5423,435,46,3,483,12,5924,2852,45,3,0,49,6,2903,65,142,4,0,144,0,209,0,6,18,0,28,0,28,0,0,0,0,0,0,0,65,148,23,0,176,0,237,6,0,0,0,0,0,6,2924,191,25,0,224,5,3150,1837,15,0,0,15,3,1851,52,88,3,0,88,0,138,0,7,19,0,25,0,25,0,0,0,0,0,0,0,51,92,19,0,112,0,167,0,0,0,0,0,0,0,1884,109,19,0,134,3,2019,2386,27,0,0
SOSR112,16671,324,7,3,340,21,17029,485,1382,36,4,1422,3,1910,9,160,115,0,271,0,283,0,8,0,3,13,3,18,496,1547,146,14,1706,9,2214,23,9,0,0,12,27,57,17193,1885,156,12,2053,53,19303,17034,285,0,3,290,29,17344,419,1162,51,3,1213,3,1630,7,105,97,0,196,0,204,5,9,0,5,15,0,23,431,1266,144,7,1420,3,1853,18,6,0,0,6,20,47,17481,1553,145,16,1715,55,19247,9351,136,3,4,144,17,9508,235,544,29,5,573,0,809,4,44,47,0,92,0,95,0,0,0,0,0,0,4,237,585,79,5,667,0,909,16,3,0,0,5,16,36,9607,719,84,6,810,39,10451,5835,70,0,3,72,17,5925,116,288,13,0,306,0,421,3,33,39,0,73,0,72,0,4,0,0,4,0,6,120,318,58,4,383,0,500,4,0,0,0,0,10,18,5960,386,60,4,450,27,6440,7495,112,0,0
SOSR113,9452,182,4,0,187,19,9660,279,576,33,4,607,3,893,10,51,33,0,91,0,100,3,6,0,3,10,0,13,296,633,71,9,705,3,1005,15,0,0,0,0,39,54,9759,814,72,10,897,59,10717,9500,168,10,0,175,20,9697,268,502,16,0,521,0,789,8,33,37,0,72,0,77,0,6,0,3,16,0,18,276,538,57,8,606,0,883,22,0,0,0,0,28,54,9799,712,69,8,783,46,10633,5342,85,0,0,88,8,5443,123,295,14,0,308,0,439,0,18,21,3,39,0,40,3,0,0,3,3,0,5,129,319,35,3,356,0,482,8,0,0,0,0,17,33,5478,406,35,10,446,28,5953,3521,61,0,0,61,3,3579,77,155,7,0,170,0,245,3,14,16,0,33,0,34,0,0,0,0,0,0,3,83,170,28,4,201,0,281,9,0,0,0,0,6,20,3614,231,28,4,259,10,3878,4455,51,0,3
SOSR114,8713,120,3,0,125,27,8867,252,375,14,0,390,3,652,8,23,11,0,27,0,37,3,3,0,0,3,0,6,266,400,22,3,427,3,690,19,0,0,0,0,23,35,8997,521,19,10,547,51,9594,8920,135,3,3,136,23,9083,206,340,10,0,356,3,564,10,21,16,0,38,0,45,0,0,0,0,3,0,4,212,364,25,3,393,3,609,16,0,0,0,0,20,36,9153,495,27,8,531,47,9732,4634,75,0,0,72,11,4720,90,152,7,0,156,0,252,0,15,3,0,23,0,24,0,0,0,0,0,0,0,93,171,10,0,182,0,273,11,0,0,0,0,7,22,4735,243,10,0,250,21,5012,3015,39,0,0,39,7,3070,53,95,11,0,100,0,154,0,9,5,0,12,0,10,0,0,0,0,0,0,0,50,101,14,0,115,0,165,8,0,0,0,0,13,19,3077,145,14,0,157,17,3251,3833,31,0,0
SOSR115,13297,224,3,5,232,34,13571,344,598,25,3,624,0,973,7,28,22,0,49,0,60,4,9,0,7,17,0,17,357,637,45,13,690,3,1047,37,0,0,0,3,32,75,13691,860,47,18,922,71,14687,13754,177,5,0,183,51,13988,318,537,22,3,563,3,884,6,33,23,0,52,0,61,3,10,0,3,13,3,16,331,575,39,8,622,5,964,38,3,0,0,3,41,79,14125,758,44,11,811,94,15029,7667,86,4,0,85,23,7774,152,247,3,0,253,0,405,0,13,15,0,27,0,32,4,0,0,4,5,0,5,154,264,16,3,288,0,440,25,0,0,0,3,20,53,7848,352,22,3,372,43,8269,4762,57,3,0,60,6,4833,93,148,3,0,152,0,246,0,3,9,0,12,0,12,0,0,0,0,3,0,0,97,155,14,0,168,0,267,31,0,0,0,0,9,37,4890,211,11,0,223,18,5135,5805,63,0,3
SOSR121,3444,49,0,0,49,11,3505,105,92,10,0,104,0,202,0,5,0,0,10,0,5,0,0,0,0,0,0,0,104,102,9,0,111,0,213,11,0,0,0,0,5,18,3557,144,9,3,159,17,3732,4058,54,0,0,54,18,4125,97,97,9,0,100,0,194,0,3,0,0,3,0,9,0,0,0,0,0,0,0,94,99,10,0,108,0,202,6,0,0,0,0,10,17,4164,149,10,0,163,26,4342,2404,29,0,0,29,12,2438,42,55,0,0,60,0,97,0,3,0,0,3,0,3,0,0,0,0,0,0,0,42,59,4,0,65,0,100,6,0,0,0,0,12,17,2447,86,4,0,92,21,2557,1573,20,0,0,20,8,1592,27,26,0,0,26,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,4,0,28,0,57,3,0,0,0,0,4,5,1601,47,4,0,51,6,1661,1980,14,0,0
SOSR122,1778,26,0,0,26,4,1815,42,47,5,0,47,0,93,0,0,0,0,0,0,0,5,0,0,0,0,0,5,49,44,3,0,51,0,102,6,0,0,0,0,6,10,1835,76,3,0,80,8,1922,2123,37,0,3,38,6,2168,38,64,0,0,66,0,103,0,0,3,0,3,0,3,3,0,0,0,0,0,3,45,62,3,0,68,0,109,8,0,0,0,0,5,11,2169,102,3,4,112,11,2290,1182,13,0,0,13,3,1202,17,28,4,0,33,0,56,0,0,3,0,3,0,3,0,0,0,0,0,0,0,17,29,6,0,36,0,57,10,0,0,0,0,3,14,1210,43,6,0,52,9,1271,725,8,0,0,8,0,738,25,16,0,0,16,0,38,3,0,0,0,0,0,4,0,0,0,0,0,0,0,26,16,0,0,11,0,37,0,0,0,0,0,9,5,752,20,0,0,25,10,783,999,16,0,0
SOSR131,19485,331,0,3,336,47,19866,577,646,19,3,668,8,1254,11,59,32,0,97,0,106,4,3,0,4,10,0,12,596,713,48,4,770,8,1372,39,3,0,0,4,55,97,20121,1049,51,6,1107,104,21333,24996,383,7,4,396,78,25471,597,854,32,0,890,5,1496,19,44,44,0,87,0,107,11,7,0,3,8,0,17,626,909,76,3,985,5,1622,79,6,0,0,6,62,146,25702,1297,84,13,1387,144,27234,15792,235,4,7,243,44,16080,296,561,20,4,586,4,884,10,33,41,0,73,0,85,4,3,0,0,8,0,12,315,596,55,4,660,4,976,64,4,0,0,4,39,106,16172,834,63,16,909,81,17171,10059,169,0,3,172,31,10264,203,347,7,0,354,0,561,10,20,21,0,41,0,43,5,3,0,0,8,0,9,216,376,27,0,401,0,615,41,0,0,0,0,21,63,10310,548,26,4,576,48,10934,12861,184,3,7
