SOSR_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOSR101,509340,25667,13531,7077,589,316,1693,558210
SOSR102,94981,8170,4983,1096,179,80,712,110199
SOSR111,12021,1084,764,149,29,12,101,14150
SOSR112,36834,3391,2297,492,79,58,372,43513
SOSR113,21408,2098,1513,342,56,30,288,25750
SOSR114,18560,1621,1231,248,38,15,206,21914
SOSR115,28954,2568,1898,432,56,32,344,34286
SOSR121,8511,719,536,124,11,9,108,10017
SOSR122,4414,402,257,62,8,3,66,5212
SOSR131,56338,3807,2444,796,95,60,564,64109
SOSR179,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0
