SOSR_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SOSR101,700,1689,8375,5062,1588,9002,1879,10104,864,39273,4937,14609,21963,11766,8263,13186,7202,13969,2505,98400,35501,80788,52769,17998,22468,19827,20928,23364,6561,280212,53223,73595,43188,12040,19849,14015,22092,17119,5268,260388,47248,50330,37143,9533,15953,11193,24487,17352,4418,217649,27002,33679,24153,6032,11730,7795,18972,13954,2813,146126,7021,11498,5360,1692,3264,2650,4377,3689,896,40436,926,1744,484,165,401,400,294,406,257,5080,144,220,54,11,48,42,22,32,79,663,176702,268149,193487,64304,83566,78109,100257,99988,23664,1088223,590,2124,1363,10911,4145,19317,340,3317,708,42814,4889,19789,4079,21921,18183,19845,1042,4371,1744,95857,28007,94946,9956,31854,48099,21936,2427,9088,4651,250963,32974,75322,7839,23660,49767,15765,2664,8530,3728,220241,25616,54448,7316,23096,50907,15705,3722,12477,3173,196454,12517,33561,4212,14034,35200,9969,2618,9930,1761,123807,2425,7606,828,2666,9091,2374,347,1749,630,27714,234,662,65,168,756,201,22,149,216,2476,43,63,14,25,78,32,4,14,87,349,107299,288518,35668,128328,216230,105142,13178,49628,16692,960684
SOSR102,161,217,2931,1101,229,2808,583,3810,187,12027,919,1921,7131,2578,970,2703,1416,3930,354,21921,4554,9165,13976,3700,2484,2929,4278,5399,859,47337,7725,9653,11733,3279,2757,2379,5230,4754,867,48372,8172,8482,10813,3063,3286,2395,6314,5215,890,48639,5192,6433,7141,2043,2447,1820,5148,3932,603,34752,1133,1775,1136,431,540,622,1054,799,191,7687,158,243,99,21,70,58,89,93,82,911,17,27,6,3,4,9,7,8,25,107,28031,37916,54969,16213,12783,15721,24123,27944,4055,221750,176,397,493,3393,883,6602,97,1504,163,13701,1019,3055,1304,6300,3432,4671,164,1025,262,21226,3607,13899,2266,7423,8705,4179,321,1624,573,42600,4570,13793,2163,6647,10789,3842,419,2340,616,45191,4560,11581,1952,7833,12750,4598,558,3581,571,48004,2668,8393,1196,5053,8640,3280,445,2838,381,32895,472,1292,166,711,1663,570,67,446,133,5517,40,92,14,33,96,40,9,44,79,444,4,11,0,3,13,5,0,3,28,67,17119,52507,9553,37402,46978,27792,2082,13404,2810,209649
SOSR111,32,20,425,129,24,381,67,570,23,1672,104,154,1069,247,79,316,268,490,43,2764,578,894,2238,406,258,401,967,870,102,6714,921,918,1667,368,300,307,1063,637,118,6307,904,822,1325,326,347,298,1108,605,116,5854,629,698,881,217,271,254,833,548,72,4402,126,194,128,41,79,72,183,115,34,976,19,14,15,7,9,11,12,13,7,94,0,3,0,0,0,0,0,0,6,12,3317,3718,7752,1741,1365,2049,4501,3848,525,28804,18,52,58,414,134,926,16,245,21,1885,132,338,178,778,457,628,34,217,41,2815,443,1670,388,1130,1174,695,92,361,51,6004,510,1526,289,906,1376,559,75,425,61,5730,526,1298,250,940,1552,611,109,573,58,5910,302,941,130,610,1017,403,55,450,35,3944,71,133,28,94,180,74,12,81,12,688,6,8,5,4,15,0,3,8,5,54,3,0,0,0,0,0,0,0,4,10,2010,5966,1322,4868,5916,3895,406,2355,301,27029
SOSR112,103,68,1317,469,96,1447,208,1792,110,5618,408,574,3201,910,289,1103,609,1896,155,9151,2113,3041,6068,1650,841,1505,1894,3005,347,20477,2904,3496,4520,1491,992,1246,2153,2364,326,19492,3191,3404,4018,1538,1235,1155,2522,2443,326,19831,2510,3035,2996,1098,1029,962,2231,1943,278,16093,769,975,633,233,286,381,652,445,97,4478,142,136,59,26,50,43,60,73,41,632,19,10,7,0,3,9,3,10,8,71,12164,14756,22825,7420,4822,7849,10338,13978,1697,95846,87,107,201,1574,348,3193,55,785,78,6417,418,1198,583,2597,1264,1912,71,685,89,8820,1444,5600,1068,3758,3310,2060,139,1292,206,18874,1806,5667,861,3141,4074,1750,169,1346,249,19064,2080,5195,855,3539,5142,1965,204,1935,221,21129,1464,4325,575,2483,3853,1500,166,1586,141,16095,343,804,119,414,840,339,35,312,67,3278,35,58,14,34,68,28,5,23,47,317,5,10,0,6,7,10,0,0,7,42,7674,22962,4279,17552,18908,12764,844,7961,1106,94056
SOSR113,52,36,760,212,41,799,143,1091,61,3204,230,214,1783,364,142,499,448,1086,76,4839,939,1248,3543,731,361,658,1644,1728,180,11033,1422,1316,2904,727,423,561,1797,1418,204,10770,1712,1292,2851,804,542,614,2165,1552,237,11765,1427,1317,2004,609,529,594,1758,1235,186,9663,438,402,341,119,137,184,418,323,82,2442,94,77,25,13,19,18,27,34,35,342,12,9,6,3,0,6,3,8,20,60,6333,5913,14227,3578,2199,3938,8401,8465,1076,54133,44,48,137,747,199,1646,31,421,50,3326,193,515,314,1258,616,970,69,385,52,4375,702,2384,572,1792,1694,1240,156,770,113,9415,872,2306,519,1971,2189,1162,161,907,132,10216,1053,2300,500,2289,2714,1361,206,1283,129,11830,778,2088,343,1633,2102,982,134,1016,119,9190,174,338,64,251,486,197,26,189,49,1766,32,23,8,14,35,15,3,12,23,162,8,3,0,0,5,4,0,0,21,45,3853,10006,2453,9954,10043,7570,780,4982,686,50321
SOSR114,48,32,702,179,42,674,117,928,48,2765,175,216,1518,294,91,370,348,975,80,4073,860,1047,2903,558,273,540,1087,1557,154,8977,1466,1416,2481,604,397,459,1242,1380,178,9628,1571,1280,2261,617,488,586,1615,1494,204,10111,1392,1152,1715,460,485,530,1424,1382,165,8698,516,357,360,101,128,198,400,280,74,2425,120,55,31,17,20,23,47,31,32,384,18,5,6,3,0,3,0,4,16,57,6166,5571,11976,2833,1928,3383,6272,8041,944,47116,44,58,99,681,172,1369,24,414,56,2925,151,498,294,1103,489,760,41,306,49,3683,611,2200,497,1590,1445,892,106,666,95,8108,927,2310,488,1664,1966,974,94,747,137,9297,1030,2135,488,1894,2447,1189,135,1104,123,10547,749,1797,316,1493,1831,919,97,855,99,8165,231,310,52,213,439,172,26,155,56,1661,33,25,4,10,29,10,0,9,39,162,8,3,0,3,7,0,0,0,16,39,3784,9332,2233,8654,8821,6294,531,4257,673,44582
SOSR115,74,59,1190,264,43,813,159,1314,67,3982,285,251,2406,437,144,482,565,1358,104,6045,1338,1461,4556,903,415,659,1800,2103,228,13473,2142,1918,3786,921,550,625,2274,1947,268,14438,2502,1901,3600,1084,747,717,2815,2169,310,15841,2158,1849,2866,752,712,733,2517,1991,288,13870,746,604,588,167,236,249,665,496,85,3837,164,74,63,16,28,27,53,66,41,539,31,10,14,3,3,9,10,3,20,96,9440,8132,19068,4555,2882,4321,10862,11446,1405,72117,46,80,230,1126,246,1771,26,536,76,4139,189,636,409,1623,803,1007,93,484,54,5291,937,3043,779,2333,2269,1373,159,936,135,11967,1382,3463,730,2461,2983,1404,172,1114,166,13875,1608,3517,783,2871,3791,1624,250,1668,180,16293,1251,2894,506,2242,2857,1236,183,1451,168,12785,339,518,73,327,646,262,41,309,76,2596,52,35,7,17,64,22,3,27,48,276,11,14,6,11,8,4,0,3,17,65,5817,14204,3516,13006,13666,8705,927,6528,932,67286
SOSR121,20,14,306,80,15,229,64,357,18,1110,68,74,600,148,27,135,143,313,31,1531,314,314,1090,230,90,152,422,460,56,3130,661,522,1059,264,145,186,596,452,78,3965,791,653,1226,277,205,210,785,609,101,4854,674,575,886,230,231,225,699,511,82,4108,213,192,175,39,56,61,186,127,34,1090,62,27,12,11,6,3,18,15,12,169,8,3,3,0,0,0,0,5,3,25,2806,2375,5358,1280,787,1197,2909,2850,416,19974,12,22,47,325,73,557,4,144,24,1206,58,147,97,409,196,217,15,122,15,1273,190,724,209,556,548,276,38,221,40,2807,393,999,242,671,883,376,48,288,41,3930,492,1082,243,813,1141,463,83,441,52,4812,357,953,125,602,852,371,59,357,55,3734,102,157,23,76,195,59,11,58,22,698,14,13,4,4,14,3,0,5,11,72,3,0,0,0,0,3,0,0,9,18,1623,4096,991,3446,3920,2328,257,1628,264,18558
SOSR122,17,11,177,51,8,106,24,230,15,639,27,34,326,62,23,55,71,190,17,798,168,159,583,106,50,82,218,299,31,1695,332,295,565,137,80,94,336,304,47,2191,463,289,614,180,121,93,465,395,61,2691,433,304,483,122,109,119,433,379,57,2438,157,101,110,32,31,36,114,86,24,689,46,18,15,3,0,3,5,6,6,106,3,3,4,0,0,0,3,3,0,14,1641,1206,2871,698,428,591,1655,1901,257,11261,5,14,18,172,30,275,0,80,6,609,28,68,51,199,98,129,6,60,11,660,132,342,100,270,297,151,13,108,25,1440,230,525,102,323,494,182,30,184,26,2087,309,553,144,444,609,273,42,280,33,2686,232,498,101,359,440,183,30,226,34,2103,81,96,11,56,103,41,9,50,11,458,14,4,0,3,9,4,0,3,12,47,5,0,0,0,0,0,0,0,0,6,1033,2098,538,1830,2077,1241,129,996,157,10101
SOSR131,304,116,2385,636,116,1281,342,2255,169,7592,834,510,3552,729,272,641,885,2047,186,9664,3390,1678,5432,848,485,735,2207,2762,303,17839,6844,2774,5668,1054,763,920,3240,2681,459,24392,9988,3971,6503,1388,1155,1268,4758,3607,687,33329,9988,3795,4914,1046,1119,1118,3888,3346,540,29754,5915,1403,1138,223,352,448,1045,1042,286,11860,1966,193,119,12,53,69,80,192,154,2840,342,21,14,4,3,10,11,35,40,477,39573,14448,29730,5939,4318,6486,16458,17960,2815,137742,118,185,382,1797,508,2872,59,985,136,7037,386,1002,651,1942,1302,1353,103,838,121,7696,1618,4120,1084,2244,3293,1372,259,1105,199,15297,3503,6042,1220,2905,5702,1680,342,1395,364,23148,5292,7036,1477,4013,7860,2431,409,2289,396,31203,4805,5939,898,2843,5753,1714,312,1850,349,24468,2817,1158,197,427,1479,345,77,553,221,7270,765,84,39,26,168,36,7,125,101,1350,103,15,5,3,27,3,0,13,17,192,19417,25583,5944,16202,26088,11812,1568,9136,1909,117653
