SOSR_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOSR101,366202,733186,8725,50509,52129,244986,11986,56204,299028,1156699,371869,1508396,33261,142236,49801,174195,103274,337613,186339,654040,558210,2162431,2200,10541,10736,39021,5058,18399,53801,146508,71799,214479,8458,27824,19270,44527,67429,149884,95161,222241,166958,436719,21372,46035,1112747,3378373
SOSR102,100069,198746,1772,9788,10312,47613,3340,15094,57586,224872,73009,297363,5979,24765,8801,29752,22410,70745,37190,125259,110199,422622,637,2893,3218,11270,1768,6354,17883,48273,23506,68793,1939,6128,4668,10303,18516,39670,25118,56103,48623,124892,3940,8157,262828,754420
SOSR111,12514,24785,220,1216,1356,6299,435,1966,7955,31046,9968,40526,644,2643,1045,3419,2496,7809,4184,13873,14150,54400,87,415,454,1598,220,772,2781,7767,3535,10555,220,688,535,1152,1924,4075,2679,5916,6216,16471,478,991,33359,96642
SOSR112,46702,92470,771,4288,4385,20418,1309,5967,24615,97314,31077,127985,1701,6900,3089,9858,7651,23743,12434,40501,43513,168479,295,1382,1692,6168,947,3495,10390,28780,13323,39824,742,2316,2060,4446,7447,15826,10251,22592,23580,62413,1719,3567,115516,326938
SOSR113,31863,63193,491,2801,2516,11673,1002,4569,13663,53767,17672,72803,1066,4342,1742,5626,5272,16397,8075,26361,25750,99167,216,1030,986,3590,628,2273,6356,17766,8180,24658,441,1369,1129,2425,5071,10765,6637,14556,14818,39215,1059,2211,73482,203789
SOSR114,27126,53731,386,2136,2085,9682,758,3421,12253,48414,15479,63660,865,3575,1472,4710,4096,12703,6436,20993,21914,84650,148,660,871,3158,476,1739,5038,14132,6534,19687,368,1134,924,1985,3823,8096,5121,11216,11651,30904,844,1755,61542,171042
SOSR115,41098,81378,607,3317,3285,15318,1220,5597,18823,74853,23939,99079,1381,5600,2258,7236,6707,20874,10341,33712,34286,132790,233,1048,1249,4483,636,2290,7093,19825,9212,27656,508,1552,1401,2991,5644,11885,7553,16429,16760,44082,1178,2473,93320,260721
SOSR121,11212,22207,220,1204,1028,4812,360,1655,5178,20700,6783,28376,425,1731,782,2532,2031,6332,3235,10590,10017,38969,60,270,299,1072,162,585,1723,4856,2237,6782,134,412,318,681,1371,2934,1821,4024,4058,10809,294,624,25582,72608
SOSR122,6501,12834,96,559,519,2454,178,828,2661,10641,3458,14481,228,914,458,1463,1067,3304,1753,5683,5212,20163,36,175,166,624,97,354,964,2737,1266,3893,73,210,169,368,822,1764,1062,2345,2325,6240,200,418,14244,39654
SOSR131,66237,130985,1374,7583,7299,33685,2287,10453,30507,124641,41464,176363,3295,13467,5362,17287,13988,44092,22645,74846,64109,251207,182,826,1104,3986,552,2007,5940,16569,7778,23391,528,1630,1356,2906,6244,13365,8129,17901,15908,41291,1350,2859,147607,426346
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
