SOSR_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR101,140,25,29,85,11,194,3,133,79,2585,37,3323,43,24,7,40,3,81,3,132,34,673,13,1064,25,38,11,61,4,151,9,549,69,1150,20,2077,10,27,3,31,0,139,8,584,58,683,16,1551,40,173,9,67,4,503,26,1223,155,2781,42,5030,59,269,30,235,30,1593,44,2259,258,2772,50,7595,193,690,42,541,45,3331,61,2742,337,4250,92,12334,409,1106,73,1420,112,6866,110,3430,524,4308,99,18457,1095,1790,126,4019,314,10745,265,3524,619,5621,123,28242,2632,1952,197,7276,557,10708,290,2779,554,4777,124,31849,3388,1504,184,8363,659,10865,299,2111,490,3842,107,31816,5309,1366,213,9646,898,10003,283,1746,427,3397,84,33377,17435,2516,493,21436,2593,18920,647,2866,717,5296,154,73069,18224,1856,482,21359,2602,7190,555,1634,337,2986,101,57322,16778,1165,392,15358,2301,4077,395,1115,218,1932,64,43809,13273,757,276,7763,1753,11192,197,905,351,1172,55,37683,42867,2138,825,34942,4607,13763,676,1961
SOSR102,30,0,3,22,3,14,0,13,6,188,5,284,10,3,7,16,0,16,0,20,3,82,3,152,6,9,0,11,0,22,3,48,7,129,3,244,0,3,0,3,0,13,0,33,8,74,0,137,8,15,0,26,3,44,3,114,12,417,3,644,8,40,4,54,0,122,11,217,30,381,7,870,57,110,7,111,14,324,22,433,44,752,12,1881,69,230,13,345,42,938,41,619,89,942,23,3349,171,432,27,1105,97,1868,63,736,143,1331,30,6010,496,517,49,2304,203,2111,95,643,147,1099,24,7698,685,427,48,2936,246,2255,93,437,97,791,19,8033,1132,392,62,3343,291,2063,112,361,103,642,25,8533,3486,695,139,7198,752,3449,228,543,175,813,25,17502,3766,422,130,6568,740,1383,184,309,72,412,17,14011,3206,271,98,3970,508,664,110,152,48,248,16,9298,2445,137,50,1658,326,1080,43,103,66,84,5,6003,4601,288,101,4441,522,1249,111,176
SOSR111,7,0,0,0,0,3,0,3,0,25,0,35,0,0,0,0,0,0,0,3,0,10,0,14,0,3,0,0,0,3,0,6,0,13,0,29,0,0,0,3,0,0,0,4,0,4,0,18,0,0,0,0,0,11,0,28,0,46,0,86,3,5,0,10,0,18,3,47,6,65,0,156,3,13,0,18,0,42,3,59,8,111,3,267,10,24,0,45,4,152,11,78,11,130,0,473,36,42,3,169,15,306,12,98,16,137,4,845,87,74,8,405,42,346,15,78,11,136,0,1204,124,49,7,473,29,319,17,45,19,63,3,1147,147,55,3,467,44,292,7,44,12,51,3,1134,521,83,19,958,112,436,36,59,20,74,7,2327,546,44,10,823,97,159,20,25,12,30,0,1768,401,23,11,460,63,74,12,9,4,16,3,1068,317,9,3,167,31,109,5,5,5,11,0,663,487,27,19,413,57,119,9,9
SOSR112,12,3,0,10,3,10,0,0,4,84,4,135,3,0,0,5,0,6,0,7,7,29,0,59,3,3,0,3,0,9,0,10,0,54,3,87,3,3,0,0,0,3,0,13,4,22,3,53,5,16,0,12,0,18,0,64,6,184,0,305,10,28,0,25,3,70,6,103,16,181,3,445,20,63,8,66,4,172,7,175,25,392,3,937,59,106,11,212,18,488,19,311,39,424,8,1691,135,246,24,681,50,1005,38,357,70,550,15,3171,377,280,22,1201,115,968,48,257,49,388,11,3714,447,210,31,1402,126,892,34,192,49,259,7,3660,669,178,22,1450,162,739,46,116,41,173,6,3593,1977,276,51,2801,308,1110,93,167,50,203,9,7041,1777,169,52,2046,256,401,57,73,28,102,11,4954,1344,74,23,1191,155,192,41,29,6,47,4,3114,903,25,19,442,97,301,14,27,9,15,3,1852,1432,79,29,1063,131,272,30,32
SOSR113,3,0,0,3,0,3,0,4,0,56,0,83,0,3,0,0,0,4,0,3,0,20,0,38,6,3,0,11,0,4,0,18,0,44,3,92,0,0,0,0,0,4,0,13,0,18,0,38,8,10,3,10,0,8,0,45,5,166,0,248,7,19,0,14,0,33,0,81,12,140,3,314,22,38,3,40,0,137,3,151,16,353,3,770,27,80,3,124,17,311,14,224,31,361,5,1192,86,180,14,426,43,554,26,252,44,479,12,2115,183,137,20,739,76,614,38,183,40,326,13,2376,250,100,16,857,57,526,32,115,38,177,3,2181,331,96,9,846,81,451,29,88,30,144,4,2109,854,140,37,1460,144,716,31,113,23,175,14,3709,837,82,26,1196,134,253,38,49,20,74,12,2736,614,50,15,607,92,97,26,19,3,39,3,1561,408,17,12,241,40,197,3,14,13,17,0,960,660,46,20,615,80,194,22,26
SOSR114,3,0,0,3,0,0,0,4,0,47,0,66,5,3,0,0,0,4,0,3,0,13,0,31,3,3,3,0,3,11,0,6,3,22,0,50,3,0,0,0,0,4,0,11,3,17,0,39,3,11,3,8,0,9,0,36,3,106,0,189,10,20,0,6,0,21,3,62,4,112,3,250,23,43,0,36,0,98,3,108,12,216,0,536,28,71,8,113,7,248,13,160,34,255,10,940,84,145,11,392,28,492,30,195,42,341,16,1770,183,145,32,684,66,522,30,153,38,220,7,2073,268,128,20,764,65,400,33,94,23,145,3,1945,326,96,20,760,80,391,27,75,18,88,0,1888,918,125,48,1424,146,536,71,73,33,112,9,3502,792,61,25,942,103,165,25,33,14,44,9,2227,547,32,14,524,72,101,28,21,5,32,3,1374,312,18,6,189,38,122,8,15,6,11,6,718,520,31,9,451,49,105,11,24
SOSR115,8,3,3,4,3,3,0,8,4,55,4,96,3,3,3,0,0,3,0,8,0,15,3,49,0,7,0,6,3,10,0,17,4,40,0,82,0,3,0,0,0,8,0,10,4,27,0,55,10,13,3,9,0,21,0,55,3,165,4,278,18,33,3,34,3,50,4,101,15,124,6,385,26,50,8,63,8,137,8,168,19,342,10,835,58,108,10,180,19,345,6,264,40,368,11,1415,121,216,30,549,54,742,25,274,66,499,13,2590,296,242,29,1013,92,786,26,221,50,331,13,3107,341,161,25,1072,109,702,44,160,42,215,16,2884,500,153,26,1115,116,591,43,103,43,162,3,2856,1352,207,72,2107,233,908,65,141,54,197,18,5361,1122,140,42,1532,187,320,48,60,20,89,10,3571,939,59,28,798,150,145,35,29,11,38,0,2240,645,29,19,349,70,212,13,15,10,19,3,1385,1019,48,26,689,80,190,30,31
SOSR121,0,0,0,0,0,3,0,0,0,15,0,28,0,0,0,0,0,0,0,3,0,8,0,20,3,0,0,0,0,4,0,8,3,16,0,34,0,0,0,0,0,0,0,3,0,4,0,13,0,6,0,3,0,3,0,16,0,44,0,80,4,5,0,8,0,16,0,24,3,43,0,104,7,7,0,21,3,31,8,42,3,86,0,217,15,29,3,52,11,92,4,76,3,117,5,417,42,70,0,182,12,183,16,92,23,155,3,776,78,55,8,290,15,194,11,71,6,117,3,845,79,59,5,336,33,183,16,56,11,58,0,834,144,39,6,330,29,177,13,32,13,43,4,830,385,71,11,594,51,276,20,51,19,69,5,1543,353,31,23,460,44,88,18,14,3,24,4,1055,248,23,9,265,33,47,4,6,3,11,0,649,186,3,0,94,18,75,0,6,0,3,0,396,315,21,5,255,27,67,5,8
SOSR122,0,0,0,0,0,0,0,3,0,11,0,15,0,0,0,3,0,0,0,0,0,4,0,11,0,3,0,3,0,0,0,3,0,15,0,20,0,0,0,0,0,0,0,0,0,7,0,12,3,0,0,0,0,0,0,11,0,28,0,54,0,8,0,5,0,5,0,18,0,27,0,70,3,12,0,11,3,24,4,26,3,63,0,146,7,23,0,27,3,63,6,36,9,65,0,238,28,37,0,95,3,105,5,42,8,70,4,403,45,43,8,140,8,114,3,42,6,63,3,464,43,20,4,151,13,97,7,32,3,30,0,412,67,22,3,147,19,82,7,13,8,19,3,397,194,42,7,263,30,149,12,20,15,32,0,754,177,17,11,203,14,53,3,12,0,4,0,503,138,13,0,123,14,20,8,5,0,7,0,327,84,3,3,55,3,30,0,0,0,4,0,185,156,8,6,122,10,36,6,4
SOSR131,75,4,5,35,0,19,8,7,4,109,10,281,30,3,3,25,4,21,0,13,0,54,0,157,25,18,0,29,5,30,0,42,10,83,6,237,19,4,4,11,0,22,0,33,3,43,5,131,66,24,3,73,8,50,8,60,12,233,8,545,64,42,4,111,19,122,16,160,21,223,10,784,123,112,9,150,16,273,7,223,36,453,19,1423,214,204,18,422,30,621,29,365,59,463,17,2436,430,287,43,1033,92,1024,57,379,73,639,34,4084,650,333,38,1619,139,1018,55,293,72,467,26,4711,598,291,43,1614,159,925,56,264,62,344,17,4367,897,225,44,1787,163,828,78,197,44,251,21,4528,2197,418,86,3384,339,1414,111,244,94,344,34,8678,2129,261,73,2789,277,599,106,124,37,176,18,6594,1766,154,42,1706,219,287,58,77,16,115,14,4457,1281,68,47,775,136,448,33,45,38,62,12,2946,3087,184,79,2356,258,692,76,109
