SOSR_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
SOSR101,2658,3842,4683,5811,22650,45647,25104,64478,1838,176702,4551,13570,11027,12923,48487,82820,32536,59648,2596,268149,3721,8052,12036,11958,40676,55790,24252,33033,3977,193487,1948,10351,9256,7643,11342,9641,6211,6740,1167,64304,1816,4549,4582,4359,23369,21778,9245,12848,1015,83566,1643,12469,9604,6437,13210,15464,6744,11324,1208,78109,2260,5776,7315,8034,24501,21018,10768,18184,2393,100257,2454,15896,15859,10158,19525,17364,7078,9078,2573,99988,616,1443,1286,1125,3580,4347,1370,2873,7015,23664,21666,75949,75645,68449,207339,273872,123303,218218,23782,1088223,3891,4183,6939,9356,19271,25720,13719,23314,909,107299,12760,24755,33215,32182,53934,66690,26693,35695,2598,288518,1045,4463,5313,5031,7900,6039,2558,2759,561,35668,4465,26710,26055,22476,20640,14103,5301,6188,2395,128328,7225,23809,30882,28671,57609,42831,13020,10037,2146,216230,3833,29085,20037,15206,15506,11145,4273,4457,1600,105142,374,1407,1551,1627,4606,2103,686,555,262,13178,1350,11269,10279,7345,10157,5022,1594,1549,1057,49628,713,1468,1322,1165,2672,2408,616,1015,5323,16692,35652,127148,135598,123065,192293,176058,68457,85577,16843,960684
SOSR102,572,637,690,996,3694,6589,4291,10297,267,28031,982,2253,1847,2464,7652,9788,4777,7823,330,37916,1361,1728,2161,3231,12488,16572,7139,9464,817,54969,631,2469,1718,2158,3199,2354,1915,1524,250,16213,366,810,607,805,3686,2889,1550,1944,121,12783,475,3226,1708,1588,2666,2417,1257,2160,224,15721,850,1440,1350,1633,5516,4653,3325,4949,399,24123,1019,5135,3038,3146,5099,5146,2047,2802,516,27944,162,201,153,186,689,714,271,516,1166,4055,6415,17901,13280,16211,44683,51131,26567,41479,4086,221750,687,816,1221,1851,3624,3557,2012,3208,146,17119,2918,5109,8030,8074,9223,9656,3912,5160,422,52507,374,1352,1539,1742,2083,1236,586,516,119,9553,1680,7728,7236,8179,5855,3305,1351,1518,546,37402,1929,5679,7622,7970,12420,6966,2375,1610,403,46978,1142,9184,5285,4655,3752,1836,813,756,358,27792,82,355,332,321,452,253,119,136,39,2082,539,4362,2620,2447,1659,875,324,342,234,13404,157,271,223,256,435,320,112,166,864,2810,9511,34861,34102,35493,39503,28001,11608,13417,3144,209649
SOSR111,61,64,71,120,413,691,521,1330,36,3317,103,159,153,239,755,905,504,870,27,3718,172,219,234,319,1735,2186,1216,1574,105,7752,54,246,160,244,381,256,182,178,38,1741,49,86,60,81,357,305,203,210,10,1365,47,430,197,199,354,317,214,266,21,2049,140,202,215,283,917,835,748,1091,67,4501,114,671,382,412,720,752,353,368,79,3848,20,31,17,20,79,88,43,101,125,525,766,2103,1491,1925,5714,6327,3984,5980,510,28804,73,99,135,215,413,386,261,407,22,2010,357,512,852,953,1019,1089,518,612,48,5966,46,160,206,243,291,169,85,98,21,1322,204,923,937,1037,827,436,204,212,88,4868,257,699,902,1013,1647,854,323,185,32,5916,191,1244,739,686,546,233,122,84,52,3895,26,62,63,60,74,45,24,53,3,406,85,717,456,423,299,166,75,89,43,2355,13,31,23,21,47,32,6,24,98,301,1254,4449,4309,4649,5170,3413,1630,1755,407,27029
SOSR112,247,320,328,463,1672,2537,1817,4662,119,12164,399,880,739,1062,3046,3472,1743,3297,120,14756,545,823,807,1309,5642,5882,3236,4243,331,22825,306,939,719,1024,1710,1070,744,773,141,7420,152,312,250,356,1411,984,571,739,48,4822,219,1479,697,791,1459,1143,799,1154,108,7849,317,611,610,814,2096,1727,1361,2572,225,10338,435,2365,1405,1655,2889,2606,1031,1286,302,13978,77,108,77,79,251,262,99,206,545,1697,2686,7836,5635,7559,20181,19679,11393,18943,1933,95846,271,407,495,803,1656,1441,936,1611,56,7674,1181,2022,3046,3454,4338,4236,1892,2600,188,22962,155,592,604,745,1026,502,323,288,57,4279,812,3394,3008,3895,3163,1532,666,800,289,17552,719,2088,2604,3278,5595,2677,1026,770,137,18908,566,4049,2200,2219,1920,774,424,392,211,12764,30,134,113,139,179,105,44,82,21,844,273,2504,1512,1370,1037,706,192,231,153,7961,60,121,64,86,171,120,43,61,382,1106,4063,15298,13642,15996,19088,12086,5551,6830,1490,94056
SOSR113,157,177,192,302,891,1234,903,2417,70,6333,194,381,346,426,1102,1360,751,1296,52,5913,387,517,539,837,3453,3574,1959,2718,232,14227,146,434,354,560,731,475,380,424,79,3578,72,141,120,164,645,428,261,341,26,2199,136,797,413,447,711,524,348,492,68,3938,314,426,468,573,1656,1420,1316,2085,146,8401,315,1489,920,1017,1743,1397,609,772,204,8465,49,65,44,56,160,139,62,140,348,1076,1774,4430,3396,4380,11095,10546,6584,10694,1223,54133,155,238,248,403,809,740,444,788,37,3853,532,925,1422,1594,1865,1780,735,1070,88,10006,97,333,380,460,512,304,153,186,31,2453,497,1895,1882,2444,1567,763,363,398,148,9954,436,1297,1557,1839,2635,1334,485,365,90,10043,353,2298,1409,1368,1142,456,228,198,112,7570,49,124,112,102,126,88,65,120,12,780,191,1586,960,844,645,377,111,159,105,4982,46,62,44,56,102,50,16,19,300,686,2347,8750,8008,9106,9406,5885,2608,3292,917,50321
SOSR114,175,199,192,285,807,1291,822,2317,71,6166,148,335,342,406,1081,1275,679,1249,56,5571,324,458,476,775,2731,3245,1504,2239,221,11976,140,334,322,422,586,380,281,321,61,2833,64,133,81,145,550,413,224,290,15,1928,100,631,307,338,603,523,351,465,59,3383,255,339,379,455,1189,1058,822,1653,117,6272,276,1248,738,1057,1622,1525,583,754,228,8041,50,63,49,62,125,118,72,119,290,944,1529,3745,2891,3959,9304,9824,5334,9410,1123,47116,174,209,250,403,697,680,416,903,44,3784,513,868,1325,1525,1640,1588,766,1012,93,9332,99,327,321,429,450,257,155,165,39,2233,394,1579,1625,2076,1403,715,327,373,175,8654,383,1146,1300,1674,2335,1121,428,349,94,8821,309,1786,1126,1151,973,385,230,229,106,6294,28,79,65,70,83,58,44,90,8,531,192,1344,787,773,491,337,123,116,99,4257,47,63,46,63,88,39,26,38,276,673,2128,7406,6830,8169,8153,5186,2516,3271,931,44582
SOSR115,250,315,305,450,1148,1871,1243,3736,134,9440,267,582,456,652,1546,1824,1015,1708,86,8132,523,762,810,1185,4124,4984,2545,3757,377,19068,209,546,429,615,959,665,497,553,90,4555,95,190,174,243,760,606,347,437,29,2882,111,880,364,462,736,652,409,642,65,4321,463,506,606,683,1981,1843,1523,3014,255,10862,445,1792,1123,1326,2287,2022,947,1189,320,11446,84,79,52,78,206,207,101,188,414,1405,2447,5639,4307,5698,13749,14669,8622,15218,1761,72117,236,373,413,698,1023,1021,602,1391,61,5817,801,1312,2042,2277,2465,2457,1079,1611,154,14204,140,540,510,641,705,457,212,245,68,3516,638,2528,2364,3048,2069,999,484,628,245,13006,586,1828,2073,2498,3403,1873,682,580,138,13666,355,2480,1654,1561,1266,618,317,305,152,8705,47,133,130,137,178,96,61,129,10,927,270,2052,1193,1097,812,554,200,224,117,6528,91,99,75,59,101,84,18,45,356,932,3170,11344,10438,12020,12034,8161,3667,5149,1304,67286
SOSR121,81,93,94,125,331,563,362,1127,29,2806,68,156,147,215,451,508,276,536,23,2375,145,232,265,371,1132,1408,680,1048,83,5358,54,168,134,178,262,188,133,138,28,1280,25,55,55,67,222,157,86,108,8,787,37,245,95,139,190,165,107,189,20,1197,119,170,163,180,515,508,402,784,69,2909,113,492,269,341,511,489,234,322,74,2850,20,31,17,14,56,71,19,63,120,416,653,1643,1239,1638,3673,4063,2297,4314,455,19974,79,115,109,169,253,302,160,429,15,1623,221,381,626,712,663,700,298,461,35,4096,30,141,161,188,205,126,53,68,17,991,187,693,669,787,504,271,106,181,53,3446,150,568,627,724,946,527,184,146,37,3920,107,712,433,422,307,156,81,86,33,2328,8,46,42,34,40,33,19,28,3,257,74,535,305,263,197,111,50,62,40,1628,14,28,15,27,21,31,11,14,99,264,872,3214,2993,3318,3130,2249,976,1464,341,18558
SOSR122,46,67,70,93,184,289,190,686,27,1641,45,90,78,118,232,274,128,243,8,1206,86,136,153,207,630,718,326,539,59,2871,36,88,77,99,154,88,70,69,20,698,12,29,38,31,98,91,55,67,0,428,15,121,65,50,98,98,49,85,14,591,69,86,102,108,326,288,219,425,31,1655,92,306,167,215,368,332,152,212,50,1901,16,23,12,16,29,38,7,36,89,257,410,950,759,942,2121,2209,1204,2365,295,11261,50,62,78,96,161,180,112,296,11,1033,115,220,298,354,342,372,142,235,8,2098,27,85,81,108,96,66,27,37,7,538,100,386,344,395,255,130,77,107,36,1830,90,310,319,395,483,265,118,77,19,2077,61,397,209,219,173,64,49,47,26,1241,5,19,21,19,26,15,7,9,4,129,40,360,175,155,100,66,23,53,19,996,14,19,9,6,12,9,4,12,76,157,498,1856,1548,1740,1651,1166,561,873,209,10101
SOSR131,921,1429,1419,1966,2619,6386,3555,20494,781,39573,475,1063,945,1196,2223,3159,1510,3716,162,14448,803,1328,1400,1865,5704,7644,3585,6834,570,29730,309,805,551,686,1073,846,635,916,126,5939,137,347,299,326,1003,840,486,832,62,4318,194,1297,603,565,849,1039,571,1278,107,6486,687,856,936,1113,2427,3045,2028,4956,420,16458,672,2720,1744,1814,2793,3379,1448,2902,490,17960,150,189,138,165,307,407,161,519,774,2815,4342,10034,8037,9686,18985,26745,13979,42438,3492,137742,681,1709,1674,2213,2036,3337,1573,5808,380,19417,1474,2715,4148,4149,3864,4220,1769,2965,273,25583,239,938,925,998,1018,775,395,528,125,5944,766,3484,3131,3507,2333,1299,560,826,298,16202,991,4080,4275,4716,5449,3600,1204,1450,324,26088,494,3713,2108,1956,1497,902,389,542,210,11812,69,219,254,207,228,188,124,241,38,1568,414,2707,1588,1436,952,814,334,663,236,9136,144,194,150,148,178,188,49,153,709,1909,5277,19766,18259,19325,17559,15322,6396,13173,2591,117653
