SOSR_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR101,..,308395,308395,382429,44765,427194,243382,15236,258612,258730,6918,265647,114596,2768,117366,67015,2087,69102,1066150,380174,1446323
SOSR102,..,97923,97923,114737,10305,125044,54379,2456,56833,54704,875,55575,22592,269,22868,9951,173,10131,256365,112009,368375
SOSR111,..,12214,12214,14639,1176,15814,7047,216,7262,6898,67,6966,2907,18,2928,1282,10,1289,32771,13698,46467
SOSR112,..,50821,50821,54906,5072,59976,23544,894,24434,20868,320,21191,9614,104,9724,4548,49,4600,113477,57262,170737
SOSR113,..,33010,33010,37018,2729,39746,14154,317,14470,12532,102,12638,5580,25,5601,2762,17,2782,72041,36200,108244
SOSR114,..,27883,27883,31119,2256,33376,11746,345,12090,10506,101,10613,4936,41,4982,2225,8,2232,60535,30640,91181
SOSR115,..,39620,39620,46608,3118,49727,17497,369,17865,16118,110,16222,7680,41,7719,3638,28,3667,91535,43282,134817
SOSR121,..,8569,8569,12294,786,13081,4793,68,4852,4601,12,4616,2232,10,2238,1113,0,1117,25032,9433,34473
SOSR122,..,5817,5817,7191,481,7671,2584,36,2615,2383,3,2388,1209,4,1209,580,0,582,13952,6343,20291
SOSR131,..,36523,36523,67003,3674,70675,25512,403,25914,26873,75,26952,14913,42,14957,8370,25,8392,142669,40739,183411
SOSR179,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
