SOSR_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOSR101,16375,3289,4565,63,55,24355,4709,941,1165,19,8,6838,4064,795,1066,15,8,5960,6211,1317,1914,26,15,9476,8878,1919,2894,45,19,13750,27154,5842,9515,95,75,42683,32356,7593,12469,114,81,52621,61254,13343,20550,203,184,95530,41486,8953,12307,127,115,62984,50356,10969,11950,135,160,73573,48041,10889,7534,117,177,66753,15108,2724,2850,53,42,20785,315972,68585,88784,1006,957,475296
SOSR102,4601,452,258,11,12,5332,2180,237,126,10,4,2556,1777,218,117,11,4,2124,3354,401,190,12,8,3971,4654,464,300,22,12,5455,13803,1425,943,24,13,16215,18862,1863,990,51,36,21793,27389,1875,880,51,52,30246,12836,605,323,15,23,13802,9266,424,238,13,20,9960,4553,212,138,13,13,4928,4076,292,180,16,15,4573,107358,8472,4698,231,203,120967
SOSR111,578,27,0,0,0,613,317,38,6,0,0,357,271,24,0,0,0,295,609,51,4,0,6,665,940,88,5,0,3,1043,2959,160,15,3,4,3138,3384,110,6,8,3,3514,3613,57,4,0,0,3678,1277,15,0,0,4,1297,739,13,3,6,0,759,316,0,0,3,0,325,553,20,3,0,3,578,15562,594,47,22,32,16261
SOSR112,2029,111,50,9,4,2202,1054,92,47,4,0,1198,1011,69,30,3,3,1116,1975,113,104,13,8,2211,3033,164,120,14,9,3337,9157,488,242,32,21,9943,10645,438,174,26,23,11302,10040,221,93,25,23,10393,3425,62,20,10,6,3526,2191,41,18,3,9,2259,1077,30,17,7,9,1141,1729,87,38,7,6,1861,47357,1908,943,154,129,50491
SOSR113,1367,104,42,3,6,1530,826,48,18,3,0,896,732,51,20,7,3,807,1460,77,34,4,4,1576,2052,124,48,6,3,2239,5520,340,119,9,13,6007,5328,272,88,8,13,5706,4969,219,38,3,18,5244,1747,85,18,0,6,1854,1151,37,6,4,7,1210,566,21,14,4,10,608,1180,51,16,3,10,1253,26885,1437,454,52,92,28922
SOSR114,1047,68,30,10,10,1161,657,38,36,3,3,736,632,30,21,5,4,700,1462,63,42,11,4,1574,2045,85,42,4,6,2187,5129,178,100,10,32,5451,4457,176,65,15,11,4722,4140,138,77,16,16,4384,1615,72,32,0,8,1734,1123,49,23,4,0,1202,525,18,10,11,6,567,1082,44,23,6,5,1159,23912,953,489,99,118,25567
SOSR115,1794,59,24,25,15,1913,1281,43,20,10,12,1357,1214,32,9,15,12,1283,2298,43,31,26,12,2406,3200,71,38,34,14,3348,7273,183,90,69,44,7664,6765,127,33,55,34,7017,7099,107,39,42,30,7316,3110,47,15,13,17,3192,2228,19,12,15,7,2290,928,14,8,13,20,981,1735,33,20,7,13,1814,38929,773,346,314,210,40572
SOSR121,598,11,3,3,4,616,410,0,0,7,3,421,393,4,4,6,5,411,706,7,7,7,4,735,930,7,8,3,4,952,2113,24,5,10,6,2156,2025,28,10,5,15,2076,2153,15,8,3,13,2194,944,6,3,3,0,963,692,4,0,0,7,705,313,3,0,3,3,325,561,3,0,0,0,570,11827,119,48,47,70,12119
SOSR122,387,3,3,10,7,402,310,3,0,6,4,321,307,3,3,3,0,315,477,5,0,3,6,490,562,6,0,0,4,573,1198,4,4,3,11,1229,1040,10,4,3,4,1058,977,3,0,7,4,993,443,3,0,0,6,450,325,0,4,0,0,330,219,0,0,0,3,223,339,3,0,3,8,352,6584,46,20,37,59,6745
SOSR131,4527,28,6,48,54,4659,1701,7,4,22,7,1749,1457,9,0,19,11,1492,2590,9,4,48,21,2677,3540,12,8,44,38,3635,8480,18,6,86,72,8655,8130,29,0,69,55,8289,10818,41,9,66,104,11038,5835,16,6,47,35,5936,5996,18,9,38,27,6083,4756,3,0,28,43,4833,3928,7,4,35,40,4021,61753,197,54,549,510,63063
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
